Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
522.975,522.9742+,180,1.78e+07,B+,2 208.657,-,21 324.736,4f5d6s2,3H°,5,4f5d(<sup>3</sup>H°)6s6p(<sup>3</sup>P°),,6,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
524.592,524.5913+,260,4.91e+07,B+,4 762.718,-,23 819.871,4f26s2,3H,4,4f<sup>2</sup>(<sup>3</sup>H<sub>4</sub>)6s6p(<sup>1</sup>P°<sub>1</sub>),"(4,1)°",5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
529.656,529.6565+,130,2.25e+07,B+,3 976.104,-,22 851.015,4f5d6s2,3H°,6,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>I°)6p,,6,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
532.808,532.8085+,130,2.09e+07,B+,3 976.104,-,22 739.355,4f5d6s2,3H°,6,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>I°)6p,,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
539.764,539.7636+,150,2.36e+07,B+,2 208.657,-,20 730.135,4f5d6s2,3H°,5,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>I°)6p,,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
542.038,542.0382+,110,2.15e+07,B+,4 746.627,-,23 190.384,4f(2F°) 5d2(3F)6s (4F),5H°,6,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>H°)6p,,6,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
544.924,544.9239+,140,3.42e+07,B+,5 802.108,-,24 148.194,4f(2F°) 5d2(3F)6s (4F),5H°,7,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>H°)6p,5H,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
555.625,555.6258+,110,1.95e+07,B+,4 746.627,-,22 739.355,4f(2F°) 5d2(3F)6s (4F),5H°,6,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>I°)6p,,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
556.497,556.4962+,170,4.13e+07,B+,3 196.607,-,21 161.192,4f(2F°) 5d2(3F)6s (4F),5I°,4,,,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
556.597,556.5968+,130,2.75e+07,B+,3 764.008,-,21 725.348,4f(2F°) 5d2(3F)6s (4F),5I°,5,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>I°)6p,5I,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
