Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
381.1773,381.17584,0.00004,50,,,30 472.66516,-,56 699.832,4d105p,2P°,3/2,4d<sup>10</sup>7d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
384.0750,384.07514,0.00004,100,,,29 552.05741,-,55 581.246,4d105p,2P°,1/2,4d<sup>10</sup>8s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
384.7846,384.78470,0.00006,20,,,30 242.298349,-,56 223.489,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4P°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
390.741,390.756,0.031,50w,,,61 773.12,-,87 357.3,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4F,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
391.440,391.441,0.031,50w,,,61 773.12,-,87 312.5,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
392.753,392.755,0.031,6w,,,61 773.12,-,87 227.1?,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
392.837,392.838,0.031,4w,,,61 773.12,-,87 221.7,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
394.043,394.047,0.031,10w,,,61 773.12,-,87 143.6,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
394.290,394.292,0.031,10w,,,63 531.35,-,88 886.1,4d95s(3D)5p,2D°,3/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
398.1580,398.15760,0.00005,30,,,30 472.66516,-,55 581.246,4d105p,2P°,3/2,4d<sup>10</sup>8s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
