Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
175.779,175.780576,0.000010,50,,,9 854.018,-,66 743.125,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)6d,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
176.576,176.58025,0.00010,100w,,,8 512.125,-,65 143.60,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6d,4D,3/2?,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
178.087,178.088675,0.000010,100r,,,0.000,-,56 151.802,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
178.824,178.826032,0.000010,100r,,,8 512.125,-,64 432.395,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)7d,,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
180.018,180.018715,0.000010,150,,,9 854.018,-,65 403.798,5p3,2D°,5/2,5p<sup>2</sup>(<sup>1</sup>D)5d,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
181.050,181.051304,0.000010,50r,,,0.000,-,55 232.963,5p3,4S°,3/2,5p<sup>2</sup>(<sup>1</sup>D)6s,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
181.420,181.419247,0.000010,80r,,,0.000,-,55 120.943,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
182.950,182.950188,0.000010,100,,,9 854.018,-,64 513.705,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)6d,2F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
185.889,185.889348,0.000010,60,,,9 854.018,-,63 649.462,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)7s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
186.817,186.818267,0.000010,50r,,,0.000,-,53 527.956,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4F,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
187.115,187.115360,0.000010,300r,,,0.000,-,53 442.967,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
188.256,188.25677,0.00010,150r,,,8 512.125,-,61 631.065,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
189.128,189.12750,0.00010,70,,,8 512.125,-,61 386.509,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)7s,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
189.939,189.94178,0.00010,70,,,9 854.018,-,62 501.728,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)6d,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
192.708,192.70663,0.00010,100,,,8 512.125,-,60 404.475,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
195.039,195.03928,0.00010,200r,,,9 854.018,-,61 125.741,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
196.43,,,80w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
198.605,198.60672,0.00010,60,,,8 512.125,-,58 862.889,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
202.400,202.40026,0.00010,50,,,0.000,-,49 391.133,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
202.949,202.94305,0.00010,60r,,,16 395.359,-,65 654.41,5p3,2P°,1/2,5p<sup>2</sup>(<sup>1</sup>S)6s,2S,1/2?,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
203.977,203.97918,0.00010,70r,,,9 854.018,-,58 862.889,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
204.957,204.95768,0.00010,150r,,,8 512.125,-,57 287.052,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
206.343,206.34065,0.00010,50,,,16 395.359,-,64 843.421,5p3,2P°,1/2,5p<sup>2</sup>(<sup>1</sup>D)5d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
206.833,206.83440,0.00010,1000r,1.81e+08,,0.000,-,48 332.424,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6s,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
207.956,207.95942,0.00010,100,,,18 464.202,-,66 535.19,5p3,2P°,3/2,,66535,"3/2,5/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
209.841,209.84244,0.00010,50r,,,8 512.125,-,56 151.802,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
211.848,211.84135,0.00010,80r,,,18 464.202,-,65 654.41,5p3,2P°,3/2,5p<sup>2</sup>(<sup>1</sup>S)6s,2S,1/2?,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
212.739,212.73925,0.00010,100r,,,0.000,-,46 991.058,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6s,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
213.705,213.70352,0.00010,50r,,,18 464.202,-,65 243.250,5p3,2P°,3/2,5p<sup>2</sup>(<sup>1</sup>D)5d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
213.969,213.96981,0.00010,100r,1.74e+08,,8 512.125,-,55 232.963,5p3,2D°,3/2,5p<sup>2</sup>(<sup>1</sup>D)6s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
214.183,214.18403,0.00010,50r,,,9 854.018,-,56 528.132,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
214.486,214.48413,0.00010,100r,,,8 512.125,-,55 120.943,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
215.891,215.89169,0.00010,50,,,18 464.202,-,64 769.175,5p3,2P°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6d,4D,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
217.581,217.58175,0.00010,1500r,1.75e+08,,0.000,-,45 945.340,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
217.919,217.91898,0.00010,250r,2.39e+08,,9 854.018,-,55 728.264,5p3,2D°,5/2,5p<sup>2</sup>(<sup>1</sup>D)6s,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
220.132,220.13091,0.00010,200r,,,16 395.359,-,61 808.698,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
220.845,220.84298,0.00010,300r,,,9 854.018,-,55 120.943,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
222.073,222.07495,0.00010,150r,,,8 512.125,-,53 527.956,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4F,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
222.198,222.19679,0.00010,100,,,16 395.359,-,61 386.509,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)7s,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
222.493,222.49506,0.00010,120r,,,8 512.125,-,53 442.967,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
226.251,226.24837,0.00010,300r,,,16 395.359,-,60 580.899,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)6d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
228.898,228.89892,0.00010,120,,,9 854.018,-,53 527.956,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4F,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
229.344,229.34526,0.00010,150r,,,9 854.018,-,53 442.967,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
230.646,230.63883,0.00010,300r*,,,18 464.202,-,61 808.698,5p3,2P°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
230.646,230.65070,0.00010,300r*,,,16 395.359,-,59 737.625,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
231.147,231.14633,0.00010,2500r,1.69e+08,,0.000,-,43 249.337,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
231.589,231.58800,0.00010,150,,,18 464.202,-,61 631.065,5p3,2P°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
237.367,237.36306,0.00010,400w,,,18 464.202,-,60 580.899,5p3,2P°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
238.364,238.36162,0.00010,300w,,,18 464.202,-,60 404.475,5p3,2P°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
239.522,239.52090,0.00010,100,,,16 395.359,-,58 132.656,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)7s,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
242.213,242.21310,0.00010,150,,,18 464.202,-,59 737.625,5p3,2P°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
242.635,242.63392,0.00010,250,,,16 395.359,-,57 597.203,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4D,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
244.551,244.55023,0.00010,400r,,,8 512.125,-,49 391.133,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
247.832,247.83155,0.00010,400,,,16 395.359,-,56 733.162,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)5d,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
248.044,248.04405,0.00010,150,,,16 395.359,-,56 698.608,5p3,2P°,1/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
251.054,251.05259,0.00010,100,,,8 512.125,-,48 332.424,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6s,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
252.852,252.85088,0.00010,2000r,1.77e+08,,9 854.018,-,49 391.133,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)6s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
257.406,257.40532,0.00010,150,,,16 395.359,-,55 232.963,5p3,2P°,1/2,5p<sup>2</sup>(<sup>1</sup>D)6s,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
