Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
323.7382,0.0005,323.739478,0.000003,,2.8e+03,C,0.0000,-,30 880.1228,5p66s,2S,1/2,5p<sup>6</sup>18p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
323.7630,0.0005,323.764381,0.000003,,2.63e+01,C,0.0000,-,30 877.74761,5p66s,2S,1/2,5p<sup>6</sup>18p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
324.5925,0.0005,324.59378,0.00003,,3.45e+03,C,0.0000,-,30 798.852,5p66s,2S,1/2,5p<sup>6</sup>17p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
324.6236,0.0005,324.624820,0.000003,,3.7e+01,C,0.0000,-,30 795.90702,5p66s,2S,1/2,5p<sup>6</sup>17p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
325.6672,0.0005,325.66879,0.00003,,4.25e+03,C,0.0000,-,30 697.191,5p66s,2S,1/2,5p<sup>6</sup>16p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
325.7071,0.0005,325.708223,0.000003,,7.0e+01,C,0.0000,-,30 693.47416,5p66s,2S,1/2,5p<sup>6</sup>16p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
327.0474,0.0005,327.04856,0.00003,,6.5e+03,C+,0.0000,-,30 567.688,5p66s,2S,1/2,5p<sup>6</sup>15p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
327.0977,0.0005,327.099702,0.000003,,1.23e+02,C,0.0000,-,30 562.90893,5p66s,2S,1/2,5p<sup>6</sup>15p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
328.8601,0.0005,328.86169,0.00003,,8.9e+03,D+,0.0000,-,30 399.163,5p66s,2S,1/2,5p<sup>6</sup>14p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
328.9286,0.0005,328.929769,0.000003,,2.5e+02,C+,0.0000,-,30 392.87183,5p66s,2S,1/2,5p<sup>6</sup>14p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
331.3121,0.0005,331.31384,0.00003,,1.45e+04,C+,0.0000,-,30 174.178,5p66s,2S,1/2,5p<sup>6</sup>13p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
331.4055,0.0005,331.407305,0.000003,,5.0e+02,C+,0.0000,-,30 165.66826,5p66s,2S,1/2,5p<sup>6</sup>13p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
