Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
289.79644,0.00020,289.79666+,41000,1.53e+08,B,11 419.039,-,45 915.883,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
293.82969,0.00020,293.82936+,28000hfs,1.20e+08,B,15 437.501,-,49 460.910,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
298.9004,0.0010,298.90190+,28000,5.4e+07,C+,11 419.039,-,44 865.076,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
299.3327,0.0010,299.33360+,6000,1.45e+07,C+,11 419.039,-,44 816.841,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)6d,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
302.4618,0.0010,302.46211+,34000,8.62e+07,B,15 437.501,-,48 489.869,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
303.487,0.002,,600,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3475&amp;type=
306.76991,0.00020,306.77019+,230000hfs,1.67e+08,B,0.000,-,32 588.221,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
307.6654,0.0010,307.66604+,3000,3.31e+06,C+,11 419.039,-,43 912.374,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)6d,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
339.7198,0.0020,339.71983+,7000,1.79e+07,C,15 437.501,-,44 865.076,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3475&amp;type=
340.280,0.009,340.27760+,900,1.50e+06,C,15 437.501,-,44 816.841,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)6d,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7593&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=7593&amp;type=
340.533,0.010,340.52291+,1700,6.4e+06,D+,21 660.914,-,51 019.090,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7585&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=7585&amp;type=
351.0864,0.0020,351.08640+,6000,6.5e+06,C+,15 437.501,-,43 912.374,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)6d,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3475&amp;type=
359.611,0.002,359.60967+,2700,1.93e+07,C+,21 660.914,-,49 460.910,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3475&amp;type=
388.817,0.010,388.80477+,800,4.1e+06,D+,21 660.914,-,47 373.477,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)8s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7585&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=7585&amp;type=
