Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
221.1137,221.1137,0.0010,3,,,0.000,-,45 211.51,5s25p,2P°,1/2,5s<sup>2</sup>11d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
223.0699,223.0699,0.0010,5,,,0.000,-,44 815.06,5s25p,2P°,1/2,5s<sup>2</sup>10d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
224.1664,224.1665,0.0010,3,1.14e+06,C+,0.000,-,44 595.86,5s25p,2P°,1/2,5s<sup>2</sup>11s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
225.9991,225.9969,0.0010,10,,,0.000,-,44 234.70,5s25p,2P°,1/2,5s<sup>2</sup>9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
227.8196,227.8174,0.0010,5,1.81e+06,C+,0.000,-,43 881.26,5s25p,2P°,1/2,5s<sup>2</sup>10s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
228.375,228.39585,0.00010,2,,,2 212.599,-,45 982.725,5s25p,2P°,3/2,5s<sup>2</sup>15d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
229.833,229.8332,0.0010,2,,,2 212.599,-,45 709.02,5s25p,2P°,3/2,5s<sup>2</sup>13d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
229.870,229.8699,0.0010,2,,,2 212.599,-,45 702.08,5s25p,2P°,3/2,5s<sup>2</sup>13d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
230.249,230.2492,0.0010,2,,,2 212.599,-,45 630.44,5s25p,2P°,3/2,5s<sup>2</sup>14s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
230.686,230.68442,0.00010,25,1.41e+05,C+,0.000,-,43 335.93,5s25p,2P°,1/2,5s<sup>2</sup>8d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
230.932,230.9322,0.0010,3,,,2 212.599,-,45 502.04,5s25p,2P°,3/2,5s<sup>2</sup>12d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
230.975,230.9752,0.0010,2,,,2 212.599,-,45 493.98,5s25p,2P°,3/2,5s<sup>2</sup>12d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
231.509,231.5093,0.0010,2,,,2 212.599,-,45 394.13,5s25p,2P°,3/2,5s<sup>2</sup>13s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
232.4407,232.4409,0.0010,5,,,2 212.599,-,45 221.08,5s25p,2P°,3/2,5s<sup>2</sup>11d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
232.4924,232.4926,0.0010,3,,,2 212.599,-,45 211.51,5s25p,2P°,3/2,5s<sup>2</sup>11d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
233.2755,233.2757,0.0010,3,,,2 212.599,-,45 067.19,5s25p,2P°,3/2,5s<sup>2</sup>12s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
234.0186,234.0160,0.0010,10,3.04e+06,C+,0.000,-,42 719.02,5s25p,2P°,1/2,5s<sup>2</sup>9s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
234.5903,234.5905,0.0010,8,,,2 212.599,-,44 827.02,5s25p,2P°,3/2,5s<sup>2</sup>10d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
234.6561,234.6564,0.0010,5,,,2 212.599,-,44 815.06,5s25p,2P°,3/2,5s<sup>2</sup>10d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
235.8698,235.8701,0.0010,5,2.01e+06,C+,2 212.599,-,44 595.86,5s25p,2P°,3/2,5s<sup>2</sup>11s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
237.8141,237.8121,0.0010,15,,,2 212.599,-,44 249.77,5s25p,2P°,3/2,5s<sup>2</sup>9d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
237.8996,237.8974,0.0010,10,,,2 212.599,-,44 234.70,5s25p,2P°,3/2,5s<sup>2</sup>9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
238.9543,238.9534,0.0010,40,2.99e+06,C+,0.000,-,41 836.41,5s25p,2P°,1/2,5s<sup>2</sup>7d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
239.9177,239.9155,0.0010,10,3.22e+06,C+,2 212.599,-,43 881.26,5s25p,2P°,3/2,5s<sup>2</sup>10s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
242.9864,242.98404,0.00010,20,7.83e+05,C+,2 212.599,-,43 355.08,5s25p,2P°,3/2,5s<sup>2</sup>8d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
243.0986,243.09719,0.00010,10,,,2 212.599,-,43 335.93,5s25p,2P°,3/2,5s<sup>2</sup>8d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
246.0079,246.00684,0.00010,60,5.51e+06,C+,0.000,-,40 636.98,5s25p,2P°,1/2,5s<sup>2</sup>8s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
246.8023,246.7998,0.0010,30w,5.21e+06,C+,2 212.599,-,42 719.02,5s25p,2P°,3/2,5s<sup>2</sup>9s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
252.1371,252.1350,0.0010,100,5.33e+06,C+,2 212.599,-,41 861.96,5s25p,2P°,3/2,5s<sup>2</sup>7d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
252.2985,252.2976,0.0010,10,1.27e+06,C+,2 212.599,-,41 836.41,5s25p,2P°,3/2,5s<sup>2</sup>7d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
256.0150,256.01482,0.00010,1100,1.97e+07,B,0.000,-,39 048.53,5s25p,2P°,1/2,5s<sup>2</sup>6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
260.1756,260.17368,0.00010,200,9.85e+06,C+,2 212.599,-,40 636.98,5s25p,2P°,3/2,5s<sup>2</sup>8s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
271.0265,271.02683,0.00010,1600,2.72e+07,B,2 212.599,-,39 098.38,5s25p,2P°,3/2,5s<sup>2</sup>6d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
271.3936,271.39363,0.00010,300,4.63e+06,C+,2 212.599,-,39 048.53,5s25p,2P°,3/2,5s<sup>2</sup>6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
275.3878,275.38654,0.00010,700,1.30e+07,B,0.000,-,36 301.864,5s25p,2P°,1/2,5s<sup>2</sup>7s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
277.5356,277.535604,0.000010,40,2.60e+05,C+,0.000,-,36 020.780,5s25p,2P°,1/2,5s5p<sup>2</sup>,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
283.6903,283.69014,0.00010,180c,1.45e+05,C+,2 212.599,-,37 451.962,5s25p,2P°,3/2,5s5p<sup>2</sup>,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
285.8130,285.812671,0.000010,30c,6.53e+05,C+,0.000,-,34 977.678,5s25p,2P°,1/2,5s5p<sup>2</sup>,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
293.2630,293.26169,0.00010,1100,2.29e+07,B,2 212.599,-,36 301.864,5s25p,2P°,3/2,5s<sup>2</sup>7s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
295.6995,295.70000,0.00010,20c,3.43e+05,C+,2 212.599,-,36 020.780,5s25p,2P°,3/2,5s5p<sup>2</sup>,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
303.9346,303.93472,0.00010,8000,1.11e+08,B+,0.000,-,32 892.230,5s25p,2P°,1/2,5s<sup>2</sup>5d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
305.1139,305.11425,0.00010,8c,,,2 212.599,-,34 977.678,5s25p,2P°,3/2,5s5p<sup>2</sup>,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
325.6079,325.60780,0.00010,13000,1.30e+08,B+,2 212.599,-,32 915.539,5s25p,2P°,3/2,5s<sup>2</sup>5d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
325.8551,325.85519,0.00010,3000,3.00e+07,B,2 212.599,-,32 892.230,5s25p,2P°,3/2,5s<sup>2</sup>5d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
410.1745,410.17504,0.00010,17000,4.96e+07,B+,0.000,-,24 372.957,5s25p,2P°,1/2,5s<sup>2</sup>6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
451.1299,451.12972,0.00010,18000,8.93e+07,B+,2 212.599,-,24 372.957,5s25p,2P°,3/2,5s<sup>2</sup>6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
487.837,487.839,0.010,3,,,24 372.957,-,44 865.79,5s26s,2S,1/2,5s<sup>2</sup>11p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
525.432,525.434,0.010,30,,,24 372.957,-,43 399.53,5s26s,2S,1/2,5s<sup>2</sup>9p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
526.274,526.276,0.010,12,,,24 372.957,-,43 369.09,5s26s,2S,1/2,5s<sup>2</sup>9p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
570.991,570.993,0.010,50,,,24 372.957,-,41 881.44,5s26s,2S,1/2,5s<sup>2</sup>8p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
572.768,572.771,0.010,50,,,24 372.957,-,41 827.10,5s26s,2S,1/2,5s<sup>2</sup>8p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
684.7453,684.7452,0.0010,8w,,,24 372.957,-,38 972.90,5s26s,2S,1/2,5s<sup>2</sup>7p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
690.0136,690.0135,0.0010,4w,,,24 372.957,-,38 861.43,5s26s,2S,1/2,5s<sup>2</sup>7p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
805.078,805.080,0.010,20w,,,31 816.982,-,44 234.70,5s26p,2P°,1/2,5s<sup>2</sup>9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
823.866,823.869,0.010,30w,,,32 115.251,-,44 249.77,5s26p,2P°,3/2,5s<sup>2</sup>9d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4218&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=4218&amp;type=
