Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
310.7152,0.0005,310.7151+,490,1.50e+06,B,0.000,-,32 174.49,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>F<sub>3</sub>)5d<sub>5/2</sub>6s<sup>2</sup>,"(3,5/2)",5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
312.2533,0.0005,312.2533+,1500,6.1e+07,B+,8 771.243,-,40 787.24,4f13(2F°)6s2,2F°,5/2,4f<sup>12</sup>(<sup>1</sup>G<sub>4</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
314.2433,0.0005,314.2431+,1500,2.06e+06,B,8 771.243,-,40 584.52,4f13(2F°)6s2,2F°,5/2,,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
317.2654,0.0005,317.2654+,4500,1.59e+07,B,0.000,-,31 510.24,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>F<sub>3</sub>)5d<sub>5/2</sub>6s<sup>2</sup>,,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
317.9687,0.0005,317.9687+,260,1.04e+06,B+,0.000,-,31 440.54,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>F<sub>3</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
318.0565,0.0005,318.0563+,1500,3.82e+06,B+,0.000,-,31 431.88,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>F<sub>3</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
323.3741,0.0005,323.3740+,750,4.29e+06,B+,0.000,-,30 915.02,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>F<sub>3</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
324.6963,0.0005,324.6959+,3200,2.5e+07,D+,8 771.243,-,39 560.41,4f13(2F°)6s2,2F°,5/2,4f<sup>12</sup>(<sup>1</sup>G<sub>4</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3338&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3338&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
325.1782,0.0005,325.1782+,1400,2.14e+07,B+,8 771.243,-,39 514.74,4f13(2F°)6s2,2F°,5/2,4f<sup>12</sup>(<sup>1</sup>G<sub>4</sub>)5d<sub>5/2</sub>6s<sup>2</sup>,"(4,5/2)",3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
327.1781,0.0005,327.17743+,460,1.5e+07,D,13 119.610,-,43 675.258,4f12(3H6)5d3/26s2,"(6,3/2)",9/2,4f<sup>12</sup>5d6s6p,°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2890&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=2890&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
