Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
261.6786,0.0010,261.67862+,400,7.3e+07,B,11 142.784,-,49 346.196,4d45s2,a 5D,1,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
262.1063,0.0010,262.10631+,140,1.16e+07,B,11 858.498,-,49 999.575,4d45s2,a 5D,3,4d<sup>4</sup>5s(<sup>4</sup>D)5p,v 5P°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
262.755,0.010,262.75502+,320,,,11 142.784,-,49 189.701,4d45s2,a 5D,1,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
262.874,0.010,262.87394+,160,,,11 454.362,-,49 484.068,4d45s2,a 5D,2,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
262.8962,0.0010,262.89622+,80,2.8e+07,B,11 142.784,-,49 169.268,4d45s2,a 5D,1,,27°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
262.9849,0.0010,262.98490+,440,7.7e+07,B,11 454.362,-,49 468.023,4d45s2,a 5D,2,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
263.1502,0.0010,263.15020+,65,2.54e+07,B,10 965.947,-,48 955.732,4d45s2,a 5D,0,,26°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
263.8305,0.0010,263.83048+,250,7.6e+07,B,11 454.362,-,49 346.196,4d45s2,a 5D,2,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
264.0984,0.0010,264.09840+,410,1.20e+08,B,11 858.498,-,49 711.894,4d45s2,a 5D,3,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
264.4362,0.0010,264.43620+,154,1.96e+07,B,11 454.362,-,49 259.406,4d45s2,a 5D,2,,28°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
264.9458,0.0010,264.94583+,640,9.8e+07,B,11 858.498,-,49 590.828,4d45s2,a 5D,3,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
265.5020,0.0010,265.50199+,560h,4.1e+07,B,12 346.280,-,49 999.575,4d45s2,a 5D,4,4d<sup>4</sup>5s(<sup>4</sup>D)5p,v 5P°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
265.8110,0.0010,265.81100+,290,6.4e+07,B,11 858.498,-,49 468.023,4d45s2,a 5D,3,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
266.5093,0.0010,266.50937+,110,1.32e+07,B,11 858.498,-,49 369.475,4d45s2,a 5D,3,,29°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
267.9854,0.0010,267.98544+,1000,1.31e+08,B+,12 346.280,-,49 650.658,4d45s2,a 5D,4,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
268.4160,0.0010,268.41595+,389,4.2e+07,B,12 346.280,-,49 590.828,4d45s2,a 5D,4,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
270.1026,0.0010,270.10271+,140,6.9e+06,B,11 858.498,-,48 870.471,4d45s2,a 5D,3,4d<sup>4</sup>5s(<sup>4</sup>D)5p,v 5D°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
270.6114,0.0010,270.61144+,95,2.03e+07,B,11 142.784,-,48 085.181,4d45s2,a 5D,1,4d<sup>4</sup>5s(<sup>4</sup>D)5p,v 3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
271.0738,0.0010,271.07389+,65,1.57e+07,B,11 142.784,-,48 022.162,4d45s2,a 5D,1,4d<sup>4</sup>5s(<sup>4</sup>D)5p,u 5F°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
272.441,0.010,272.44137+,110,,,16 784.522,-,53 478.799,4d5(4G)5s,a 5G,5,,75°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
272.5146,0.0010,272.51468+,180,2.8e+07,B,11 142.784,-,47 827.191,4d45s2,a 5D,1,4d<sup>4</sup>5s(<sup>4</sup>D)5p,u 5F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
272.8705,0.0010,272.87046+,80,1.26e+07,B,11 142.784,-,47 779.362,4d45s2,a 5D,1,4d<sup>4</sup>5s(<sup>4</sup>D)5p,v 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
273.3387,0.0010,273.33871+,250,2.95e+07,B,11 454.362,-,48 028.183,4d45s2,a 5D,2,4d<sup>4</sup>5s(<sup>4</sup>D)5p,u 5F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
274.3065,0.0010,274.30655+,240,4.3e+06,C+,11 142.784,-,47 587.567,4d45s2,a 5D,1,,19°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
274.3712,0.0010,274.37120+,95,2.47e+07,B,10 965.947,-,47 402.144,4d45s2,a 5D,0,,17°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
274.5384,0.0010,274.53846+,40,1.29e+07,B,16 783.856,-,53 197.855,4d5(4G)5s,a 5G,6,,70°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
275.1467,0.0010,275.14667+,320,2.54e+07,B,11 858.498,-,48 192.009,4d45s2,a 5D,3,4d<sup>4</sup>5s(<sup>4</sup>D)5p,u 5F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
275.6256,0.0010,275.62563+,61,1.18e+07,B,10 768.332,-,47 038.709,4d5(6S)5s,a 5S,2,,10°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
276.1531,0.0010,276.15311+,190,2.06e+07,B,12 346.280,-,48 547.380,4d45s2,a 5D,4,4d<sup>4</sup>5s(<sup>4</sup>D)5p,u 5F°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
276.3023,0.0010,276.30235+,65,4.4e+07,B,11 142.784,-,47 324.332,4d45s2,a 5D,1,,16°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
276.6249,0.0010,276.62500+,110,1.17e+07,B,11 142.784,-,47 282.133,4d45s2,a 5D,1,,15°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
