obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
561.6660,0.0020,561.6661,0.0015,10,,,14707.29,32506.52,7s.6d,3D,3,6d.7p,3D*,2,,,L3527,
562.047,0.005,562.046,0.004,3,,,16688.54,34475.74,7s.7p,3P*,2,7s.9s,3S,1,,,L3527,
566.0810,0.0020,566.0812,0.0020,50,4.3e+07,C+,14707.29,32367.70,7s.6d,3D,3,6d.7p,3F*,4,,T8002,L3527,
569.016,0.005,569.012,0.003,3,,,13993.94,31563.40,7s.6d,3D,2,7s.8p,3P*,1,,,L3527,
575.545,0.005,575.545,0.005,4,,,13715.779,31085.80,7s.6d,3D,1,7s.8p,3P*,0,,,"L3527,L15862",
577.828,0.005,577.824,0.003,5,,,17081.31,34382.83,7s.6d,1D,2,6d.7p,3P*,2,,,L3527,
579.578,0.005,579.5745,0.0023,5,,,13999.3569,31248.61,7s.7p,3P*,1,7p2?,3P,1,,,L3527,
581.158,0.005,581.1588,0.0021,5,4.0e+06,C+,13715.779,30918.01,7s.6d,3D,1,6d.7p,1D*,2,,T8002,L3527,
582.349,0.005,582.353,0.003,3,,,14707.29,31874.25,7s.6d,3D,3,7s.8p,3P*,2,,,"L3527,L15862",
590.720,0.005,590.7107,0.0021,2,,,13993.94,30918.01,7s.6d,3D,2,6d.7p,1D*,2,,,L3527,
595.717,0.005,,,2,,,,,,,,,,,,,L3527,
595.767,0.005,,,5,,,,,,,,,,,,,L3527,
615.119,0.005,615.1137,0.0019,3,,,16688.54,32941.20,7s.7p,3P*,2,7p2?,3P,2,,,L3527,
616.703,0.005,616.7051,0.0024,5,1.46e+07,C+,14707.29,30918.01,7s.6d,3D,3,6d.7p,1D*,2,,T8002,L3527,
620.0300,0.0020,620.0304,0.0016,30,2.5e+07,C+,13993.94,30117.72,7s.6d,3D,2,6d.7p,3F*,3,,T8002,L3527,
633.6900,0.0020,633.6899,0.0020,10,,,17081.31,32857.537,7s.6d,1D,2,7s.8p,1P*,1,,,L3527,
643.890,0.005,643.894,0.003,3,,,16688.54,32214.76,7s.7p,3P*,2,7p2?,1D,2,,,L3527,
644.6200,0.0020,644.6200,0.0020,20,3.5e+07,D+,16688.54,32197.27,7s.7p,3P*,2,7s.7d,3D,3,,T8060,L3527,
647.447,0.005,,,2,,,,,,,,,,,,,L3527,
648.7320,0.0020,648.7319,0.0017,20,9.9e+06,C+,14707.29,30117.72,7s.6d,3D,3,6d.7p,3F*,3,,T8002,L3527,
652.892,0.005,652.8919,0.0020,2,,,16688.54,32000.78,7s.7p,3P*,2,7s.7d,3D,1,,,L3527,
653.208,0.005,653.207,0.003,3,,,16688.54,31993.40,7s.7p,3P*,2,7s.7d,3D,2,,,L3527,
654.593,0.005,,,3,,,,,,,,,,,,,L3527,
658.541,0.005,,,4,,,,,,,,,,,,,L3527,
659.947,0.005,659.946,0.003,3,,,17081.31,32229.89,7s.6d,1D,2,6d.7p,3D*,1,,,L3527,
664.595,0.005,,,2,,,,,,,,,,,,,L3527,
665.333,0.005,,,2,,,,,,,,,,,,,L3527,
675.820,0.005,675.812,0.004,4,,,17081.31,31874.25,7s.6d,1D,2,7s.8p,3P*,2,,,"L3527,L15862",
690.310,0.005,690.318,0.004,3,,,17081.31,31563.40,7s.6d,1D,2,7s.8p,3P*,1,,,L3527,
698.0220,0.0020,698.0232,0.0017,20,1.66e+07,C+,13715.779,28038.00,7s.6d,3D,1,6d.7p,3F*,2,,T8002,L3527,
711.8500,0.0020,711.8486,0.0017,20,9.7e+06,C+,13993.94,28038.00,7s.6d,3D,2,6d.7p,3F*,2,,T8002,L3527,
714.12167,0.00005,714.12167,0.00005,50,2.37e+06,B+,0.0000,13999.3569,7s2,1S,0,7s.7p,3P*,1,,T7904,"L3527,L19075",
722.5160,0.0020,722.5166,0.0019,20,3.5e+07,C+,17081.31,30918.01,7s.6d,1D,2,6d.7p,1D*,2,,T8002,L3527,
731.0270,0.0020,731.0269,0.0018,10,8.5e+06,C+,13078.40,26754.02,7s.7p,3P*,0,7s.8s,3S,1,,T8002,L3527,
746.821,0.005,,,1,,,,,,,,,,,,,L3527,
749.987,0.005,,,2,,,,,,,,,,,,,L3527,
756.549,0.005,,,2,,,,,,,,,,,,,L3527,
783.609,0.005,,,1,,,,,,,,,,,,,L3527,
783.8120,0.0020,783.8113,0.0018,20,2.1e+07,C+,13999.3569,26754.02,7s.7p,3P*,1,7s.8s,3S,1,,T8002,L3527,
787.708,0.005,,,2,,,,,,,,,,,,,L3527,
789.643,0.005,,,3,,,,,,,,,,,,,L3527,
800.513,0.005,,,3,,,,,,,,,,,,,L3527,
801.925,0.005,,,2,,,,,,,,,,,,,L3527,
817.7310,0.0020,817.7319,0.0019,6,,,20715.6142,32941.20,7s.7p,1P*,1,7p2?,3P,2,,,L3527,
824.870,0.005,,,3,,,,,,,,,,,,,L3527,
826.903,0.005,,,3,,,,,,,,,,,,,L3527,
833.507,0.005,,,5,,,,,,,,,,,,,L3527,
869.394,0.005,869.391,0.004,4,,,20715.6142,32214.76,7s.7p,1P*,1,7p2?,1D,2,,,L3527,
909.480,0.005,,,2,,,,,,,,,,,,,L3527,
993.221,0.005,993.222,0.004,5,2.5e+07,C+,16688.54,26754.02,7s.7p,3P*,2,7s.8s,3S,1,,T8002,L3527,
1428.214,0.004,1428.215,0.004,,3.3e+04,D+,13715.779,20715.6142,7s.6d,3D,1,7s.7p,1P*,1,,T8091,L12202,
obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,,3244.70,0.07,,2.5e+03,C+,13999.3569,17081.31,7s.7p,3P*,1,7s.6d,1D,2,,T8693,,
