obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
568.914,0.003,568.912+,18,,,116040.88,133613.41,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4D,1/2,,,L7481,
570.082,0.003,570.080+,25,,,116040.88,133577.40,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4D,3/2,,,L7481,
570.731,0.003,570.730+,25,,,116040.88,133557.43,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4D,5/2,,,L7481,
595.0147,0.0010,595.014+,12,,,117164.01,133965.68,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).4d,4P,5/2,,,L7481,
595.9187,0.0010,595.918+,25,,,117308.56,134084.75,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).4d,2F,5/2,,,L7481,
596.528,0.003,596.527+,70,,,117164.01,133923.07,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).4d,4F,7/2,,,L7481,
599.4425,0.0010,599.441+,50,,,115917.91,132595.50,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).5s,4P,5/2,,,L7481,
601.5828,0.0002,601.583+,150,,,116987.39,133605.61,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).4d,4F,9/2,,,L7481,
603.804,0.003,603.801+,80,,,116987.39,133544.54,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).4d,4D,7/2,,,L7481,
604.754,0.003,604.753+,900,2.36e+05,C,102405.71,118936.80,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,2P*,3/2,,T7043,L7481,
608.0113,0.0002,608.012+,100,,,117164.01,133606.51,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).4d,2F,7/2,,,L7481,
614.976,0.003,614.974+,800,1.90e+05,C,102680.44,118936.80,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,2P*,3/2,,T7043,L7481,
621.087,0.003,621.084+,400,9.2e+04,C,102840.38,118936.80,2s2.2p4.(3P).3s,4P,1/2,2s2.2p4.(3P).3p,2P*,3/2,,T7043,L7481,
623.9651,0.0002,623.965+,13000,2.90e+07,C+,102405.71,118427.82,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,4S*,3/2,,T7043,L7481,
634.8508,0.0002,634.851+,10000,2.32e+07,C+,102680.44,118427.82,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,4S*,3/2,,T7043,L7481,
641.3651,0.0002,641.365+,8000,1.36e+07,C+,102840.38,118427.82,2s2.2p4.(3P).3s,4P,1/2,2s2.2p4.(3P).3p,4S*,3/2,,T7043,L7481,
646.350,0.003,646.350+,700,3.97e+04,C,102405.71,117872.92,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,2D*,3/2,,T7043,L7481,
656.9694,0.0002,656.969+,450,3.86e+05,C+,102405.71,117622.92,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,2D*,5/2,,T7043,L7481,
658.0389,0.0002,658.039+,300,2.51e+05,C+,102680.44,117872.92,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,2D*,3/2,,T7043,L7481,
665.0405,0.0002,665.040+,400,3.49e+05,C+,102840.38,117872.92,2s2.2p4.(3P).3s,4P,1/2,2s2.2p4.(3P).3p,2D*,3/2,,T7043,L7481,
669.0481,0.0002,669.048+,1800,1.46e+06,C,102680.44,117622.92,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,2D*,5/2,,T7043,L7481,
670.8282,0.0002,670.827+,400,1.09e+06,C+,102405.71,117308.56,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,4D*,3/2,,T7043,L7481,
677.3984,0.0002,677.398+,7000,9.6e+06,C+,102405.71,117164.01,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,4D*,5/2,,T7043,L7481,
679.5528,0.0002,679.552+,1500,5.89e+06,C+,102680.44,117391.95,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,4D*,1/2,,T7043,L7481,
683.4264,0.0002,683.426+,9000,2.18e+07,C+,102680.44,117308.56,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,4D*,3/2,,T7043,L7481,
685.6030,0.0002,685.603+,50000,4.87e+07,C+,102405.71,116987.39,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,4D*,7/2,,T7043,L7481,
687.0215,0.0002,687.022+,8000,4.01e+07,C+,102840.38,117391.95,2s2.2p4.(3P).3s,4P,1/2,2s2.2p4.(3P).3p,4D*,1/2,,T7043,L7481,
690.2475,0.0002,690.247+,15000,3.51e+07,C+,102680.44,117164.01,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,4D*,5/2,,T7043,L7481,
690.9816,0.0002,690.981+,6000,2.07e+07,C+,102840.38,117308.56,2s2.2p4.(3P).3s,4P,1/2,2s2.2p4.(3P).3p,4D*,3/2,,T7043,L7481,
696.6349,0.0002,696.635+,4000,6.6e+06,C,104731.05,119081.82,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).3p,2P*,1/2,,T7043,L7481,
703.7469,0.0002,703.746+,45000,4.23e+07,C,104731.05,118936.80,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).3p,2P*,3/2,,T7043,L7481,
712.7890,0.0002,712.789+,30000,5.03e+07,C+,105056.28,119081.82,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).3p,2P*,1/2,,T7043,L7481,
720.2360,0.0002,720.236+,15000,1.49e+07,C+,105056.28,118936.80,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).3p,2P*,3/2,,T7043,L7481,
729.898,0.003,729.898+,1500,2.74e+05,C,104731.05,118427.82,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).3p,4S*,3/2,,T7043,L7481,
730.9033,0.0002,730.9032+,1000,5.23e+07,C+,123920.265,137598.198,2s2.2p4.(1D).3s,2D,5/2,2s2.2p4.(1D).3p,2F*,7/2,,T5121n,L7481,
731.1019,0.0002,731.102+,15000,4.50e+07,C+,104731.05,118405.27,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).3p,2S*,1/2,,T7043,L7481,
731.4303,0.0002,731.4303+,700,5.27e+07,C+,123921.152,137589.229,2s2.2p4.(1D).3s,2D,3/2,2s2.2p4.(1D).3p,2F*,5/2,,T5121n,L7481,
733.1957,0.0002,733.196+,5000,2.42e+07,C,102405.71,116040.88,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,4P*,3/2,,T7043,L7481,
739.8688,0.0002,739.868+,10000,3.53e+07,C,102405.71,115917.91,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).3p,4P*,5/2,,T7043,L7481,
742.5645,0.0002,742.564+,4000,3.93e+07,C,102680.44,116143.58,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,4P*,1/2,,T7043,L7481,
747.654,0.003,747.651+,700,5.15e+05,C,105056.28,118427.82,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).3p,4S*,3/2,,T7043,L7481,
748.2723,0.0002,748.272+,2200,6.49e+06,C+,102680.44,116040.88,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,4P*,3/2,,T7043,L7481,
748.9155,0.0002,748.914+,2500,5.48e+06,C+,105056.28,118405.27,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).3p,2S*,1/2,,T7043,L7481,
751.4919,0.0002,751.492+,900,6.54e+06,C,102840.38,116143.58,2s2.2p4.(3P).3s,4P,1/2,2s2.2p4.(3P).3p,4P*,1/2,,T7043,L7481,
755.2235,0.0002,755.223+,5000,8.9e+06,C+,102680.44,115917.91,2s2.2p4.(3P).3s,4P,3/2,2s2.2p4.(3P).3p,4P*,5/2,,T7043,L7481,
757.3384,0.0002,757.339+,5000,1.32e+07,C,102840.38,116040.88,2s2.2p4.(3P).3s,4P,1/2,2s2.2p4.(3P).3p,4P*,3/2,,T7043,L7481,
760.7170,0.0002,760.717+,7000,9.0e+06,C+,104731.05,117872.92,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).3p,2D*,3/2,,T7043,L7481,
775.4696,0.0002,775.469+,18000,3.23e+07,C+,104731.05,117622.92,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).3p,2D*,5/2,,T7043,L7481,
780.022000,0.000018,780.021+,15000,2.52e+07,C+,105056.28,117872.92,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).3p,2D*,3/2,,T7043,"L9692,L7481",
782.259,0.003,782.259+,800,1.92e+06,C+,115917.91,128697.89,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,2F,5/2,,T7043,L7481,
787.918,0.003,787.918+,300,3.56e+06,C+,115917.91,128606.09,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
789.8588,0.0002,789.859+,500,1.22e+07,C,116040.88,128697.89,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,2F,5/2,,T7043,L7481,
793.093,0.003,793.095+,2200,2.90e+06,C+,115917.91,128523.28,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4P,3/2,,T7043,L7481,
793.6314,0.0002,793.632+,350,2.76e+06,C+,115917.91,128514.75,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4F,7/2,,T7043,L7481,
795.409,0.003,795.407+,600,2.20e+06,C+,116143.58,128712.30,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,2P,3/2,,T7043,L7481,
795.632,0.003,795.629+,300,3.29e+06,C+,116040.88,128606.09,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
804.0931,0.0002,804.093+,1000,1.43e+06,C+,104731.05,117164.01,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).3p,4D*,5/2,,T7043,L7481,
807.5519,0.0002,807.552+,900,1.41e+07,C+,116143.58,128523.28,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,4P,3/2,,T7043,L7481,
807.7521,0.0002,807.752+,350,1.14e+07,C+,116143.58,128520.22,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,2P,1/2,,T7043,L7481,
812.656,0.003,812.658+,350,3.92e+06,C+,115917.91,128219.83,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,2D,3/2,,T7043,L7481,
812.926,0.003,812.927+,600,1.29e+07,C,116040.88,128338.72,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4P,1/2,,T7043,L7481,
815.951,0.003,815.950+,300,3.29e+05,C+,105056.28,117308.56,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).3p,4D*,3/2,,T7043,L7481,
817.9339,0.0002,817.934+,600,6.0e+06,C,115917.91,128140.48,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,2D,5/2,,T7043,L7481,
819.1241,0.0002,819.124+,300,4.26e+06,C,115917.91,128122.72,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4D,3/2,,T7043,L7481,
819.7734,0.0002,819.773+,600,3.32e+06,C+,116143.58,128338.72,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,4P,1/2,,T7043,L7481,
820.8634,0.0002,820.863+,350,5.49e+06,C,116040.88,128219.83,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,2D,3/2,,T7043,L7481,
821.4726,0.0002,821.472+,2500,1.48e+07,C+,115917.91,128087.83,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4D,5/2,,T7043,L7481,
823.0773,0.0002,823.077+,3000,3.79e+07,C+,115917.91,128064.10,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4D,7/2,,T7043,L7481,
823.219,0.003,823.218+,500,1.08e+07,C+,116040.88,128184.99,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4D,1/2,,T7043,L7481,
827.4615,0.0002,827.461+,1500,1.95e+07,C,116040.88,128122.72,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4D,3/2,,T7043,L7481,
829.8581,0.0002,829.858+,2000,1.60e+07,C+,116040.88,128087.83,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4D,5/2,,T7043,L7481,
830.240,0.003,830.239+,600,1.94e+07,C,116143.58,128184.99,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,4D,1/2,,T7043,L7481,
834.5556,0.0002,834.555+,1200,6.06e+06,C+,116143.58,128122.72,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,4D,3/2,,T7043,L7481,
860.447,0.003,860.445+,14,8.5e+04,C,116987.39,128606.09,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
867.262,0.003,867.263+,350,5.61e+05,C+,116987.39,128514.75,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,4F,7/2,,T7043,L7481,
873.7270,0.0002,873.727+,1400,2.74e+06,C,117164.01,128606.09,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
876.661,0.003,876.665+,100,1.00e+06,C,117308.56,128712.30,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,2P,3/2,,T7043,L7481,
877.773,0.003,877.774+,1200,6.02e+06,C+,117308.56,128697.89,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,2F,5/2,,T7043,L7481,
879.936,0.003,879.936+,700,4.06e+06,C+,117164.01,128525.35,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,4F,5/2,,T7043,L7481,
880.7582,0.0002,880.758+,900,2.05e+07,C+,117164.01,128514.75,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,4F,7/2,,T7043,L7481,
883.1232,0.0002,883.122+,1000,8.6e+06,C+,117391.95,128712.30,2s2.2p4.(3P).3p,4D*,1/2,2s2.2p4.(3P).3d,2P,3/2,,T7043,L7481,
884.4502,0.0002,884.450+,1200,7.3e+06,C+,117308.56,128611.92,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,4F,3/2,,T7043,L7481,
884.906,0.003,884.906+,700,3.05e+06,C+,117308.56,128606.09,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
890.092,0.003,890.090+,1000,4.64e+07,C+,116987.39,128219.13,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,4F,9/2,,T7043,L7481,
891.027,0.003,891.023+,1400,1.98e+07,C+,117391.95,128611.92,2s2.2p4.(3P).3p,4D*,1/2,2s2.2p4.(3P).3d,4F,3/2,,T7043,L7481,
891.278,0.003,891.276+,300,2.19e+07,C+,117308.56,128525.35,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,4F,5/2,,T7043,L7481,
891.443,0.003,891.440+,70,5.4e+05,C,117308.56,128523.28,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,4P,3/2,,T7043,L7481,
891.689,0.003,891.684+,20,3.78e+05,C,117308.56,128520.22,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,2P,1/2,,T7043,L7481,
896.366,0.003,896.366+,40,3.6e+05,D+,116987.39,128140.48,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,2D,5/2,,T7043,L7481,
898.118,0.003,898.119+,125,1.23e+06,C+,117391.95,128523.28,2s2.2p4.(3P).3p,4D*,1/2,2s2.2p4.(3P).3d,4P,3/2,,T7043,L7481,
898.365,0.003,898.366+,35,1.30e+06,C,117391.95,128520.22,2s2.2p4.(3P).3p,4D*,1/2,2s2.2p4.(3P).3d,2P,1/2,,T7043,L7481,
900.619,0.003,900.618+,500,2.85e+06,C,116987.39,128087.83,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,4D,5/2,,T7043,L7481,
901.685,,901.685+,300:,2.33e+06,C,105056.28,116143.58,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).3p,4P*,1/2,,T7043,L20603,
902.549,0.003,902.547+,350,1.43e+07,C+,116987.39,128064.10,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,4D,7/2,,T7043,L7481,
904.210,0.003,904.209+,400,2.18e+07,C+,117164.01,128220.36,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,2F,7/2,,T7043,L7481,
910.233,0.003,910.234+,500,2.46e+06,C+,117622.92,128606.09,2s2.2p4.(3P).3p,2D*,5/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
915.178,0.003,915.180+,1800,1.04e+07,C+,117164.01,128087.83,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,4D,5/2,,T7043,L7481,
917.868,0.003,917.867+,350,1.93e+07,C+,117622.92,128514.75,2s2.2p4.(3P).3p,2D*,5/2,2s2.2p4.(3P).3d,4F,7/2,,T7043,L7481,
923.285,0.003,923.288+,60,1.49e+06,C,117391.95,128219.83,2s2.2p4.(3P).3p,4D*,1/2,2s2.2p4.(3P).3d,2D,3/2,,T7043,L7481,
923.538,0.003,923.537+,500,1.04e+07,C+,117872.92,128697.89,2s2.2p4.(3P).3p,2D*,3/2,2s2.2p4.(3P).3d,2F,5/2,,T7043,L7481,
924.457,0.003,924.460+,150,5.26e+06,C+,117308.56,128122.72,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,4D,3/2,,T7043,L7481,
931.434,0.003,931.436+,600,1.42e+07,C+,117872.92,128606.09,2s2.2p4.(3P).3p,2D*,3/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
938.496,0.003,938.495+,400,5.97e+06,C+,117872.92,128525.35,2s2.2p4.(3P).3p,2D*,3/2,2s2.2p4.(3P).3d,4F,5/2,,T7043,L7481,
943.367,0.003,943.365+,200,2.35e+07,C+,117622.92,128220.36,2s2.2p4.(3P).3p,2D*,5/2,2s2.2p4.(3P).3d,2F,7/2,,T7043,L7481,
950.530,0.003,950.530+,25,8.2e+06,C,117622.92,128140.48,2s2.2p4.(3P).3p,2D*,5/2,2s2.2p4.(3P).3d,2D,5/2,,T7043,L7481,
957.480,0.003,957.484+,30,1.47e+06,C+,117622.92,128064.10,2s2.2p4.(3P).3p,2D*,5/2,2s2.2p4.(3P).3d,4D,7/2,,T7043,L7481,
966.204,0.003,966.207+,12,4.49e+06,C+,117872.92,128219.83,2s2.2p4.(3P).3p,2D*,3/2,2s2.2p4.(3P).3d,2D,3/2,,T7043,L7481,
969.940,0.003,969.946+,70,6.4e+06,D+,118405.27,128712.30,2s2.2p4.(3P).3p,2S*,1/2,2s2.2p4.(3P).3d,2P,3/2,,T7043,L7481,
972.057,0.005,972.072+,12,7.2e+05,D+,118427.82,128712.30,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,2P,3/2,,T7043,L7481,
973.434,0.005,973.436+,25,9.4e+06,C+,118427.82,128697.89,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,2F,5/2,,T7043,L7481,
973.670,0.005,973.674+,90,2.73e+06,C,117872.92,128140.48,2s2.2p4.(3P).3p,2D*,3/2,2s2.2p4.(3P).3d,2D,5/2,,T7043,L7481,
979.480,0.005,979.485+,60,6.05e+06,C+,118405.27,128611.92,2s2.2p4.(3P).3p,2S*,1/2,2s2.2p4.(3P).3d,4F,3/2,,T7043,L7481,
982.211,0.005,982.216+,15,1.52e+07,C,118427.82,128606.09,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,4P,5/2,,T7043,L7481,
988.358,0.005,988.365+,80,6.9e+06,D+,118405.27,128520.22,2s2.2p4.(3P).3p,2S*,1/2,2s2.2p4.(3P).3d,2P,1/2,,T7043,L7481,
990.265,0.005,990.273+,12,9.8e+06,C+,118427.82,128523.28,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,4P,3/2,,T7043,L7481,
1008.713,0.005,1008.714+,60,1.08e+07,C+,118427.82,128338.72,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,4P,1/2,,T7043,L7481,
1018.615,0.005,1018.615+,50,5.29e+06,C+,118405.27,128219.83,2s2.2p4.(3P).3p,2S*,1/2,2s2.2p4.(3P).3d,2D,3/2,,T7043,L7481,
