obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
362.81107,0.00013,362.81114,0.00003,2500,1.04e+06,B,6567.4517,34122.1452,5d9.6s,3D,2,5d9.6p,3F*,3,,T3313,L11529,
362.88660,0.00020,362.88651,0.00013,550,,,36781.545,64330.516,5d8.6s.(4F).6p,5G*,6,5d8.(3F<4>).6s.6d,"b (4,?)",6,,,L11529,
363.01180,0.00020,363.01184,0.00012,42,,,37769.0673,65308.527,5d9.6p,3D*,3,5d9.7d,3G,4,,,L11529,
363.6012,0.0020,363.60316,0.00004,6,,,26638.576,54133.2504,5d8.6s2,1D,2,5d8.6s.(4P).6p,5S*,2,,,L11529,
363.65559,0.00020,363.65564,0.00012,21,,,40516.229,68006.936,5d8.6s.(4F).6p,5D*,2,5d9.6d,3G,3,,,L11529,
363.69875,0.00020,363.69880,0.00012,7,,,40787.8417,68275.286,5d8.6s.(4P).6p,5P*,2,,,2,,,L11529,
363.71933,0.00020,363.71940,0.00012,110,,,36781.545,64267.433,5d8.6s.(4F).6p,5G*,6,5d8.(3F<4>).6s.6d.(3D<?>),"a (4,?)",5,,,L11529,
363.87879,0.00013,363.87878,0.00003,930,,,10116.7158,37590.5647,5d8.6s2,3F,3,5d9.6p,3F*,4,,,L11529,
,,363.87814,0.00004,m,,,13496.2595,40970.1568,5d9.6s,b 1D,2,5d8.6s.(4F).6p,5G*,3,,,L11529,
364.31667,0.00020,364.31668,0.00020,1400,,,36781.545,64222.372,5d8.6s.(4F).6p,5G*,6,5d8.(3F<4>).6s.6d.(3D<3>),"(4,3)",7,,,L11529,
365.07680,0.00020,365.07702,0.00008,16,,,35321.6370,62705.315,5d8.6s.(4F).6p,a 5D*,3,5d9.8s,1D,2,,,L11529,
365.22552,0.00013,365.22528,0.00007,45,,,26638.576,54011.138,5d8.6s2,1D,2,5d8.6s.(4P).6p,c 5P*,3,,,L11529,
365.39828,0.00013,365.39834,0.00009,95,,,36781.545,64141.143,5d8.6s.(4F).6p,5G*,6,5d8.(3F<4>).6s.6d.(3D<?>),"a (4,?)",6,,,L11529,
365.94131,0.00013,365.94131,0.00004,81,,,21967.101,49286.1051,5d8.6s2,1G,4,5d8.6s.(4P).6p,b 5P*,3,,,L11529,
366.1250,0.0020,366.12727,0.00012,4,,,40970.1568,68275.286,5d8.6s.(4F).6p,5G*,3,,,2,,,L11529,
366.3092,0.0003,366.30901,0.00004,310hfs,2.57e+05,C+,13496.2595,40787.8417,5d9.6s,b 1D,2,5d8.6s.(4P).6p,5P*,2,,T3313n,L11529,
366.35492,0.00013,366.35507,0.00007,29,,,32620.0047,59908.156,5d9.6p,a 3P*,2,5d9.6d,a 1D,2,,,L11529,
366.83939,0.00013,366.83941,0.00005,110,,,32620.0047,59872.128,5d9.6p,a 3P*,2,5d9.6d,1F,3,,,L11529,
367.19990,0.00013,367.19985,0.00004,590,9.0e+05,C+,10116.7158,37342.089,5d8.6s2,3F,3,5d9.6p,b 3P*,2,,T3313n,L11529,
367.28450,0.00020,367.28456,0.00012,19,,,40787.8417,68006.936,5d8.6s.(4P).6p,5P*,2,5d9.6d,3G,3,,,L11529,
367.40449,0.00014,367.40434,0.00004,460p,5.6e+05,C+,10131.8684,37342.089,5d9.6s,3D,1,5d9.6p,b 3P*,2,,T3313n,L11529,
367.4938,0.0003,367.49383,0.00008,95hfs,,,33680.390,60883.985,5d8.6s.(4F).6p,a 5F*,5,5d8.(3F<4>).6s.7s.(1S<0>),"(4,0)",4,,,L11529,
367.5523,0.0004,367.55228,0.00019,84bl(Pt II),,,40970.1568,68169.426,5d8.6s.(4F).6p,5G*,3,5d9.6d,b 1D,2,,,L11529,
368.03319,0.00020,368.03306,0.00005,15,,,37342.089,64505.827,5d9.6p,b 3P*,2,5d8.(3F<3>).6s.7s.(3S<1>),"(3,1)",3,,,L11529,
368.04520,0.00014,368.04529,0.00007,56,,,32620.0047,59782.840,5d9.6p,a 3P*,2,5d9.6d,1P,1,,,L11529,
368.10798,0.00014,368.10793,0.00004,190p,9.1e+04,C+,15501.8344,42660.048,5d8.6s2,3F,2,5d8.6s.(4F).6p,b 5D*,3,,T3313,L11529,
368.29727,0.00014,368.29732,0.00005,380,,,32620.0047,59764.253,5d9.6p,a 3P*,2,5d9.6d,3D,3,,,L11529,
368.74152,0.00014,368.74146,0.00007,700,,,32620.0047,59731.559,5d9.6p,a 3P*,2,5d9.6d,3P,2,,,L11529,
369.1981,0.0020,369.19999,0.00011,5,,,37590.5647,64668.449,5d9.6p,3F*,4,5d8.(3F<4>).6s.6d.(3D<?>),"b (4,?)",4,,,L11529,
369.89960,0.00020,369.89973,0.00005,23,,,26638.576,53665.238,5d8.6s2,1D,2,5d8.6s.(2P).6p,3D*,1,,,L11529,
369.99126,0.00020,369.99135,0.00004,530hfs,5.4e+05,C+,13496.2595,40516.229,5d9.6s,b 1D,2,5d8.6s.(4F).6p,5D*,2,,T3313n,L11529,
370.65217,0.00020,370.65217,0.00021,540,,,32620.0047,59591.803,5d9.6p,a 3P*,2,5d9.6d,3S,1,,,L11529,
371.65006,0.00020,371.65004,0.00011,36c,,,37769.0673,64668.449,5d9.6p,3D*,3,5d8.(3F<4>).6s.6d.(3D<?>),"b (4,?)",4,,,L11529,
372.4721,0.0020,372.46987,0.00017,4,,,37342.089,64182.265,5d9.6p,b 3P*,2,,,2,,,L11529,
372.5849,0.0020,372.58446,0.00008,7,,,18566.5450,45398.466,5d8.6s2,3P,1,5d8.6s.(4P).6p,5P*,1,,,L11529,
373.18721,0.00020,373.18720,0.00010,21s,,,37590.5647,64379.150,5d9.6p,3F*,4,5d8.(3F<4>).6s.6d,"b (4,?)",5,,,L11529,
373.56012,0.00022,373.56017,0.00007,140hfs,,,34122.1452,60883.985,5d9.6p,3F*,3,5d8.(3F<4>).6s.7s.(1S<0>),"(4,0)",4,,,L11529,
373.91037,0.00014,373.91059,0.00006,26s,,,37769.0673,64505.827,5d9.6p,3D*,3,5d8.(3F<3>).6s.7s.(3S<1>),"(3,1)",3,,,L11529,
374.11392,0.00020,374.11425,0.00015,19,,,37590.5647,64312.770,5d9.6p,3F*,4,5d8.(3F<4>).6s.6d.(3D<?>),"a (4,?)",4,,,L11529,
374.2451,0.0005,374.24560,0.00004,4,,,10131.8684,36844.695,5d9.6s,3D,1,5d9.6p,3P*,1,,,L11529,
374.7528,0.0020,374.75007,0.00011,8,,,37590.5647,64267.433,5d9.6p,3F*,4,5d8.(3F<4>).6s.6d.(3D<?>),"a (4,?)",5,,,L11529,
374.87156,0.00014,374.87139,0.00006,39,,,34122.1452,60790.380,5d9.6p,3F*,3,5d8.(3F<4>).6s.7s.(3S<1>),"(4,1)",3,,,L11529,
375.44527,0.00014,375.44534,0.00007,78,,,30156.846,56784.314,5d8.6s.(4F).6p,5D*,4,5d8.(3F<4>).6s.7s.(3S<1>),"(4,1)",4,,,L11529,
376.2401,0.0020,376.24135,0.00013,11,,,38815.8940,65387.028,5d8.6s.(2D).6p,a 3F*,2,5d9.7d,3D,3,,,L11529,
376.98806,0.00014,376.98793,0.00006,20,,,34122.1452,60640.659,5d9.6p,3F*,3,5d9.7s,3D,2,,,L11529,
377.64251,0.00020,377.64247,0.00013,56,,,41802.733,68275.286,5d8.6s.(2D).6p,a 3D*,1,,,2,,,L11529,
378.49106,0.00020,378.49112,0.00017,40s,,,37769.0673,64182.265,5d9.6p,3D*,3,,,2,,,L11529,
378.95705,0.00014,378.95710,0.00006,14,,,26638.576,53019.296,5d8.6s2,1D,2,5d8.6s.(2F).6p,3D*,1,,,L11529,
379.1589,0.0020,379.15870,0.00022,13,,,41802.733,68169.426,5d8.6s.(2D).6p,a 3D*,1,5d9.6d,b 1D,2,,,L11529,
379.8742,0.0020,379.87478,0.00020,4,,,38815.8940,65132.886,5d8.6s.(2D).6p,a 3F*,2,5d9.7d,3P,2,,,L11529,
380.10723,0.00014,380.10723,0.00006,440D,1.80e+06,C+,15501.8344,41802.733,5d8.6s2,3F,2,5d8.6s.(2D).6p,a 3D*,1,,T3313,L11529,
380.23589,0.00020,380.23587,0.00016,31,,,41802.733,68094.734,5d8.6s.(2D).6p,a 3D*,1,5d9.6d,3F,2,,,L11529,
380.30226,0.00020,380.30228,0.00013,35,,,42660.048,68947.458,5d8.6s.(4F).6p,b 5D*,3,,,3,,,L11529,
380.52973,0.00020,380.52986,0.00010,11,,,36296.294,62567.983,5d8.6s.(4F).6p,a 5G*,4,5d9.8s,3D,3,,,L11529,
380.81298,0.00020,380.81304,0.00013,57,,,42660.048,68912.201,5d8.6s.(4F).6p,b 5D*,3,,z,4,,,L11529,
381.50673,0.00020,381.50711,0.00015,59l,4.3e+05,C,16983.435,43187.829,5d8.6s2,3P,0,5d8.6s.(4F).6p,5D*,1,,T3313,L11529,
381.86874,0.00015,381.86875,0.00006,8300,6.60e+05,B+,10116.7158,36296.294,5d8.6s2,3F,3,5d8.6s.(4F).6p,a 5G*,4,,T3313,L11529,
383.7288,0.0020,383.73069,0.00003,8,,,6567.4517,32620.0047,5d9.6s,3D,2,5d9.6p,a 3P*,2,,,L11529,
383.86561,0.00020,383.86564,0.00015,14,,,42660.048,68703.442,5d8.6s.(4F).6p,b 5D*,3,,x,4,,,L11529,
386.32223,0.00015,386.32207,0.00007,84,3.1e+05,C,18566.5450,44444.346,5d8.6s2,3P,1,5d8.6s.(4F).6p,5F*,2,,T3313,L11529,
386.57875,0.00020,386.57873,0.00009,11,,,36844.695,62705.315,5d9.6p,3P*,1,5d9.8s,1D,2,,,L11529,
386.84209,0.00020,386.84222,0.00010,470,,,38536.1439,64379.150,5d8.6s.(4F).6p,b 5F*,5,5d8.(3F<4>).6s.6d,"b (4,?)",5,,,L11529,
387.57150,0.00020,387.57161,0.00014,470,,,38536.1439,64330.516,5d8.6s.(4F).6p,b 5F*,5,5d8.(3F<4>).6s.6d,"b (4,?)",6,,,L11529,
387.69749,0.00015,387.69729,0.00008,21,,,34122.1452,59908.156,5d9.6p,3F*,3,5d9.6d,a 1D,2,,,L11529,
388.08488,0.00015,388.08478,0.00008,32,,,34122.1452,59882.410,5d9.6p,3F*,3,5d9.6d,3F,4,,,L11529,
388.23976,0.00015,388.23974,0.00006,45,,,34122.1452,59872.128,5d9.6p,3F*,3,5d9.6d,1F,3,,,L11529,
388.52172,0.00020,388.52181,0.00012,26,,,38536.1439,64267.433,5d8.6s.(4F).6p,b 5F*,5,5d8.(3F<4>).6s.6d.(3D<?>),"a (4,?)",5,,,L11529,
389.87316,0.00015,389.87309,0.00006,500s,,,34122.1452,59764.253,5d9.6p,3F*,3,5d9.6d,3D,3,,,L11529,
390.07228,0.00015,390.07216,0.00008,1100s,,,34122.1452,59751.167,5d9.6p,3F*,3,5d9.6d,a 3G,4,,,L11529,
390.37085,0.00015,390.37082,0.00008,150,,,34122.1452,59731.559,5d9.6p,3F*,3,5d9.6d,3P,2,,,L11529,
390.43823,0.00015,390.43813,0.00009,390,,,38536.1439,64141.143,5d8.6s.(4F).6p,b 5F*,5,5d8.(3F<4>).6s.6d.(3D<?>),"a (4,?)",6,,,L11529,
390.62788,0.00015,390.62783,0.00008,120,,,38536.1439,64128.709,5d8.6s.(4F).6p,b 5F*,5,,,5 or 4,,,L11529,
391.08955,0.00015,391.08960,0.00008,430,,,35321.6370,60883.985,5d8.6s.(4F).6p,a 5D*,3,5d8.(3F<4>).6s.7s.(1S<0>),"(4,0)",4,,,L11529,
392.29559,0.00015,392.29559,0.00009,1900c,,,30156.846,55640.612,5d8.6s.(4F).6p,5D*,4,5d8.(3F<4>).6s.7s.(3S<1>),"(4,1)",5,,,L11529,
392.52718,0.00015,392.52700,0.00005,77,,,35321.6370,60790.380,5d8.6s.(4F).6p,a 5D*,3,5d8.(3F<4>).6s.7s.(3S<1>),"(4,1)",3,,,L11529,
392.53359,0.00015,392.53348,0.00005,480,,,15501.8344,40970.1568,5d8.6s2,3F,2,5d8.6s.(4F).6p,5G*,3,,,L11529,
392.63831,0.00020,392.63835,0.00020,37,,,42660.048,68121.568,5d8.6s.(4F).6p,b 5D*,3,5d9.6d,b 3G,4,,,L11529,
394.15998,0.00020,394.16004,0.00009,47,,,37342.089,62705.315,5d9.6p,b 3P*,2,5d9.8s,1D,2,,,L11529,
394.4109,0.0020,394.41411,0.00014,4,,,42660.048,68006.936,5d8.6s.(4F).6p,b 5D*,3,5d9.6d,3G,3,,,L11529,
394.8385,0.0003,394.83866,0.00004,470hfs,8.3e+05,C+,13496.2595,38815.8940,5d9.6s,b 1D,2,5d8.6s.(2D).6p,a 3F*,2,,T3313n,L11529,
395.36375,0.00016,395.36376,0.00005,40,2.8e+04,C,15501.8344,40787.8417,5d8.6s2,3F,2,5d8.6s.(4P).6p,5P*,2,,T3313n,L11529,
396.3041,0.0020,396.30593,0.00011,4,,,37342.089,62567.983,5d9.6p,b 3P*,2,5d9.8s,3D,3,,,L11529,
396.63570,0.00016,396.63570,0.00003,3400,1.38e+06,C+,10116.7158,35321.6370,5d8.6s2,3F,3,5d8.6s.(4F).6p,a 5D*,3,,T3313n,L11529,
398.06010,0.00016,398.06026,0.00005,33,,,26638.576,51753.2970,5d8.6s2,1D,2,5d8.6s.(2F).6p,3F*,2,,,L11529,
398.4939,0.0020,398.49286,0.00014,7,,,43187.829,68275.286,5d8.6s.(4F).6p,5D*,1,,,2,,,L11529,
399.65674,0.00016,399.65681,0.00005,410,2.39e+05,C+,15501.8344,40516.229,5d8.6s2,3F,2,5d8.6s.(4F).6p,5D*,2,,T3313n,L11529,
400.1800,0.0020,400.18152,0.00024,5,,,43187.829,68169.426,5d8.6s.(4F).6p,5D*,1,5d9.6d,b 1D,2,,,L11529,
400.24834,0.00020,400.24847,0.00011,150,,,37590.5647,62567.983,5d9.6p,3F*,4,5d9.8s,3D,3,,,L11529,
400.90950,0.00020,400.90931,0.00010,66,,,37769.0673,62705.315,5d9.6p,3D*,3,5d9.8s,1D,2,,,L11529,
401.8209,0.0020,401.82386,0.00019,12,,,40516.229,65395.723,5d8.6s.(4F).6p,5D*,2,5d9.7d,1D,2,,,L11529,
401.9610,0.0020,401.96434,0.00015,11,,,40516.229,65387.028,5d8.6s.(4F).6p,5D*,2,5d9.7d,3D,3,,,L11529,
402.7950,0.0020,402.79845,0.00018,12,,,16983.435,41802.733,5d8.6s2,3P,0,5d8.6s.(2D).6p,a 3D*,1,,,L11529,
403.12981,0.00020,403.12952,0.00011,56,,,37769.0673,62567.983,5d9.6p,3D*,3,5d9.8s,3D,3,,,L11529,
405.47658,0.00016,405.47631,0.00007,120,,,21967.101,46622.4900,5d8.6s2,1G,4,5d8.6s.(2F).6p,b 3D*,3,,,L11529,
406.0360,0.0020,406.03798,0.00008,17,,,18566.5450,43187.829,5d8.6s2,3P,1,5d8.6s.(4F).6p,5D*,1,,,L11529,
406.1158,0.0020,406.11431,0.00023,5,,,40516.229,65132.886,5d8.6s.(4F).6p,5D*,2,5d9.7d,3P,2,,,L11529,
406.5918,0.0007,406.59275,0.00010,620hfs,,,36296.294,60883.985,5d8.6s.(4F).6p,a 5G*,4,5d8.(3F<4>).6s.7s.(1S<0>),"(4,0)",4,,,L11529,
406.609,0.003,406.61213,0.00008,13,,,35321.6370,59908.156,5d8.6s.(4F).6p,a 5D*,3,5d9.6d,a 1D,2,,,L11529,
407.03844,0.00017,407.03837,0.00007,54,,,35321.6370,59882.410,5d8.6s.(4F).6p,a 5D*,3,5d9.6d,3F,4,,,L11529,
407.21002,0.00020,407.20885,0.00007,6,,,35321.6370,59872.128,5d8.6s.(4F).6p,a 5D*,3,5d9.6d,1F,3,,,L11529c153,
408.14669,0.00017,408.14659,0.00008,410c,,,36296.294,60790.380,5d8.6s.(4F).6p,a 5G*,4,5d8.(3F<4>).6s.7s.(3S<1>),"(4,1)",3,,,L11529,
408.47775,0.00020,408.47775,0.00013,87,,,40194.2203,64668.449,5d8.6s.(4F).6p,5F*,4,5d8.(3F<4>).6s.6d.(3D<?>),"b (4,?)",4,,,L11529,
