obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
625.3184,0.0013,625.31858,0.00012,1,,,33039.969,49027.3953,3d5.(2F1).4s,b 3F,2,3d4.(3P1).4s.4p.(3P*),x 3D*,2,,,L14866,
626.1288,0.0004,626.12896,0.00016,4,,,33060.661,49027.3953,3d5.(2F1).4s,b 3F,3,3d4.(3P1).4s.4p.(3P*),x 3D*,2,,,L14866,
628.687,0.004,628.68321,0.00024,4,,,27222.9417,43124.806,3d5.(4P).4s,b 3P,2,3d5.(4P).4p,z 5S*,2,,,L808,
630.707,0.004,630.70469,0.00007,4,,,31377.8624,47228.7599,3d5.(4F).4s,a 5F,4,3d4.(3H).4s.4p.(3P*),x 5G*,5,,,L808,
631.3196,0.0007,631.31942,0.00007,2,,,31393.2968,47228.7599,3d5.(4F).4s,a 5F,5,3d4.(3H).4s.4p.(3P*),x 5G*,5,,,L14866,
631.5808,0.0014,631.58074,0.00008,1,,,31393.2968,47222.2081,3d5.(4F).4s,a 5F,5,3d4.(3H).4s.4p.(3P*),x 5G*,6,,,L14866,
631.710,0.004,631.70976,0.00008,1,,,31364.2327,47189.9110,3d5.(4F).4s,a 5F,3,3d4.(3H).4s.4p.(3P*),x 5G*,4,,,L808,
632.257,0.004,632.25429,0.00008,10,,,31377.8624,47189.9110,3d5.(4F).4s,a 5F,4,3d4.(3H).4s.4p.(3P*),x 5G*,4,,,L808,
632.745,0.004,632.74408,0.00012,12,,,33039.969,48839.778,3d5.(2F1).4s,b 3F,2,3d4.(3P1).4s.4p.(3P*),x 3D*,1,,,L808,
632.884,0.008,632.87205,0.00008,2w,,,31393.2968,47189.9110,3d5.(4F).4s,a 5F,5,3d4.(3H).4s.4p.(3P*),x 5G*,4,,,L808,
633.00911,0.00004,633.00913,0.00003,360,2.9e+04,D,7593.1484,23386.3419,3d5.(6S).4s,a 5S,2,3d5.(6S).4p,z 7P*,3,,T4288,L14866,
634.287,0.004,634.28569,0.00007,7,,,31364.2327,47125.6412,3d5.(4F).4s,a 5F,3,3d4.(3H).4s.4p.(3P*),x 5G*,3,,,L808,
634.4424,0.0014,634.4422,0.0004,1,,,37205.851,52963.371,3d5.(2G2).4s,c 3G,3,3d4.(1G1).4s.4p.(3P*),x 3H*,4,,,L14866,
634.840,0.004,634.83466,0.00007,2,,,31377.8624,47125.6412,3d5.(4F).4s,a 5F,4,3d4.(3H).4s.4p.(3P*),x 5G*,3,,,L808,
634.901,0.004,634.8990,0.0004,3,,,33906.539,49652.7224,3d4.4s2,c 3D,1,3d5.(4D).4p,x 3F*,2,,,L808,
635.300,0.004,635.29656,0.00007,2,,,28636.9634,44373.2928,3d5.(4D).4s,a 3D,3,3d4.(3F1).4s.4p.(3P*),y 5G*,3,,,L808,
636.182,0.004,636.17830,0.00024,2,,,33935.613,49650.1320,3d4.4s2,c 3D,2,3d5.(4D).4p,x 3F*,3,,,L808,
636.28621,0.00004,636.28620,0.00003,170,,,7593.1484,23305.0026,3d5.(6S).4s,a 5S,2,3d5.(6S).4p,z 7P*,2,,,L14866,
636.969,0.004,636.96536,0.00012,1,,,31352.3828,47047.4845,3d5.(4F).4s,a 5F,1,3d4.(3H).4s.4p.(3P*),x 5G*,2,,,L808,
637.078,0.004,637.07643,0.00009,5,,,31355.1192,47047.4845,3d5.(4F).4s,a 5F,2,3d4.(3H).4s.4p.(3P*),x 5G*,2,,,L808,
637.345,0.004,637.34280,0.00020,4,,,33934.757,49620.5640,3d4.4s2,c 3D,3,3d5.(4D).4p,x 3F*,4,,,L808,
637.460,0.008,637.44664,0.00008,3w,,,31364.2327,47047.4845,3d5.(4F).4s,a 5F,3,3d4.(3H).4s.4p.(3P*),x 5G*,2,,,L808,
637.519,0.004,637.51736,0.00020,7,,,37233.423,52914.9351,3d5.(2G2).4s,c 3G,5,3d4.(1G1).4s.4p.(3P*),x 3H*,6,,,L808,
637.635,0.008,637.63127,0.00006,3w,,,31280.3147,46959.0255,3d4.(5D).4s.4p.(3P*),z 5F*,5,3d4.4s.5s,f 7D,5,,,L808,
637.716,0.004,637.71160,0.00008,1,,,31106.3170,46783.0528,3d4.(5D).4s.4p.(3P*),z 5F*,4,3d4.4s.5s,f 7D,4,,,L808,
637.869,0.004,637.86568,0.00012,3,,,33113.212,48786.161,3d5.(2F1).4s,b 3F,4,,x 3G*,5,,,L808,
638.314,0.004,638.30978,0.00007,2,,,31393.2968,47055.3416,3d5.(4F).4s,a 5F,5,3d5.(4G).4p,y 3G*,5,,,L808,
639.1613,0.0014,639.16151,0.00020,1,,,37244.011,52885.185,3d5.(2G2).4s,c 3G,4,3d4.(1G1).4s.4p.(3P*),x 3H*,5,,,L14866,
641.1546,0.0004,641.15471,0.00006,4,,,31393.2968,46985.8465,3d5.(4F).4s,a 5F,5,3d4.(3H).4s.4p.(3P*),z 3G*,5,,,L14866,
642.814,0.004,642.81090,0.00008,25,,,35397.9566,50950.3326,3d6,c 5D,4,3d4.(3G).4s.4p.(3P*),w 3F*,3,,,L808,
643.8541,0.0007,643.85418,0.00006,2,,,31377.8624,46905.0382,3d5.(4F).4s,a 5F,4,3d4.(3H).4s.4p.(3P*),z 3G*,4,,,L14866,
645.2234,0.0003,645.22352,0.00005,7,,,7810.7795,23305.0026,3d4.4s2,a 5D,1,3d5.(6S).4p,z 7P*,2,,,L14866,
646.6978,0.0003,646.69781,0.00004,8,,,7927.4410,23386.3419,3d4.4s2,a 5D,2,3d5.(6S).4p,z 7P*,3,,,L14866,
647.005,0.004,647.0008,0.0006,6,,,47222.2081,62673.869,3d4.(3H).4s.4p.(3P*),x 5G*,6,3d5.(4G).4d,f 5G,6,,,L808,
647.7507,0.0005,647.75079,0.00006,3,,,23163.2205,38596.9917,3d4.4s2,a 3P,0,3d4.(5D).4s.4p.(3P*),z 3D*,1,,,L14866,
649.0181,0.0007,649.01823,0.00004,2,,,8095.1842,23498.8156,3d4.4s2,a 5D,3,3d5.(6S).4p,z 7P*,4,,,L14866,
650.11855,0.00008,650.11853,0.00004,23,,,7927.4410,23305.0026,3d4.4s2,a 5D,2,3d5.(6S).4p,z 7P*,2,,,L14866,
650.613,0.004,650.61013,0.00021,5,,,44050.9786,59416.921,3d5.(6S).4d,e 5D,4,3d4.(3F1).4s.4p.(1P*),r 3F*,3,,,L808,
650.894,0.004,650.89155,0.00005,4,,,31008.9708,46368.2695,3d5.(2D3).4s,b 3D,3,3d4.(3F1).4s.4p.(3P*),w 5D*,3,,,L808,
650.937,0.004,650.93446,0.00025,3,,,37233.423,52591.7094,3d5.(2G2).4s,c 3G,5,3d4.(1I).4s.4p.(3P*),y 3I*,5,,,L808,
651.0214,0.0004,651.02127,0.00006,4,,,31364.2327,46720.4711,3d5.(4F).4s,a 5F,3,3d4.(3G).4s.4p.(3P*),w 5F*,4,,,L14866,
651.5996,0.0003,651.59961,0.00006,6,,,31377.8624,46720.4711,3d5.(4F).4s,a 5F,4,3d4.(3G).4s.4p.(3P*),w 5F*,4,,,L14866,
651.695,0.004,651.69144,0.00005,4,,,31008.9708,46349.4177,3d5.(2D3).4s,b 3D,3,3d4.(3F1).4s.4p.(3P*),w 5D*,2,,,L808,
651.712,0.004,651.70998,0.00005,3,,,31028.2590,46368.2695,3d5.(2D3).4s,b 3D,2,3d4.(3F1).4s.4p.(3P*),w 5D*,3,,,L808,
651.898,0.004,651.8907,0.0013,3,,,42025.4956,57361.253,3d4.(3H).4s.4p.(3P*),z 5H*,3,3d5.(4G).5s,e 5G,3,,,L808,
652.0035,0.0004,652.00339,0.00007,4,,,31355.1192,46688.2265,3d5.(4F).4s,a 5F,2,3d4.(3G).4s.4p.(3P*),w 5F*,3,,,L14866,
652.2613,0.0004,652.26131,0.00006,4,,,31377.8624,46704.9067,3d5.(4F).4s,a 5F,4,3d4.(3G).4s.4p.(3P*),w 5F*,5,,,L14866,
652.308,0.004,652.30608,0.00017,8,,,31352.3828,46678.375,3d5.(4F).4s,a 5F,1,3d4.(3G).4s.4p.(3P*),w 5F*,1,,,L808,
652.351,0.004,652.345,0.003,5,,,42025.4956,57350.57,3d4.(3H).4s.4p.(3P*),z 5H*,3,3d5.(4G).5s,e 5G,2,,,L808,
652.362,0.004,652.35766,0.00010,8,,,31352.3828,46677.1634,3d5.(4F).4s,a 5F,1,3d4.(3G).4s.4p.(3P*),w 5F*,2,,,L808,
652.3911,0.0004,652.39115,0.00006,4,,,31364.2327,46688.2265,3d5.(4F).4s,a 5F,3,3d4.(3G).4s.4p.(3P*),w 5F*,3,,,L14866,
652.427,0.004,652.42257,0.00013,4,,,31355.1192,46678.375,3d5.(4F).4s,a 5F,2,3d4.(3G).4s.4p.(3P*),w 5F*,1,,,L808,
652.476,0.004,652.47416,0.00008,15,,,31355.1192,46677.1634,3d5.(4F).4s,a 5F,2,3d4.(3G).4s.4p.(3P*),w 5F*,2,,,L808,
652.516,0.004,652.51187,0.00005,2,,,31028.2590,46349.4177,3d5.(2D3).4s,b 3D,2,3d4.(3F1).4s.4p.(3P*),w 5D*,2,,,L808,
652.866,0.004,652.86249,0.00007,6,,,31364.2327,46677.1634,3d5.(4F).4s,a 5F,3,3d4.(3G).4s.4p.(3P*),w 5F*,2,,,L808,
652.9188,0.0002,652.91880,0.00005,12,,,31393.2968,46704.9067,3d5.(4F).4s,a 5F,5,3d4.(3G).4s.4p.(3P*),w 5F*,5,,,L14866,
652.9718,0.0007,652.97193,0.00006,2,,,31377.8624,46688.2265,3d5.(4F).4s,a 5F,4,3d4.(3G).4s.4p.(3P*),w 5F*,3,,,L14866,
653.394,0.004,653.38569,0.00005,2,,,31048.7488,46349.4177,3d5.(2D3).4s,b 3D,1,3d4.(3F1).4s.4p.(3P*),w 5D*,2,,,L808,
653.715,0.004,653.7149,0.0021,5,,,42079.7263,57372.69,3d4.(3H).4s.4p.(3P*),z 5H*,4,3d5.(4G).5s,e 5G,4,,,L808,
653.79209,0.00009,653.79210,0.00003,36,,,8095.1842,23386.3419,3d4.4s2,a 5D,3,3d5.(6S).4p,z 7P*,3,,,L14866,
654.209,0.004,654.2041,0.0013,10,,,42079.7263,57361.253,3d4.(3H).4s.4p.(3P*),z 5H*,4,3d5.(4G).5s,e 5G,3,,,L808,
654.702,0.004,654.69862,0.00005,3,,,31028.2590,46298.2442,3d5.(2D3).4s,b 3D,2,3d4.(3F1).4s.4p.(3P*),w 5D*,1,,,L808,
655.582,0.004,655.57830,0.00006,4,,,31048.7488,46298.2442,3d5.(2D3).4s,b 3D,1,3d4.(3F1).4s.4p.(3P*),w 5D*,1,,,L808,
656.415,0.004,656.41358,0.00006,7,,,35397.9566,50628.0474,3d6,c 5D,4,3d5.(4D).4p,u 5D*,3,,,L808,
656.457,0.004,656.4460,0.0004,8,,,42153.499,57382.838,3d4.(3H).4s.4p.(3P*),z 5H*,5,3d5.(4G).5s,e 5G,5,,,L808,
656.9066,0.0005,656.90645,0.00004,3,,,23511.9739,38730.6379,3d4.4s2,a 3P,1,3d4.(5D).4s.4p.(3P*),z 3D*,2,,,L14866,
657.28846,0.00009,657.28849,0.00004,27,,,8095.1842,23305.0026,3d4.4s2,a 5D,3,3d5.(6S).4p,z 7P*,2,,,L14866,
658.0923,0.0003,658.09232,0.00004,7,,,8307.5753,23498.8156,3d4.4s2,a 5D,4,3d5.(6S).4p,z 7P*,4,,,L14866,
659.0499,0.0007,659.05061,0.00013,2,,,33338.2563,48507.408,3d4.(5D).4s.4p.(3P*),z 5D*,0,3d4.4s.5s,f 5D,1,,,L14866,
659.2134,0.0007,659.21289,0.00005,2,,,31008.9708,46174.3884,3d5.(2D3).4s,b 3D,3,3d5.(4P).4p,y 3D*,3,,,L14866,
659.4683,0.0005,659.46873,0.00007,3,,,35397.9566,50557.4907,3d6,c 5D,4,3d5.(4D).4p,u 5D*,4,,,L14866,
659.7550,0.0003,659.75502,0.00005,8,,,33671.5273,48824.4834,3d4.(5D).4s.4p.(3P*),z 5D*,3,3d4.4s.5s,f 5D,4,,,L14866,
660.0524,0.0007,660.05238,0.00005,2,,,31028.2590,46174.3884,3d5.(2D3).4s,b 3D,2,3d5.(4P).4p,y 3D*,3,,,L14866,
660.377,0.004,660.37540,0.00017,2,,,33113.212,48251.933,3d5.(2F1).4s,b 3F,4,3d4.(3F1).4s.4p.(3P*),3D*,3,,,L808,
660.446,0.004,660.44198,0.00013,12,,,42252.141,57389.3358,3d4.(3H).4s.4p.(3P*),z 5H*,6,3d5.(4G).5s,e 5G,6,,,L808,
660.5542,0.0003,660.55440,0.00008,5,,,33423.7845,48558.403,3d4.(5D).4s.4p.(3P*),z 5D*,1,3d4.4s.5s,f 5D,2,,,L14866,
660.723,0.004,660.7256,0.0005,15,,,42252.141,57382.838,3d4.(3H).4s.4p.(3P*),z 5H*,6,3d5.(4G).5s,e 5G,5,,,L808,
660.890,0.004,660.89276,0.00006,15,,,35501.1774,50628.0474,3d6,c 5D,3,3d5.(4D).4p,u 5D*,3,,,L808,
661.2189,0.0003,661.21886,0.00006,8,,,33542.0985,48661.5083,3d4.(5D).4s.4p.(3P*),z 5D*,2,3d4.4s.5s,f 5D,3,,,L14866,
662.054,0.004,662.05780,0.00005,2,,,31008.9708,46109.2219,3d5.(2D3).4s,b 3D,3,3d5.(4P).4p,y 3D*,2,,,L808,
662.392,0.004,662.3917,0.0004,3,,,33934.757,49027.3953,3d4.4s2,c 3D,3,3d4.(3P1).4s.4p.(3P*),x 3D*,2,,,L808,
662.518,0.004,662.51592,0.00008,10,,,35572.9194,50662.729,3d6,c 5D,2,3d5.(4D).4p,u 5D*,1,,,L808,
662.7264,0.0004,662.72637,0.00004,5,,,23511.9739,38596.9917,3d4.4s2,a 3P,1,3d4.(5D).4s.4p.(3P*),z 3D*,1,,,L14866,
662.783,0.010,662.78763,0.00013,3w,,,33423.7845,48507.408,3d4.(5D).4s.4p.(3P*),z 5D*,1,3d4.4s.5s,f 5D,1,,,L808,
