obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
298.6754,0.0005,298.6751,,,,0.000,33471.43,4p6.5s,2S,1/2,4p6.25p,2P*,3/2,,,L3287,
298.6782,0.0005,298.6780,,,,0.000,33471.11,4p6.5s,2S,1/2,4p6.25p,2P*,1/2,,,L3287,
298.8634,0.0005,298.8631,,,,0.000,33450.38,4p6.5s,2S,1/2,4p6.24p,2P*,3/2,,,L3287,
298.8665,0.0005,298.8662,,,,0.000,33450.03,4p6.5s,2S,1/2,4p6.24p,2P*,1/2,,,L3287,
299.0800,0.0005,299.0797,,,,0.000,33426.15,4p6.5s,2S,1/2,4p6.23p,2P*,3/2,,,L3287,
299.0835,0.0005,299.0832,,,,0.000,33425.76,4p6.5s,2S,1/2,4p6.23p,2P*,1/2,,,L3287,
299.3313,0.0005,299.3310,,,,0.000,33398.09,4p6.5s,2S,1/2,4p6.22p,2P*,3/2,,,L3287,
299.3352,0.0005,299.3349,,,,0.000,33397.66,4p6.5s,2S,1/2,4p6.22p,2P*,1/2,,,L3287,
299.6256,0.0005,299.6253,,,,0.000,33365.29,4p6.5s,2S,1/2,4p6.21p,2P*,3/2,,,L3287,
299.6299,0.0005,299.6296,,,,0.000,33364.81,4p6.5s,2S,1/2,4p6.21p,2P*,1/2,,,L3287,
299.9776,0.0005,299.9774,,5.7e+02,D+,0.000,33326.13,4p6.5s,2S,1/2,4p6.20p,2P*,1/2,,T7227,L3287,
300.3862,0.0005,300.3859,,2.05e+03,B,0.000,33280.81,4p6.5s,2S,1/2,4p6.19p,2P*,3/2,,T7227,L3287,
300.3923,0.0005,300.3920,,8.7e+02,C+,0.000,33280.13,4p6.5s,2S,1/2,4p6.19p,2P*,1/2,,T7227,L3287,
300.8847,0.0005,300.8844,,2.64e+03,C+,0.000,33225.67,4p6.5s,2S,1/2,4p6.18p,2P*,3/2,,T7227,L3287,
300.8923,0.0005,300.8920,,1.05e+03,C+,0.000,33224.83,4p6.5s,2S,1/2,4p6.18p,2P*,1/2,,T7227,L3287,
301.4938,0.0005,301.4936,,3.26e+03,B,0.000,33158.54,4p6.5s,2S,1/2,4p6.17p,2P*,3/2,,T7227,L3287,
301.5029,0.0005,301.5027,,1.39e+03,C+,0.000,33157.54,4p6.5s,2S,1/2,4p6.17p,2P*,1/2,,T7227,L3287,
302.2478,0.0005,302.2475,,4.12e+03,B,0.000,33075.83,4p6.5s,2S,1/2,4p6.16p,2P*,3/2,,T7227,L3287,
302.2591,0.0005,302.2589,,1.77e+03,B,0.000,33074.59,4p6.5s,2S,1/2,4p6.16p,2P*,1/2,,T7227,L3287,
303.1979,0.0005,303.1976,,4.93e+03,B+,0.000,32972.19,4p6.5s,2S,1/2,4p6.15p,2P*,3/2,,T7227,L3287,
303.2120,0.0005,303.2117,,2.49e+03,B+,0.000,32970.66,4p6.5s,2S,1/2,4p6.15p,2P*,1/2,,T7227,L3287,
304.4182,0.0005,304.4179,,8.20e+03,B,0.000,32840.02,4p6.5s,2S,1/2,4p6.14p,2P*,3/2,,T7227,L3287,
304.4368,0.0005,304.4365,,3.72e+03,B+,0.000,32838.02,4p6.5s,2S,1/2,4p6.14p,2P*,1/2,,T7227,L3287,
306.0247,0.0005,306.0245,,1.05e+04,B+,0.000,32667.63,4p6.5s,2S,1/2,4p6.13p,2P*,3/2,,T7227,L3287,
306.0491,0.0005,306.0488,,4.51e+03,B,0.000,32665.03,4p6.5s,2S,1/2,4p6.13p,2P*,1/2,,T7227,L3287,
308.2003,0.0005,308.2000,2,1.49e+04,B+,0.000,32437.04,4p6.5s,2S,1/2,4p6.12p,2P*,3/2,,T7227,L3287,
308.2340,0.0005,308.2337,,6.98e+03,B,0.000,32433.50,4p6.5s,2S,1/2,4p6.12p,2P*,1/2,,T7227,L3287,
311.2566,0.0005,311.25657,10,2.51e+04,B,0.000,32118.52,4p6.5s,2S,1/2,4p6.11p,2P*,3/2,,T7227,L3287,
311.3047,0.0005,311.30474,3,1.27e+04,B,0.000,32113.55,4p6.5s,2S,1/2,4p6.11p,2P*,1/2,,T7227,L3287,
315.7530,0.0005,315.75298,25,3.38e+04,B,0.000,31661.16,4p6.5s,2S,1/2,4p6.10p,2P*,3/2,,T7227,L3287,
315.8259,0.0005,315.82591,5,2.01e+04,B,0.000,31653.85,4p6.5s,2S,1/2,4p6.10p,2P*,1/2,,T7227,L3287,
322.7979,0.0005,322.79795,50,6.40e+04,C+,0.000,30970.19,4p6.5s,2S,1/2,4p6.9p,2P*,3/2,,T7227,L3287,
322.9156,0.0005,322.91557,6,3.84e+04,C+,0.000,30958.91,4p6.5s,2S,1/2,4p6.9p,2P*,1/2,,T7227,L3287,
334.8696,0.0006,334.86958,60,1.37e+05,B,0.000,29853.79,4p6.5s,2S,1/2,4p6.8p,2P*,3/2,,T7227,L3287,
335.0812,0.0006,335.08116,75,8.91e+04,C+,0.000,29834.94,4p6.5s,2S,1/2,4p6.8p,2P*,1/2,,T7227,L3287,
358.7050,0.0005,358.70496,100,3.96e+05,B+,0.000,27870.11,4p6.5s,2S,1/2,4p6.7p,2P*,3/2,,T7227,L3287,
359.1572,0.0005,359.15717,40,2.89e+05,B,0.000,27835.02,4p6.5s,2S,1/2,4p6.7p,2P*,1/2,,T7227,L3287,
420.1792,0.0005,420.18053,1000,1.77e+06,B+,0.000,23792.591,4p6.5s,2S,1/2,4p6.6p,2P*,3/2,,T7227,L3287,
421.5524,0.0005,421.5539,500,1.50e+06,B,0.000,23715.081,4p6.5s,2S,1/2,4p6.6p,2P*,1/2,,T7227,L3287,
505.02,0.03,505.07,,6.54e+06,,134250.1,154044.,4p5.5s.5p,4S,3/2,4p5.4d.(1P).5s,2P*,3/2,,T7580,L7245,
508.79874,0.00010,508.79874,2,,,12578.950,32227.610,4p6.5p,2P*,1/2,4p6.10d,2D,3/2,,,L7459,
513.24708,0.00010,513.24709,2,,,12816.545,32294.911,4p6.5p,2P*,3/2,4p6.12s,2S,1/2,,,L7459,
515.01339,0.00010,515.01340,10,,,12816.545,32228.108,4p6.5p,2P*,3/2,4p6.10d,2D,5/2,,,L7459,
516.50231,0.00010,516.5012,1,,,0.000,19355.649,4p6.5s,2S,1/2,4p6.4d,2D,3/2,M1+E2,,L7459,
516.51416,0.00010,516.5131,2,,,0.000,19355.203,4p6.5s,2S,1/2,4p6.4d,2D,5/2,E2,,L7459,
516.9651,0.0002,516.9653,1,,,12578.950,31917.221,4p6.5p,2P*,1/2,4p6.11s,2S,1/2,,,L3522,
519.52778,0.00010,519.5274,15,,,12578.950,31821.855,4p6.5p,2P*,1/2,4p6.9d,2D,3/2,,,L7459,
521.76,0.03,521.75,,2.86e+06,,134250.1,153411.,4p5.5s.5p,4S,3/2,4p5.5p2,4D*,5/2,,T7580,L7245,
523.39679,0.00010,523.3960,2,,,12816.545,31917.221,4p6.5p,2P*,3/2,4p6.11s,2S,1/2,,,L7459,
526.00338,0.00010,526.0031,20,,,12816.545,31822.550,4p6.5p,2P*,3/2,4p6.9d,2D,5/2,,,L7459,
