obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
257.7888,257.7877,0,,,21870.464,60650.46,3s.3p,3P*,1,3s.12s,3S,1,,,L6095,
258.0587,258.0587,1,,,21911.178,60650.46,3s.3p,3P*,2,3s.12s,3S,1,,,L6095,
258.4216,258.4212,1,,,21850.405,60535.34,3s.3p,3P*,0,3s.10d,3D,1,,,L6095,
258.5558,258.5553,2,,,21870.464,60535.34,3s.3p,3P*,1,3s.10d,3D,2,,,L6095,
258.8285,258.8279,3,,,21911.178,60535.34,3s.3p,3P*,2,3s.10d,3D,3,,,L6095,
259.1891,259.1882,0,,,21850.405,60420.87,3s.3p,3P*,0,3s.11s,3S,1,,,L6095,
259.3231,259.3231,1,,,21870.464,60420.87,3s.3p,3P*,1,3s.11s,3S,1,,,L6095,
259.5973,259.5973,2,,,21911.178,60420.87,3s.3p,3P*,2,3s.11s,3S,1,,,L6095,
260.2495,260.24956,2,,,21850.405,60263.583,3s.3p,3P*,0,3s.9d,3D,1,,,L6095,
260.3854,260.38554,4,,,21870.464,60263.583,3s.3p,3P*,1,3s.9d,3D,2,,,L6095,
260.6621,260.66197,5,,,21911.178,60263.583,3s.3p,3P*,2,3s.9d,3D,3,,,L6095,
261.3357,261.3353,1,,,21850.405,60104.00,3s.3p,3P*,0,3s.10s,3S,1,,,L6095,
261.4726,261.4724,2,,,21870.464,60104.00,3s.3p,3P*,1,3s.10s,3S,1,,,L6095,
261.7513,261.7512,3,,,21911.178,60104.00,3s.3p,3P*,2,3s.10s,3S,1,,,L6095,
262.8664,262.86644,3,,,21850.405,59881.196,3s.3p,3P*,0,3s.8d,3D,1,,,L6095,
263.0053,263.00527,6,,,21870.464,59881.181,3s.3p,3P*,1,3s.8d,3D,2,,,L6095,
263.2873,263.28739,8,,,21911.178,59881.168,3s.3p,3P*,2,3s.8d,3D,3,,,L6095,
264.4801,264.4803,2,,,21850.405,59649.15,3s.3p,3P*,0,3s.9s,3S,1,,,L6095,
264.6206,264.6207,3,,,21870.464,59649.15,3s.3p,3P*,1,3s.9s,3S,1,,,L6095,
264.9062,264.9062,4,,,21911.178,59649.15,3s.3p,3P*,2,3s.9s,3S,1,,,L6095,
266.8124,266.81232,6,,,21850.405,59318.793,3s.3p,3P*,0,3s.7d,3D,1,,,L6095,
266.9553,266.95537,8,,,21870.464,59318.775,3s.3p,3P*,1,3s.7d,3D,2,,,L6095,
267.2460,267.24602,10,,,21911.178,59318.764,3s.3p,3P*,2,3s.7d,3D,3,,,L6095,
269.3723,269.37225,3,,,21850.405,58962.739,3s.3p,3P*,0,3s.8s,3S,1,,,L6095,
269.5181,269.51793,5,,,21870.464,58962.739,3s.3p,3P*,1,3s.8s,3S,1,,,L6095,
269.8145,269.81411,6,,,21911.178,58962.739,3s.3p,3P*,2,3s.8s,3S,1,,,L6095,
273.1993,273.19940,8,6.97e+06,D+,21850.405,58442.874,3s.3p,3P*,0,3s.6d,3D,1,,"T6298c72,LS",L6095,
,273.34925,,5.21e+06,D,21870.464,58442.874,3s.3p,3P*,1,3s.6d,3D,1,,"T6298c72,LS",,
