obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
49.6659,49.6657,0.0007,a*,,,0.0000,201346,3p6.4s,2S,1/2,3p5.4s.(1P*).32s,2P*,"1/2,3/2",,,L6851,
49.6659,49.6657,0.0007,a*,,,0.0000,201346,3p6.4s,2S,1/2,3p5.4s.(1P*).31d,2P*,"1/2,3/2",,,L6851,
49.6682,49.6682,0.0007,a*,,,0.0000,201336,3p6.4s,2S,1/2,3p5.4s.(1P*).31s,2P*,"1/2,3/2",,,L6851,
49.6682,49.6682,0.0007,a*,,,0.0000,201336,3p6.4s,2S,1/2,3p5.4s.(1P*).30d,2P*,"1/2,3/2",,,L6851,
49.6712,49.6712,0.0007,a*,,,0.0000,201324,3p6.4s,2S,1/2,3p5.4s.(1P*).29d,2P*,"1/2,3/2",,,L6851,
49.6712,49.6712,0.0007,a*,,,0.0000,201324,3p6.4s,2S,1/2,3p5.4s.(1P*).30s,2P*,"1/2,3/2",,,L6851,
49.6738,49.6739,0.0007,a*,,,0.0000,201313,3p6.4s,2S,1/2,3p5.4s.(1P*).29s,2P*,"1/2,3/2",,,L6851,
49.6738,49.6739,0.0007,a*,,,0.0000,201313,3p6.4s,2S,1/2,3p5.4s.(1P*).28d,2P*,"1/2,3/2",,,L6851,
49.6768,49.6769,0.0007,a,,,0.0000,201301,3p6.4s,2S,1/2,3p5.4s.(1P*).28s,2P*,"1/2,3/2",,,L6851,
49.6805,49.6806,0.0007,a*,,,0.0000,201286,3p6.4s,2S,1/2,3p5.4s.(1P*).26d,2P*,"1/2,3/2",,,L6851,
49.6805,49.6806,0.0007,a*,,,0.0000,201286,3p6.4s,2S,1/2,3p5.4s.(1P*).27s,2P*,"1/2,3/2",,,L6851,
49.6845,49.6845,0.0007,a*,,,0.0000,201270,3p6.4s,2S,1/2,3p5.4s.(1P*).25d,2P*,"1/2,3/2",,,L6851,
49.6845,49.6845,0.0007,a*,,,0.0000,201270,3p6.4s,2S,1/2,3p5.4s.(1P*).26s,2P*,"1/2,3/2",,,L6851,
49.6888,49.6887,0.0007,a*,,,0.0000,201253,3p6.4s,2S,1/2,3p5.4s.(1P*).25s,2P*,"1/2,3/2",,,L6851,
49.6888,49.6887,0.0007,a*,,,0.0000,201253,3p6.4s,2S,1/2,3p5.4s.(1P*).24d,2P*,"1/2,3/2",,,L6851,
49.6941,49.6941,0.0007,a*,,,0.0000,201231,3p6.4s,2S,1/2,3p5.4s.(1P*).23d,2P*,"1/2,3/2",,,L6851,
49.6941,49.6941,0.0007,a*,,,0.0000,201231,3p6.4s,2S,1/2,3p5.4s.(1P*).24s,2P*,"1/2,3/2",,,L6851,
49.6997,49.6998,0.0007,a*,,,0.0000,201208,3p6.4s,2S,1/2,3p5.4s.(1P*).22d,2P*,"1/2,3/2",,,L6851,
49.6997,49.6998,0.0007,a*,,,0.0000,201208,3p6.4s,2S,1/2,3p5.4s.(1P*).23s,2P*,"1/2,3/2",,,L6851,
49.7067,49.7067,0.0007,a*,,,0.0000,201180,3p6.4s,2S,1/2,3p5.4s.(1P*).21d,2P*,"1/2,3/2",,,L6851,
49.7067,49.7067,0.0007,a*,,,0.0000,201180,3p6.4s,2S,1/2,3p5.4s.(1P*).22s,2P*,"1/2,3/2",,,L6851,
49.7143,49.7144,0.0007,a*,,,0.0000,201149,3p6.4s,2S,1/2,3p5.4s.(1P*).20d,2P*,"1/2,3/2",,,L6851,
49.7143,49.7144,0.0007,a*,,,0.0000,201149,3p6.4s,2S,1/2,3p5.4s.(1P*).21s,2P*,"1/2,3/2",,,L6851,
49.7236,49.7235,0.0007,a*,,,0.0000,201112,3p6.4s,2S,1/2,3p5.4s.(1P*).20s,2P*,"1/2,3/2",,,L6851,
49.7236,49.7235,0.0007,a*,,,0.0000,201112,3p6.4s,2S,1/2,3p5.4s.(1P*).19d,2P*,"1/2,3/2",,,L6851,
49.7345,49.7344,0.0007,a*,,,0.0000,201068,3p6.4s,2S,1/2,3p5.4s.(1P*).19s,2P*,"1/2,3/2",,,L6851,
49.7345,49.7344,0.0007,a*,,,0.0000,201068,3p6.4s,2S,1/2,3p5.4s.(1P*).18d,2P*,"1/2,3/2",,,L6851,
49.7478,49.7478,0.0007,a*,,,0.0000,201014,3p6.4s,2S,1/2,3p5.4s.(1P*).17d,2P*,"1/2,3/2",,,L6851,
49.7478,49.7478,0.0007,a*,,,0.0000,201014,3p6.4s,2S,1/2,3p5.4s.(1P*).18s,2P*,"1/2,3/2",,,L6851,
49.7630,49.7631,0.0007,a*,,,0.0000,200952,3p6.4s,2S,1/2,3p5.4s.(1P*).17s,2P*,"1/2,3/2",,,L6851,
49.7630,49.7631,0.0007,a*,,,0.0000,200952,3p6.4s,2S,1/2,3p5.4s.(1P*).16d,2P*,"1/2,3/2",,,L6851,
49.7823,49.7822,0.0007,a*,,,0.0000,200875,3p6.4s,2S,1/2,3p5.4s.(1P*).16s,2P*,"1/2,3/2",,,L6851,
49.7823,49.7822,0.0007,a*,,,0.0000,200875,3p6.4s,2S,1/2,3p5.4s.(1P*).15d,2P*,"1/2,3/2",,,L6851,
49.8068,,,a,,,,,,,,,,,,,L6851,
49.8075,49.8075,0.0012,a*,,,0.0000,200773,3p6.4s,2S,1/2,3p5.4s.(1P*).14d,2P*,"1/2,3/2",,,L6851,
49.8075,49.8075,0.0012,a*,,,0.0000,200773,3p6.4s,2S,1/2,3p5.4s.(1P*).15s,2P*,"1/2,3/2",,,L6851,
49.8088,,,a,,,,,,,,,,,,,L6851,
49.836,49.836,0.012,"a,w*",,,0.0000,200660,3p6.4s,2S,1/2,3p5.4s.(1P*).14s,2P*,"1/2,3/2",,,L6851,
49.836,49.836,0.012,"a,w*",,,0.0000,200660,3p6.4s,2S,1/2,3p5.4s.(1P*).13d,2P*,"1/2,3/2",,,L6851,
49.8373,,,a,,,,,,,,,,,,,L6851,
49.8403,,,a,,,,,,,,,,,,,L6851,
49.877,49.878,0.012,"a,w*",,,0.0000,200490,3p6.4s,2S,1/2,3p5.4s.(1P*).13s,2P*,"1/2,3/2",,,L6851,
49.877,49.878,0.012,"a,w*",,,0.0000,200490,3p6.4s,2S,1/2,3p5.4s.(1P*).12d,2P*,"1/2,3/2",,,L6851,
49.8778,,,a,,,,,,,,,,,,,L6851,
49.9309,,,a,,,,,,,,,,,,,L6851,
49.933,49.933,0.012,"a,w*",,,0.0000,200270,3p6.4s,2S,1/2,3p5.4s.(1P*).12s,2P*,"1/2,3/2",,,L6851,
49.933,49.933,0.012,"a,w*",,,0.0000,200270,3p6.4s,2S,1/2,3p5.4s.(1P*).11d,2P*,"1/2,3/2",,,L6851,
49.9362,,,a,,,,,,,,,,,,,L6851,
49.9915,,,a,,,,,,,,,,,,,L6851,
49.9945,,,a,,,,,,,,,,,,,L6851,
49.9968,,,a,,,,,,,,,,,,,L6851,
49.9995,,,a,,,,,,,,,,,,,L6851,
50.005,50.005,0.013,"a,w*",,,0.0000,199980,3p6.4s,2S,1/2,3p5.4s.(1P*).10d,2P*,"1/2,3/2",,,L6851,
50.005,50.005,0.013,"a,w*",,,0.0000,199980,3p6.4s,2S,1/2,3p5.4s.(1P*).11s,2P*,"1/2,3/2",,,L6851,
50.0091,,,a,,,,,,,,,,,,,L6851,
50.0134,,,a,,,,,,,,,,,,,L6851,
50.0177,,,a,,,,,,,,,,,,,L6851,
50.0224,,,a,,,,,,,,,,,,,L6851,
50.0287,,,a,,,,,,,,,,,,,L6851,
50.0356,,,a,,,,,,,,,,,,,L6851,
50.0519,,,a,,,,,,,,,,,,,L6851,
50.0628,,,"a,d",,,,,,,,,,,,,L6851,
50.0747,,,a,,,,,,,,,,,,,L6851,
50.0844,,,a,,,,,,,,,,,,,L6851,
50.0867,,,a,,,,,,,,,,,,,L6851,
50.0903,,,a,,,,,,,,,,,,,L6851,
50.0936,,,a,,,,,,,,,,,,,L6851,
50.1033,,,a,,,,,,,,,,,,,L6851,
50.1086,50.1085,0.0008,a,,,0.0000,199567,3p6.4s,2S,1/2,3p5.4s.(1P*).10s,2P*,"1/2,3/2",,,L6851,
50.113,,,"a,w",,,,,,,,,,,,,L6851,
50.1248,,,"a,d",,,,,,,,,,,,,L6851,
50.1324,,,"a,d",,,,,,,,,,,,,L6851,
50.1387,,,"a,d",,,,,,,,,,,,,L6851,
50.1487,,,"a,d",,,,,,,,,,,,,L6851,
50.1606,,,a,,,,,,,,,,,,,L6851,
50.1629,,,a,,,,,,,,,,,,,L6851,
50.1663,,,a,,,,,,,,,,,,,L6851,
50.1696,,,a,,,,,,,,,,,,,L6851,
50.1729,,,a,,,,,,,,,,,,,L6851,
50.1769,,,a,,,,,,,,,,,,,L6851,
50.1838,,,a,,,,,,,,,,,,,L6851,
50.1908,,,a,,,,,,,,,,,,,L6851,
50.1968,,,a,,,,,,,,,,,,,L6851,
50.2034,,,a,,,,,,,,,,,,,L6851,
50.2170,,,a,,,,,,,,,,,,,L6851,
50.2236,,,a,,,,,,,,,,,,,L6851,
50.2382,,,a,,,,,,,,,,,,,L6851,
50.2409,,,a,,,,,,,,,,,,,L6851,
50.2435,,,a,,,,,,,,,,,,,L6851,
50.2534,,,a,,,,,,,,,,,,,L6851,
50.2611,,,a,,,,,,,,,,,,,L6851,
50.2660,,,a,,,,,,,,,,,,,L6851,
50.27,50.28,0.04,"a,w*",,,0.0000,198900,3p6.4s,2S,1/2,3p5.4s.(1P*).8d,2P*?,"1/2,3/2",,,L6851,
50.27,50.28,0.04,"a,w*",,,0.0000,198900,3p6.4s,2S,1/2,3p5.4s.(1P*).9s,2P*?,"1/2,3/2",,,L6851,
50.2849,,,a,,,,,,,,,,,,,L6851,
50.2946,,,a,,,,,,,,,,,,,L6851,
50.3028,,,a,,,,,,,,,,,,,L6851,
50.3121,,,a,,,,,,,,,,,,,L6851,
50.3304,,,a,,,,,,,,,,,,,L6851,
50.3725,,,a,,,,,,,,,,,,,L6851,
50.4116,,,a,,,,,,,,,,,,,L6851,
50.4288,,,a,,,,,,,,,,,,,L6851,
50.4311,,,a,,,,,,,,,,,,,L6851,
50.4341,,,"a,d",,,,,,,,,,,,,L6851,
50.4374,,,a,,,,,,,,,,,,,L6851,
50.4414,,,a,,,,,,,,,,,,,L6851,
50.4444,,,a,,,,,,,,,,,,,L6851,
50.4500,,,a,,,,,,,,,,,,,L6851,
50.4557,,,a,,,,,,,,,,,,,L6851,
50.4646,,,a,,,,,,,,,,,,,L6851,
50.4686,,,a,,,,,,,,,,,,,L6851,
50.4819,,,a,,,,,,,,,,,,,L6851,
50.4845,,,a,,,,,,,,,,,,,L6851,
50.4885,,,a,,,,,,,,,,,,,L6851,
50.4921,50.4920,0.0008,a,,,0.0000,198051,3p6.4s,2S,1/2,3p5.4s.(1P*).7d,2P*,"1/2,3/2",,,L6851,
50.4961,,,a,,,,,,,,,,,,,L6851,
50.5004,,,a,,,,,,,,,,,,,L6851,
50.5054,,,a,,,,,,,,,,,,,L6851,
50.5110,,,a,,,,,,,,,,,,,L6851,
50.5173,50.5173,0.0008,a,,,0.0000,197952,3p6.4s,2S,1/2,3p5.4s.(1P*).8s,2P*,3/2,,,L6851,
50.5233,,,a,,,,,,,,,,,,,L6851,
50.5336,50.5336,0.0008,a,,,0.0000,197888,3p6.4s,2S,1/2,3p5.4s.(1P*).8s,2P*,1/2,,,L6851,
50.5425,,,a,,,,,,,,,,,,,L6851,
50.5485,,,a,,,,,,,,,,,,,L6851,
50.5548,,,a,,,,,,,,,,,,,L6851,
50.5680,,,a,,,,,,,,,,,,,L6851,
50.5763,,,a,,,,,,,,,,,,,L6851,
50.5846,,,a,,,,,,,,,,,,,L6851,
50.5906,,,a,,,,,,,,,,,,,L6851,
50.5962,,,a,,,,,,,,,,,,,L6851,
50.6025,,,a,,,,,,,,,,,,,L6851,
50.6161,,,a,,,,,,,,,,,,,L6851,
50.6360,,,a,,,,,,,,,,,,,L6851,
50.6429,,,a,,,,,,,,,,,,,L6851,
50.6489,,,a,,,,,,,,,,,,,L6851,
50.6737,,,a,,,,,,,,,,,,,L6851,
50.6883,,,a,,,,,,,,,,,,,L6851,
50.7059,,,a,,,,,,,,,,,,,L6851,
50.7231,,,a,,,,,,,,,,,,,L6851,
50.7321,,,a,,,,,,,,,,,,,L6851,
50.7347,,,a,,,,,,,,,,,,,L6851,
50.7470,,,a,,,,,,,,,,,,,L6851,
50.7566,,,a,,,,,,,,,,,,,L6851,
50.7619,,,a,,,,,,,,,,,,,L6851,
50.7682,,,a,,,,,,,,,,,,,L6851,
50.7824,,,a,,,,,,,,,,,,,L6851,
50.7854,,,a,,,,,,,,,,,,,L6851,
50.8000,,,a,,,,,,,,,,,,,L6851,
50.8050,50.8050,0.0008,a,,,0.0000,196831,3p6.4s,2S,1/2,3p5.4s.(1P*).6d,2D*,3/2,,,L6851,
50.8139,,,a,,,,,,,,,,,,,L6851,
50.8219,,,a,,,,,,,,,,,,,L6851,
50.8318,50.8319,0.0008,a,,,0.0000,196727,3p6.4s,2S,1/2,3p5.4s.(1P*).6d,2P*,1/2,,,L6851,
50.8457,,,a,,,,,,,,,,,,,L6851,
50.8507,,,a,,,,,,,,,,,,,L6851,
50.8557,,,a,,,,,,,,,,,,,L6851,
50.8623,,,a,,,,,,,,,,,,,L6851,
50.8669,,,a,,,,,,,,,,,,,L6851,
50.8762,,,a,,,,,,,,,,,,,L6851,
50.8825,,,a,,,,,,,,,,,,,L6851,
50.8908,,,a,,,,,,,,,,,,,L6851,
50.8954,,,a,,,,,,,,,,,,,L6851,
50.9017,,,a,,,,,,,,,,,,,L6851,
50.9087,,,a,,,,,,,,,,,,,L6851,
50.9163,,,a,,,,,,,,,,,,,L6851,
50.9266,50.9266,0.0008,a,,,0.0000,196361,3p6.4s,2S,1/2,3p5.4s.(1P*).6d,2P*,3/2,,,L6851,
50.9316,,,a,,,,,,,,,,,,,L6851,
50.9379,50.9378,0.0008,a,,,0.0000,196318,3p6.4s,2S,1/2,3p5.4s.(1P*).7s,2P*,"1/2,3/2",,,L6851,
50.9514,,,a,,,,,,,,,,,,,L6851,
50.9564,,,a,,,,,,,,,,,,,L6851,
50.9720,,,a,,,,,,,,,,,,,L6851,
50.9793,,,a,,,,,,,,,,,,,L6851,
50.9859,,,a,,,,,,,,,,,,,L6851,
50.9892,,,a,,,,,,,,,,,,,L6851,
51.0025,,,a,,,,,,,,,,,,,L6851,
51.0055,,,a,,,,,,,,,,,,,L6851,
51.0151,,,a,,,,,,,,,,,,,L6851,
51.0233,,,a,,,,,,,,,,,,,L6851,
51.0429,,,a,,,,,,,,,,,,,L6851,
51.0598,,,a,,,,,,,,,,,,,L6851,
51.0671,,,a,,,,,,,,,,,,,L6851,
51.0810,,,a,,,,,,,,,,,,,L6851,
51.0913,,,a,,,,,,,,,,,,,L6851,
51.1118,,,a,,,,,,,,,,,,,L6851,
51.1184,,,a,,,,,,,,,,,,,L6851,
51.1509,,,a,,,,,,,,,,,,,L6851,
51.1837,,,a,,,,,,,,,,,,,L6851,
51.1874,,,a,,,,,,,,,,,,,L6851,
51.1933,,,a,,,,,,,,,,,,,L6851,
51.1999,,,a,,,,,,,,,,,,,L6851,
51.2125,,,a,,,,,,,,,,,,,L6851,
51.2205,,,a,,,,,,,,,,,,,L6851,
51.2410,,,a,,,,,,,,,,,,,L6851,
51.2715,,,a,,,,,,,,,,,,,L6851,
51.2874,,,a,,,,,,,,,,,,,L6851,
51.3050,,,a,,,,,,,,,,,,,L6851,
51.3099,,,a,,,,,,,,,,,,,L6851,
51.3401,,,a,,,,,,,,,,,,,L6851,
51.3503,,,a,,,,,,,,,,,,,L6851,
51.3580,,,a,,,,,,,,,,,,,L6851,
51.3695,,,a,,,,,,,,,,,,,L6851,
51.3911,,,a,,,,,,,,,,,,,L6851,
51.4013,,,a,,,,,,,,,,,,,L6851,
51.4100,,,a,,,,,,,,,,,,,L6851,
51.4242,,,a,,,,,,,,,,,,,L6851,
51.4706,,,a,,,,,,,,,,,,,L6851,
51.4898,,,a,,,,,,,,,,,,,L6851,
51.5054,,,a,,,,,,,,,,,,,L6851,
51.5213,,,a,,,,,,,,,,,,,L6851,
51.5266,51.5265,0.0008,a,,,0.0000,194075,3p6.4s,2S,1/2,3p5.4s.(1P*).5d,2P*,3/2,,,L6851,
51.5607,51.5607,0.0008,a,,,0.0000,193946,3p6.4s,2S,1/2,3p5.4s.(1P*).5d,2P*,1/2,,,L6851,
51.5819,,,a,,,,,,,,,,,,,L6851,
51.6114,51.6113,0.0008,a,,,0.0000,193756,3p6.4s,2S,1/2,3p5.4s.(1P*).5d,2D*,3/2,,,L6851,
51.6322,,,a,,,,,,,,,,,,,L6851,
51.6395,,,a,,,,,,,,,,,,,L6851,
51.6630,,,a,,,,,,,,,,,,,L6851,
51.6776,,,a,,,,,,,,,,,,,L6851,
51.7203,,,a,,,,,,,,,,,,,L6851,
51.7266,,,a,,,,,,,,,,,,,L6851,
51.7388,,,a,,,,,,,,,,,,,L6851,
51.7445,,,a,,,,,,,,,,,,,L6851,
51.7491,,,a,,,,,,,,,,,,,L6851,
51.7750,,,a,,,,,,,,,,,,,L6851,
51.7796,,,a,,,,,,,,,,,,,L6851,
51.7942,51.7941,0.0008,a,,,0.0000,193072,3p6.4s,2S,1/2,3p5.4s.(1P*).6s,2P*,"1/2,3/2",,,L6851,
51.8548,,,a,,,,,,,,,,,,,L6851,
51.8620,,,a,,,,,,,,,,,,,L6851,
51.9514,,,a,,,,,,,,,,,,,L6851,
51.9826,,,a,,,,,,,,,,,,,L6851,
52.0094,,,a,,,,,,,,,,,,,L6851,
52.0398,,,a,,,,,,,,,,,,,L6851,
52.1031,,,a,,,,,,,,,,,,,L6851,
52.1100,,,a,,,,,,,,,,,,,L6851,
52.1478,,,a,,,,,,,,,,,,,L6851,
52.1773,,,a,,,,,,,,,,,,,L6851,
52.2140,,,a,,,,,,,,,,,,,L6851,
52.2541,,,"a,bl",,,,,,,,,,,,,L6851,
52.3643,,,a,,,,,,,,,,,,,L6851,
52.3689,,,a,,,,,,,,,,,,,L6851,
52.3795,,,a,,,,,,,,,,,,,L6851,
52.3947,,,a,,,,,,,,,,,,,L6851,
52.4633,,,a,,,,,,,,,,,,,L6851,
52.5086,,,a,,,,,,,,,,,,,L6851,
52.5281,,,a,,,,,,,,,,,,,L6851,
52.5864,,,a,,,,,,,,,,,,,L6851,
52.5966,,,a,,,,,,,,,,,,,L6851,
52.6281,,,"a,w",,,,,,,,,,,,,L6851,
52.6582,,,a,,,,,,,,,,,,,L6851,
52.6625,,,a,,,,,,,,,,,,,L6851,
52.6777,,,a,,,,,,,,,,,,,L6851,
52.8508,,,a,,,,,,,,,,,,,L6851,
52.9127,,,a,,,,,,,,,,,,,L6851,
52.9435,,,"a,w",,,,,,,,,,,,,L6851,
53.0272,,,a,,,,,,,,,,,,,L6851,
53.1492,,,a,,,,,,,,,,,,,L6851,
53.1780,,,a,,,,,,,,,,,,,L6851,
53.2475,,,"a,w",,,,,,,,,,,,,L6851,
53.2627,,,a,,,,,,,,,,,,,L6851,
53.3593,,,a,,,,,,,,,,,,,L6851,
53.4731,,,a,,,,,,,,,,,,,L6851,
53.5740,,,a,,,,,,,,,,,,,L6851,
53.7109,,,a,,,,,,,,,,,,,L6851,
53.8164,,,a,,,,,,,,,,,,,L6851,
53.8742,,,a,,,,,,,,,,,,,L6851,
53.8772,,,a,,,,,,,,,,,,,L6851,
54.0095,,,"a,bl*",,,,,,,,,,,,,L6851,
54.0095,54.0094,0.0006,"a,bl*",,,0.0000,185153,3p6.4s,2S,1/2,3p5.4s.(1P*).5s,2P*,1/2,,,L6851,
54.2101,,,a,,,,,,,,,,,,,L6851,
54.2455,54.2455,0.0006,a,,,0.0000,184347,3p6.4s,2S,1/2,3p5.4s.(1P*).5s,2P*,3/2,,,L6851,
54.3262,,,a,,,,,,,,,,,,,L6851,
54.3460,,,a,,,,,,,,,,,,,L6851,
54.4871,,,"a,w",,,,,,,,,,,,,L6851,
54.5499,,,"a,w",,,,,,,,,,,,,L6851,
54.7485,,,a,,,,,,,,,,,,,L6851,
54.8986,,,"a,w",,,,,,,,,,,,,L6851,
55.0218,,,a,,,,,,,,,,,,,L6851,
