obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
455.301,,200,,,,,,,L3475,
455.513,,200,,,,,,,L3475,
455.552,,140,,,,,,,L3475,
457.552,,490,,,,,,,L3475,
458.229,,100,,,,,,,L3475,
459.055,,140,,,,,,,L3475,
460.257,,350,,,,,,,L3475,
460.442,,140,,,,,,,L3475,
462.641,,210,,,,,,,L3475,
463.398,,700,,,,,,,L3475,
464.483,,210,,,,,,,L3475,
468.342,,260,,,,,,,L3475,
468.780,,2300,,,,,,,L3475,
468.845,,510,,,,,,,L3475,
470.779,,110,,,,,,,L3475,
471.008,,1900,,,,,,,L3475,
471.192,,160,,,,,,,L3475,
471.762,,120,,,,,,,L3475,
471.912,,210,,,,,,,L3475,
473.233,,300,,,,,,,L3475,
473.948,,1400,,,,,,,L3475,
476.278,,190,,,,,,,L3475,
477.231,,870,,,,,,,L3475,
478.492,,210,,,,,,,L3475,
478.867,,160,,,,,,,L3475,
480.587,,260,,,,,,,L3475,
480.947,,140,,,,,,,L3475,
481.504,,190,,,,,,,L3475,
481.563,,700,,,,,,,L3475,
482.429,,280,,,,,,,L3475,
482.804,,190,,,,,,,L3475,
483.878,,110,,,,,,,L3475,
485.136,,210,,,,,,,L3475,
486.606,,160,,,,,,,L3475,
488.124,,110,,,,,,,L3475,
488.360,,110,,,,,,,L3475,
499.476,,100,,,,,,,L3475,
501.146,,30,,,,,,,L3475,
504.658,,250,,,,,,,L3475,
506.039,,85,,,,,,,L3475,
506.491,,360,,,,,,,L3475,
506.522,,110,,,,,,,L3475,
507.026,,100,,,,,,,L3475,
507.398,,75,,,,,,,L3475,
507.825,,470,,,,,,,L3475,
508.526,,85,,,,,,,L3475,
511.524,,140,,,,,,,L3475,
512.042,,50,,,,,,,L3475,
513.340,,85,,,,,,,L3475,
515.545,,300,,,,,,,L3475,
515.800,,200,,,,,,,L3475,
515.867,,35,,,,,,,L3475,
516.099,,75,,,,,,,L3475,
516.596,,85,,,,,,,L3475,
517.899,,17,,,,,,,L3475,
518.370,,100,,,,,,,L3475,
518.703,,30,,,,,,,L3475,
520.115,,100,,,,,,,L3475,
520.930,,85,,,,,,,L3475,
522.493,,85,,,,,,,L3475,
524.347,,30,,,,,,,L3475,
527.741,,120,,,,,,,L3475,
528.005,,75,,,,,,,L3475,
529.482,,60,,,,,,,L3475,
529.679,,120,,,,,,,L3475,
530.197,,60,,,,,,,L3475,
531.140,,110,,,,,,,L3475,
532.126,,25,,,,,,,L3475,
533.084,,22,,,,,,,L3475,
533.843,,12,,,,,,,L3475,
535.090,,25,,,,,,,L3475,
535.192,,25,,,,,,,L3475,
536.256,,75,,,,,,,L3475,
536.335,,12,,,,,,,L3475,
536.939,,17,,,,,,,L3475,
538.237,,20,,,,,,,L3475,
538.514,,270,,,,,,,L3475,
538.665,,30,,,,,,,L3475,
539.118,,17,,,,,,,L3475,
539.588,,17,,,,,,,L3475,
540.513,,25,,,,,,,L3475,
540.762,,85,,,,,,,L3475,
541.393,,17,,,,,,,L3475,
542.186,,20,,,,,,,L3475,
542.636,,15,,,,,,,L3475,
542.842,,25,,,,,,,L3475,
543.776,,25,,,,,,,L3475,
544.041,,15,,,,,,,L3475,
544.857,,35,,,,,,,L3475,
547.492,,10,,,,,,,L3475,
547.740,,10,,,,,,,L3475,
547.833,,35,,,,,,,L3475,
548.083,,35,,,,,,,L3475,
548.116,,10,,,,,,,L3475,
548.609,,30,,,,,,,L3475,
550.212,,140,,,,,,,L3475,
550.787,,25,,,,,,,L3475,
551.711,,30,,,,,,,L3475,
551.805,,10,,,,,,,L3475,
552.841,,75,,,,,,,L3475,
553.230,,20,,,,,,,L3475,
553.746,,45,,,,,,,L3475,
554.532,,50,,,,,,,L3475,
561.211,,12,,,,,,,L3475,
562.014,,120,,,,,,,L3475,
562.353,,35,,,,,,,L3475,
566.451,,160,,,,,,,L3475,
566.628,,20,,,,,,,L3475,
568.090,,120,,,,,,,L3475,
568.542,,15,,,,,,,L3475,
570.889,,30,,,,,,,L3475,
573.570,,120,,,,,,,L3475,
579.774,,160,,,,,,,L3475,
584.732,,30,,,,,,,L3475,
586.827,,50,,,,,,,L3475,
586.950,,110,,,,,,,L3475,
587.980,,340,,,,,,,L3475,
588.562,,85,,,,,,,L3475,
590.109,,50,,,,,,,L3475,
592.513,,140,,,,,,,L3475,
593.520,,100,,,,,,,L3475,
595.535,,110,,,,,,,L3475,
598.423,,100,,,,,,,L3475,
599.537,,17,,,,,,,L3475,
600.105,,50,,,,,,,L3475,
602.536,,30,,,,,,,L3475,
603.261,,85,,,,,,,L3475,
604.585,,170,,,,,,,L3475,
604.924,,100,,,,,,,L3475,
606.284,,140,,,,,,,L3475,
612.083,,50,,,,,,,L3475,
612.191,,170,,,,,,,L3475,
612.484,,85,,,,,,,L3475,
612.744,,680,,,,,,,L3475,
613.455,,340,,,,,,,L3475,
614.046,,100,,,,,,,L3475,
614.320,,440,,,,,,,L3475,
615.561,,30,,,,,,,L3475,
615.771,,75,,,,,,,L3475,
616.020,,25,,,,,,,L3475,
618.940,,35,,,,,,,L3475,
619.296,,60,,,,,,,L3475,
621.305,,85,,,,,,,L3475,
621.469,,100,,,,,,,L3475,
625.726,,100,,,,,,,L3475,
626.706,,35,,,,,,,L3475,
629.966,,120,,,,,,,L3475,
630.434,,15,,,,,,,L3475,
631.302,,300,,,,,,,L3475,
631.471,,30,,,,,,,L3475,
632.135,,50,,,,,,,L3475,
634.036,,22,,,,,,,L3475,
634.522,,75,,,,,,,L3475,
640.700,,35,,,,,,,L3475,
642.617,,12,,,,,,,L3475,
643.433,,35,,,,,,,L3475,
644.574,,60,,,,,,,L3475,
645.162,,20,,,,,,,L3475,
645.763,,20,,,,,,,L3475,
647.021,,110,,,,,,,L3475,
648.435,,11,,,,,,,L3475,
648.964,,110,,,,,,,L3475,
649.310,,22,,,,,,,L3475,
650.326,,50,,,,,,,L3475,
650.636,,50,,,,,,,L3475,
655.054,,35,,,,,,,L3475,
656.943,,30,,,,,,,L3475,
657.656,,20,,,,,,,L3475,
659.199,,50,,,,,,,L3475,
659.671,,10,,,,,,,L3475,
659.884,,10,,,,,,,L3475,
660.327,,50,,,,,,,L3475,
662.056,,15,,,,,,,L3475,
668.818,,22,,,,,,,L3475,
670.212,,11,,,,,,,L3475,
670.961,,17,,,,,,,L3475,
671.788,,27,,,,,,,L3475,
675.273,,40,,,,,,,L3475,
676.238,,75,,,,,,,L3475,
676.916,,85,,,,,,,L3475,
677.289,,27,,,,,,,L3475,
679.085,,35,,,,,,,L3475,
682.878,,45,,,,,,,L3475,
683.289,,45,,,,,,,L3475,
684.533,,13,,,,,,,L3475,
684.634,,17,,,,,,,L3475,
684.697,,100,,,,,,,L3475,
684.926,,27,,,,,,,L3475,
685.256,,13,,,,,,,L3475,
688.829,,120,,,,,,,L3475,
690.059,,29,,,,,,,L3475,
690.436,,20,,,,,,,L3475,
690.737,,29,,,,,,,L3475,
691.687,,20,,,,,,,L3475,
693.238,,16,,,,,,,L3475,
694.846,,29,,,,,,,L3475,
695.384,,150,,,,,,,L3475,
696.644,,60,,,,,,,L3475,
697.591,,10,,,,,,,L3475,
699.084,,150,,,,,,,L3475,
699.432,,80,,,,,,,L3475,
700.546,,10,,,,,,,L3475,
702.740,,100,,,,,,,L3475,
705.736,,25,,,,,,,L3475,
705.796,,14,,,,,,,L3475,
708.730,,140,,,,,,,L3475,
708.943,,25,,,,,,,L3475,
709.446,,35,,,,,,,L3475,
709.559,,50,,,,,,,L3475,
709.770,,540,,,,,,,L3475,
710.291,,280,,,,,,,L3475,
710.372,,170,,,,,,,L3475,
711.168,,140,,,,,,,L3475,
711.282,,40,,,,,,,L3475,
711.352,,18,,,,,,,L3475,
713.295,,12,,,,,,,L3475,
714.074,,16,,,,,,,L3475,
714.447,,12,,,,,,,L3475,
716.909,,590,,,,,,,L3475,
720.162,,50,,,,,,,L3475,
725.817,,12,,,,,,,L3475,
726.476,,35,,,,,,,L3475,
730.621,,20,,,,,,,L3475,
731.162,,25,,,,,,,L3475,
731.372,,35,,,,,,,L3475,
731.808,,90,,,,,,,L3475,
732.782,,10,,,,,,,L3475,
733.597,,50,,,,,,,L3475,
734.396,,50,,,,,,,L3475,
737.350,,20,,,,,,,L3475,
738.363,,25,,,,,,,L3475,
740.090,,14,,,,,,,L3475,
741.139,,10,,,,,,,L3475,
742.275,,10,,,,,,,L3475,
743.310,,10,,,,,,,L3475,
743.986,,110,,,,,,,L3475,
746.757,,18,,,,,,,L3475,
747.958,,16,,,,,,,L3475,
751.570,,14w,,,,,,,L3475,
751.795,,12,,,,,,,L3475,
754.062,,20w,,,,,,,L3475,
754.459,,20,,,,,,,L3475,
755.146,,29,,,,,,,L3475,
755.470,,40,,,,,,,L3475,
755.845,,25,,,,,,,L3475,
756.009,,12,,,,,,,L3475,
756.212,,12,,,,,,,L3475,
760.715,,80,,,,,,,L3475,
761.208,,14,,,,,,,L3475,
762.117,,20,,,,,,,L3475,
765.860,,29,,,,,,,L3475,
769.083,,18,,,,,,,L3475,
770.427,,14,,,,,,,L3475,
770.842,,10,,,,,,,L3475,
776.655,,10,,,,,,,L3475,
781.632,,12,,,,,,,L3475,
781.935,,110,,,,,,,L3475,
782.294,,35,,,,,,,L3475,
782.672,,40,,,,,,,L3475,
784.935,,90,,,,,,,L3475,
786.999,,35,,,,,,,L3475,
787.625,,14,,,,,,,L3475,
788.218,,16,,,,,,,L3475,
789.798,,10,,,,,,,L3475,
790.846,,16,,,,,,,L3475,
794.047,,20,,,,,,,L3475,
794.461,,160,,,,,,,L3475,
795.666,,80,,,,,,,L3475,
795.998,,80,,,,,,,L3475,
796.363,,20,,,,,,,L3475,
800.527,,160,,,,,,,L3475,
804.605,,25,,,,,,,L3475,
805.306,,16,,,,,,,L3475,
805.529,,20,,,,,,,L3475,
805.576,,20,,,,,,,L3475,
805.808,,60,,,,,,,L3475,
806.309,,150,,,,,,,L3475,
807.008,,790,,,,,,,L3475,
811.428,,10,,,,,,,L3475,
812.017,,20,,,,,,,L3475,
813.299,,390,,,,,,,L3475,
815.258,,20,,,,,,,L3475,
818.877,,12,,,,,,,L3475,
819.473,,40,,,,,,,L3475,
820.173,,60,,,,,,,L3475,
821.253,,280,,,,,,,L3475,
824.037,,20,,,,,,,L3475,
828.381,,40,,,,,,,L3475,
830.590,,140,,,,,,,L3475,
833.244,,14,,,,,,,L3475,
837.023,,50,,,,,,,L3475,
838.941,,120,,,,,,,L3475,
841.400,,70,,,,,,,L3475,
845.317,,50,,,,,,,L3475,
846.465,,50,,,,,,,L3475,
849.844,,40,,,,,,,L3475,
858.421,,18,,,,,,,L3475,
873.486,,10,,,,,,,L3475,
874.948,,12,,,,,,,L3475,
878.623,,10,,,,,,,L3475,
880.498,,16,,,,,,,L3475,
883.609,,70,,,,,,,L3475,
889.952,,60,,,,,,,L3475,
