obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
284.425,284.4241+,640*,,,10690.32,45838.75,5d3.6s2,a 2G,9/2,5d4.(5D).6p,y 6F*,11/2,,,L3475,
284.535,284.5340+,290c,,,5621.04,40755.90,5d3.6s2,a 4F,9/2,,407*,7/2,,,L3475,
284.852,284.8518+,560*,,,11792.13,46887.79,5d3.6s2,a 2P,1/2,,468*,3/2,,,L3475,
284.852,284.8523+,560*,,,3963.92,39059.52,5d3.6s2,a 4F,7/2,,390*,5/2,,,L3475,
285.049,285.0477+,1500,,,23512.34,58583.88,5d4.(a 3F).6s,b 4F,5/2,,585*,3/2,,,L3475,
285.098,285.0978+,1900,,,5621.04,40686.42,5d3.6s2,a 4F,9/2,5d3.6s.(3G).6p,y 4G*?,9/2,,,L3475,
286.198,286.2000+,360,,,9758.97,44689.31,5d4.(5D).6s,a 6D,1/2,5d4.(5D).6p,y 4P*,3/2,,,L3475,
286.865,286.8648+,310,,,3963.92,38813.32,5d3.6s2,a 4F,7/2,5d3.6s.(3H).6p,z 4G*?,9/2,,,L3475,
287.142,287.1411+,470,,,2010.10,36825.97,5d3.6s2,a 4F,5/2,5d3.6s.(3G).6p,y 4G*?,5/2,,,L3475,
287.336,287.3363+,270,,,0.00,34792.22,5d3.6s2,a 4F,3/2,,347*,5/2,,,L3475,
287.356,287.3560+,260*,,,3963.92,38753.75,5d3.6s2,a 4F,7/2,,387*,5/2,,,L3475,
287.356,287.3564+,260*,,,2010.10,36799.88,5d3.6s2,a 4F,5/2,5d3.6s.(3H).6p,z 4G*?,7/2,,,L3475,
287.417,287.4149+,210,,,6068.91,40851.61,5d3.6s2,a 4P,3/2,,408*,5/2,,,L3475,
288.002,288.0004+,380,,,5621.04,40333.03,5d3.6s2,a 4F,9/2,,403*,7/2,,,L3475,
289.184,289.1837+,770,5.6e+07,C+,2010.10,36580.06,5d3.6s2,a 4F,5/2,5d3.6s.(3G).6p,y 4F*?,3/2,,T7871,L3475,
289.904,289.9040+,260,,,3963.92,38447.99,5d3.6s2,a 4F,7/2,5d3.6s.(3G).6p,y 4F*?,5/2,,,L3475,
290.205,290.2045+,560,,,13351.45,47799.81,5d4.(5D).6s,a 6D,9/2,5d4.(5D).6p,x 6D*,9/2,,,L3475,
291.412,291.4109+,210,3.8e+07,D+,10950.22,45255.98,5d3.6s2,a 2P,3/2,5d4.(5D).6p,x 6D*,5/2,,T7871,L3475,
291.549,291.5494+,310,,,3963.92,38253.39,5d3.6s2,a 4F,7/2,,382*,7/2,,,L3475,
292.519,292.5188+,410,,,6068.91,40244.74,5d3.6s2,a 4P,3/2,,402*,1/2,,,L3475,
293.270,293.2678+,310,,,12234.76,46323.31,5d4.(5D).6s,a 6D,7/2,5d4.(5D).6p,y 4P*,5/2,,,L3475,
293.355,293.3550+,1700,,,0.00,34078.42,5d3.6s2,a 4F,3/2,,340*,3/2,,,L3475,
294.006,294.0050+,470,,,10690.32,44693.40,5d3.6s2,a 2G,9/2,,4469*,7/2,,,L3475,
294.022,294.0216+,1200,,,0.00,34001.16,5d3.6s2,a 4F,3/2,,340*,5/2,,,L3475,
294.214,294.2141+,240*,,,3963.92,37942.84,5d3.6s2,a 4F,7/2,5d3.6s.(3H).6p,z 4I*?,9/2,,,L3475,
294.214,294.2142+,240*,,,10690.32,44669.23,5d3.6s2,a 2G,9/2,,4466*,7/2,,,L3475,
295.192,295.1919+,510,,,2010.10,35876.47,5d3.6s2,a 4F,5/2,,358*,5/2,,,L3475,
295.356,295.3557+,340,,,5621.04,39468.63,5d3.6s2,a 4F,9/2,5d3.6s.(3H).6p,z 4I*?,11/2,,,L3475,
296.332,296.3320+,1500,,,2010.10,35746.18,5d3.6s2,a 4F,5/2,,357*,7/2,,,L3475,
296.554,296.553+,770,,,2010.10,35721.0,5d3.6s2,a 4F,5/2,,357*,3/2,,,L3475,
296.947,296.9474+,340,,,3963.92,37630.09,5d3.6s2,a 4F,7/2,,376*,5/2,,,L3475,
297.556,297.5558+,430,,,3963.92,37561.25,5d3.6s2,a 4F,7/2,,375*,7/2,,,L3475,
301.1877,301.1871+,210,,,5621.04,38813.32,5d3.6s2,a 4F,9/2,5d3.6s.(3H).6p,z 4G*?,9/2,,,"L7593,L3475",
302.748,302.7474+,290D,5.9e+07,D+,12234.76,45255.98,5d4.(5D).6s,a 6D,7/2,5d4.(5D).6p,x 6D*,5/2,,T7871,"L182,L3475",
304.9558,304.9556+,530,,,2010.10,34792.22,5d3.6s2,a 4F,5/2,,347*,5/2,,,"L7593,L3475",
306.9237,306.9241+,530,,,12234.76,44806.64,5d4.(5D).6s,a 6D,7/2,5d4.(5D).6p,y 6F*,9/2,,,"L7593,L3475",
307.7245,307.7256+,360*,,,10690.32,43177.37,5d3.6s2,a 2G,9/2,5d4.(5D).6p,y 6F*,7/2,,,"L7593,L3475",
307.7245,307.7232+,360*,,,13351.45,45838.75,5d4.(5D).6s,a 6D,9/2,5d4.(5D).6p,y 6F*,11/2,,,"L7593,L3475",
310.3251,310.3249+,560,,,0.00,32214.94,5d3.6s2,a 4F,3/2,,322*,3/2,,,"L7593,L3475",
312.4969,312.4967+,380,,,2010.10,34001.16,5d3.6s2,a 4F,5/2,,340*,5/2,,,"L7593,L3475",
312.776,312.7865+,150bl(Ta II),5.7e+05,C+,0.00,31961.42,5d3.6s2,a 4F,3/2,5d3.6s.(5P).6p,z 6P*,5/2,,T4976,L3475,
313.0578,313.0577+,380,,,11243.63,43177.37,5d4.(5D).6s,a 6D,5/2,5d4.(5D).6p,y 6F*,7/2,,,"L7593,L3475",
313.2643,313.2656+,270,,,3963.92,35876.47,5d3.6s2,a 4F,7/2,,358*,5/2,,,"L7593,L3475",
316.818,316.8265+,70bl(Ta II),6.0e+05,C+,0.00,31553.89,5d3.6s2,a 4F,3/2,,315*,3/2,,T4976,"L182,L3475",
317.0289,317.0290+,320,8.5e+06,C+,3963.92,35497.65,5d3.6s2,a 4F,7/2,,354*,9/2,,T4976,"L7593,L3475",
317.3586,317.3585+,270,,,0.00,31500.99,5d3.6s2,a 4F,3/2,5d2.6s2.(3P).6p,z 2P*,1/2,,,"L7593,L3475",
