obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
241.981,,1200,,,,,,,L3475,
242.173,,300,,,,,,,L3475,
242.188,,300,,,,,,,L3475,
242.858,,2500,,,,,,,L3475,
243.154,,490,,,,,,,L3475,
243.218,,420,,,,,,,L3475,
244.147,,340c,,,,,,,L3475,
244.251,,230,,,,,,,L3475,
244.494,,250,,,,,,,L3475,
244.698,,610,,,,,,,L3475,
244.971,,610,,,,,,,L3475,
246.120,,390,,,,,,,L3475,
247.902,,200,,,,,,,L3475,
248.392,,1200,,,,,,,L3475,
248.581,,390,,,,,,,L3475,
248.733,,980,,,,,,,L3475,
249.284,,200,,,,,,,L3475,
249.604,,370,,,,,,,L3475,
249.822,,200,,,,,,,L3475,
250.172,,370,,,,,,,L3475,
250.594,,270,,,,,,,L3475,
250.899,,1800c,,,,,,,L3475,
252.001,,570,,,,,,,L3475,
252.150,,540,,,,,,,L3475,
253.480,,370,,,,,,,L3475,
254.051,,570,,,,,,,L3475,
254.474,,740bl,,,,,,,L3475,
254.548,,370,,,,,,,L3475,
255.202,,300,,,,,,,L3475,
255.651,,1000,,,,,,,L3475,
255.908,,250,,,,,,,L3475,
256.419,,340,,,,,,,L3475,
258.679,,380,,,,,,,L3475,
259.986,,290,,,,,,,L3475,
260.389,,290,,,,,,,L3475,
261.154,,610bl,,,,,,,L3475,
262.276,,200,,,,,,,L3475,
263.664,,550,,,,,,,L3475,
264.275,,270,,,,,,,L3475,
264.905,,270,,,,,,,L3475,
265.190,,660,,,,,,,L3475,
265.412,,400,,,,,,,L3475,
266.363,,220,,,,,,,L3475,
267.434,,940,,,,,,,L3475,
268.853,,220,,,,,,,L3475,
271.547,,1300,,,,,,,L3475,
273.221,,220,,,,,,,L3475,
275.800,,220,,,,,,,L3475,
276.379,,210,,,,,,,L3475,
276.639,,200,,,,,,,L3475,
276.774,,310,,,,,,,L3475,
276.885,,220,,,,,,,L3475,
276.932,,220,,,,,,,L3475,
277.042,,350,,,,,,,L3475,
278.357,,550,,,,,,,L3475,
279.129,,220,,,,,,,L3475,
281.468,,220,,,,,,,L3475,
281.995,,880,,,,,,,L3475,
283.408,,310,,,,,,,L3475,
283.755,,200,,,,,,,L3475,
284.035,,200,,,,,,,L3475,
284.300,,220,,,,,,,L3475,
285.098,,270,,,,,,,L3475,
286.719,,240,,,,,,,L3475,
287.528,,200,,,,,,,L3475,
288.344,,200,,,,,,,L3475,
288.768,,2900,,,,,,,L3475,
289.601,,490,,,,,,,L3475,
290.248,,830c,,,,,,,L3475,
290.558,,210,,,,,,,L3475,
290.982,,550,,,,,,,L3475,
292.742,,830c,,,,,,,L3475,
293.061,,270,,,,,,,L3475,
294.314,,440,,,,,,,L3475,
296.227,,270,,,,,,,L3475,
296.511,,720,,,,,,,L3475,
296.576,,1500,,,,,,,L3475,
297.629,,310,,,,,,,L3475,
297.815,,210,,,,,,,L3475,
298.082,,220,,,,,,,L3475,
298.219,,220,,,,,,,L3475,
298.847,,220,,,,,,,L3475,
299.236,,1800,,,,,,,L3475,
299.960,,5500,,,,,,,L3475,
300.114,,350,,,,,,,L3475,
300.414,,220,,,,,,,L3475,
300.642,,200,,,,,,,L3475,
301.602,,500,,,,,,,L3475,
301.649,,300,,,,,,,L3475,
303.045,,380,,,,,,,L3475,
304.725,,240,,,,,,,L3475,
305.878,,200,,,,,,,L3475,
306.740,,1600,,,,,,,L3475,
306.994,,320,,,,,,,L3475,
307.116,,260,,,,,,,L3475,
307.296,,200,,,,,,,L3475,
308.243,,550,,,,,,,L3475,
308.876,,340,,,,,,,L3475,
309.364,,200,,,,,,,L3475,
309.506,,200,,,,,,,L3475,
310.067,,700,,,,,,,L3475,
310.881,,700,,,,,,,L3475,
311.086,,340,,,,,,,L3475,
311.819,,340c,,,,,,,L3475,
312.136,,340,,,,,,,L3475,
312.894,,420,,,,,,,L3475,
313.402,,260,,,,,,,L3475,
314.138,,250,,,,,,,L3475,
315.164,,440,,,,,,,L3475,
315.379,,330,,,,,,,L3475,
315.831,,360c,,,,,,,L3475,
316.452,,220,,,,,,,L3475,
316.837,,700,,,,,,,L3475,
317.461,,220,,,,,,,L3475,
317.771,,440,,,,,,,L3475,
317.861,,260,,,,,,,L3475,
318.287,,600,,,,,,,L3475,
318.476,,1100,,,,,,,L3475,
318.557,,1100,,,,,,,L3475,
319.078,,260,,,,,,,L3475,
319.236,,260,,,,,,,L3475,
319.450,,200,,,,,,,L3475,
319.858,,220,,,,,,,L3475,
320.425,,1100c,,,,,,,L3475,
323.594,,380,,,,,,,L3475,
325.885,,600,,,,,,,L3475,
325.955,,600,,,,,,,L3475,
326.156,,200,,,,,,,L3475,
326.889,,300,,,,,,,L3475,
329.483,,200,,,,,,,L3475,
329.670,,280,,,,,,,L3475,
329.699,,280,,,,,,,L3475,
330.160,,280,,,,,,,L3475,
330.223,,240,,,,,,,L3475,
330.375,,280,,,,,,,L3475,
331.395,,240,,,,,,,L3475,
332.248,,600,,,,,,,L3475,
333.152,,200,,,,,,,L3475,
333.818,,2000,,,,,,,L3475,
334.224,,1600,,,,,,,L3475,
334.432,,810,,,,,,,L3475,
334.620,,320,,,,,,,L3475,
335.633,,240bl,,,,,,,L3475,
335.802,,200,,,,,,,L3475,
336.274,,200,,,,,,,L3475,
337.774,,240,,,,,,,L3475,
337.970,,320,,,,,,,L3475,
338.576,,200,,,,,,,L3475,
338.943,,240,,,,,,,L3475,
339.025,,200,,,,,,,L3475,
339.930,,4000,,,,,,,L3475,
340.472,,650,,,,,,,L3475,
340.589,,650,,,,,,,L3475,
340.867,,240,,,,,,,L3475,
340.983,,320,,,,,,,L3475,
341.777,,320,,,,,,,L3475,
341.941,,810,,,,,,,L3475,
342.462,,8000,,,,,,,L3475,
342.619,,400,,,,,,,L3475,
342.761,,300,,,,,,,L3475,
343.771,,320,,,,,,,L3475,
344.937,,400,,,,,,,L3475,
345.188,,16000c,,,,,,,L3475,
345.350,,240,,,,,,,L3475,
346.046,,55000c,,,,,,,L3475,
346.473,,40000c,,,,,,,L3475,
346.796,,400,,,,,,,L3475,
347.644,,240,,,,,,,L3475,
348.038,,400,,,,,,,L3475,
348.085,,320,,,,,,,L3475,
348.223,,240,,,,,,,L3475,
350.306,,560,,,,,,,L3475,
351.228,,100c,,,,,,,L3475,
351.665,,320,,,,,,,L3475,
351.733,,320,,,,,,,L3475,
353.482,,120,,,,,,,L3475,
353.746,,320,,,,,,,L3475,
353.933,,160,,,,,,,L3475,
354.989,,240,,,,,,,L3475,
355.129,,160,,,,,,,L3475,
355.365,,160,,,,,,,L3475,
355.894,,160,,,,,,,L3475,
356.823,,160,,,,,,,L3475,
357.026,,240,,,,,,,L3475,
357.912,,360,,,,,,,L3475,
358.097,,650,,,,,,,L3475,
358.302,,810,,,,,,,L3475,
359.639,,160,,,,,,,L3475,
361.049,,160,,,,,,,L3475,
361.708,,320,,,,,,,L3475,
362.146,,160,,,,,,,L3475,
362.591,,160,,,,,,,L3475,
363.706,,140,,,,,,,L3475,
363.784,,810,,,,,,,L3475,
365.197,,440,,,,,,,L3475,
366.978,,120,,,,,,,L3475,
367.053,,320,,,,,,,L3475,
368.950,,860c,,,,,,,L3475,
369.148,,1500c,,,,,,,L3475,
369.771,,100,,,,,,,L3475,
370.324,,520,,,,,,,L3475,
370.502,,100,,,,,,,L3475,
370.993,,240,,,,,,,L3475,
371.728,,360c,,,,,,,L3475,
372.576,,4000,,,,,,,L3475,
373.187,,140,,,,,,,L3475,
373.228,,140,,,,,,,L3475,
373.501,,240c,,,,,,,L3475,
373.531,,810,,,,,,,L3475,
374.010,,910,,,,,,,L3475,
374.041,,140,,,,,,,L3475,
374.544,,"300c,w",,,,,,,L3475,
376.648,,140,,,,,,,L3475,
376.826,,120,,,,,,,L3475,
377.766,,140,,,,,,,L3475,
378.752,,700,,,,,,,L3475,
379.659,,160,,,,,,,L3475,
379.759,,160,,,,,,,L3475,
380.774,,190,,,,,,,L3475,
381.566,,120,,,,,,,L3475,
383.630,,120,,,,,,,L3475,
386.994,,240,,,,,,,L3475,
387.526,,240,,,,,,,L3475,
387.686,,240,,,,,,,L3475,
390.821,,100,,,,,,,L3475,
391.392,,130,,,,,,,L3475,
391.727,,380c,,,,,,,L3475,
392.985,,550,,,,,,,L3475,
393.690,,140,,,,,,,L3475,
394.472,,110,,,,,,,L3475,
394.591,,180,,,,,,,L3475,
396.104,,280,,,,,,,L3475,
396.248,,350c,,,,,,,L3475,
400.493,,100,,,,,,,L3475,
402.296,,140,,,,,,,L3475,
402.331,,100,,,,,,,L3475,
402.963,,110c,,,,,,,L3475,
403.331,,220,,,,,,,L3475,
403.749,,110,,,,,,,L3475,
404.899,,200,,,,,,,L3475,
408.143,,240,,,,,,,L3475,
410.442,,140,,,,,,,L3475,
411.089,,240c,,,,,,,L3475,
412.164,,190,,,,,,,L3475,
413.342,,"240c,w",,,,,,,L3475,
413.645,,1800,,,,,,,L3475,
414.436,,700,,,,,,,L3475,
414.996,,140,,,,,,,L3475,
417.040,,160,,,,,,,L3475,
418.290,,220,,,,,,,L3475,
418.306,,220,,,,,,,L3475,
422.108,,650,,,,,,,L3475,
422.746,,3600c,,,,,,,L3475,
424.139,,150,,,,,,,L3475,
425.760,,260c,,,,,,,L3475,
429.117,,120c,,,,,,,L3475,
430.440,,200,,,,,,,L3475,
433.225,,200,,,,,,,L3475,
435.869,,380,,,,,,,L3475,
436.758,,190,,,,,,,L3475,
439.134,,140,,,,,,,L3475,
439.438,,"360c,w",,,,,,,L3475,
440.640,,"110c,w",,,,,,,L3475,
441.582,,180,,,,,,,L3475,
447.508,,150,,,,,,,L3475,
447.839,,120,,,,,,,L3475,
450.704,,120c,,,,,,,L3475,
451.331,,2600,,,,,,,L3475,
451.664,,260,,,,,,,L3475,
452.273,,500,,,,,,,L3475,
452.388,,120,,,,,,,L3475,
452.995,,120,,,,,,,L3475,
454.517,,100,,,,,,,L3475,
458.068,,120,,,,,,,L3475,
460.573,,120,,,,,,,L3475,
462.138,,100,,,,,,,L3475,
479.142,,190c,,,,,,,L3475,
488.914,,"2200c,w",,,,,,,L3475,
492.390,,220,,,,,,,L3475,
505.856,,40,,,,,,,L3475,
509.650,,70,,,,,,,L3475,
512.032,,20,,,,,,,L3475,
516.165,,25,,,,,,,L3475,
517.889,,40c,,,,,,,L3475,
518.174,,20,,,,,,,L3475,
523.431,,35,,,,,,,L3475,
524.886,,50,,,,,,,L3475,
527.095,,1300,,,,,,,L3475,
527.556,,"1600c,w",,,,,,,L3475,
527.824,,100,,,,,,,L3475,
530.556,,30,,,,,,,L3475,
531.728,,20,,,,,,,L3475,
532.128,,35,,,,,,,L3475,
532.746,,50,,,,,,,L3475,
533.190,,20,,,,,,,L3475,
533.276,,20,,,,,,,L3475,
533.385,,20,,,,,,,L3475,
536.948,,35,,,,,,,L3475,
536.980,,50c,,,,,,,L3475,
537.710,,100c,,,,,,,L3475,
543.190,,25,,,,,,,L3475,
543.703,,14,,,,,,,L3475,
544.792,,14,,,,,,,L3475,
546.064,,25,,,,,,,L3475,
552.005,,14w,,,,,,,L3475,
552.110,,25,,,,,,,L3475,
553.268,,50c,,,,,,,L3475,
556.324,,50c,,,,,,,L3475,
557.347,,25,,,,,,,L3475,
558.472,,25,,,,,,,L3475,
560.721,,10w,,,,,,,L3475,
561.227,,12w,,,,,,,L3475,
566.788,,100,,,,,,,L3475,
571.143,,25,,,,,,,L3475,
571.695,,18,,,,,,,L3475,
575.293,,110c,,,,,,,L3475,
577.683,,"110c,w",,,,,,,L3475,
579.160,,18,,,,,,,L3475,
581.592,,10c,,,,,,,L3475,
583.431,,550,,,,,,,L3475,
591.986,,10,,,,,,,L3475,
594.324,,60,,,,,,,L3475,
595.021,,10,,,,,,,L3475,
596.977,,18w,,,,,,,L3475,
598.999,,10,,,,,,,L3475,
599.573,,18w,,,,,,,L3475,
611.422,,30,,,,,,,L3475,
614.581,,35c,,,,,,,L3475,
614.682,,50,,,,,,,L3475,
620.324,,18,,,,,,,L3475,
621.797,,25,,,,,,,L3475,
622.942,,"30c,w",,,,,,,L3475,
624.324,,"35c,w",,,,,,,L3475,
626.002,,35bl,,,,,,,L3475,
626.024,,,,,,,,,L3475,
627.137,,18c,,,,,,,L3475,
627.876,,18,,,,,,,L3475,
628.641,,10,,,,,,,L3475,
630.342,,10,,,,,,,L3475,
630.770,,200,,,,,,,L3475,
632.190,,200,,,,,,,L3475,
635.075,,80bl,,,,,,,L3475,
638.294,,16w,,,,,,,L3475,
641.147,,14,,,,,,,L3475,
651.147,,50,,,,,,,L3475,
651.525,,14,,,,,,,L3475,
654.491,,12,,,,,,,L3475,
657.711,,35c,,,,,,,L3475,
659.252,,"40c,w",,,,,,,L3475,
660.519,,"100c,w",,,,,,,L3475,
662.391,,30c,,,,,,,L3475,
663.725,,10c,,,,,,,L3475,
665.239,,"27c,w",,,,,,,L3475,
668.328,,15w,,,,,,,L3475,
671.130,,9c,,,,,,,L3475,
675.122,,30,,,,,,,L3475,
676.119,,5c,,,,,,,L3475,
681.341,,180c,,,,,,,L3475,
682.990,,260,,,,,,,L3475,
697.153,,85,,,,,,,L3475,
700.663,,"35c,w",,,,,,,L3475,
702.415,,"65c,w",,,,,,,L3475,
724.667,,"65c,w",,,,,,,L3475,
729.272,,"13c,w",,,,,,,L3475,
757.873,,"40c,w",,,,,,,L3475,
761.189,,13,,,,,,,L3475,
762.025,,"7c,w",,,,,,,L3475,
764.094,,"50c,w",,,,,,,L3475,
791.294,,"65c,w",,,,,,,L3475,
798.077,,"35c,w",,,,,,,L3475,
841.713,,40,,,,,,,L3475,
852.773,,"29c,w",,,,,,,L3475,
