obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,12486.9+,,7.19e+04,C,77890.532,78691.37,3s2.3p3.(4S*).6p,3P,2,3s2.3p3.(4S*).5d,3D*,2,,T7952,,
,12653.1+,,1.59e+05,C,77902.208,78692.53,3s2.3p3.(4S*).6p,3P,0,3s2.3p3.(4S*).5d,3D*,1,,T7952,,
,12837.2+,,1.03e+05,C,77913.543,78692.53,3s2.3p3.(4S*).6p,3P,1,3s2.3p3.(4S*).5d,3D*,1,,T7952,,
,12856.3+,,1.83e+05,C,77913.543,78691.37,3s2.3p3.(4S*).6p,3P,1,3s2.3p3.(4S*).5d,3D*,2,,T7952,,
,13198.7+,,2.90e+04,D+,81309.57,82067.22,3s2.3p3.(4S*).7f,3F,2,3s2.3p3.(4S*).9d,3D*,1,,T7952,,
,13265.6+,,3.18e+03,D+,81309.57,82063.40,3s2.3p3.(4S*).7f,3F,2,3s2.3p3.(4S*).9d,3D*,2,,T7952,,
,13265.6+,,2.54e+04,C,81309.57,82063.40,3s2.3p3.(4S*).7f,3F,3,3s2.3p3.(4S*).9d,3D*,2,,T7952,,
,13295.6+,,2.26e+03,D+,81309.57,82061.70,3s2.3p3.(4S*).7f,3F,3,3s2.3p3.(4S*).9d,3D*,3,,T7952,,
,13295.6+,,2.61e+04,C,81309.57,82061.70,3s2.3p3.(4S*).7f,3F,4,3s2.3p3.(4S*).9d,3D*,3,,T7952,,
,13295.6+,,6.45e+01,E,81309.57,82061.70,3s2.3p3.(4S*).7f,3F,2,3s2.3p3.(4S*).9d,3D*,3,,T7952,,
,13425+,,3.38e+03,D+,81308.84,82053.74,3s2.3p3.(4S*).7f,5F,4,3s2.3p3.(4S*).9d,5D*,4,,T7952,,
,13425+,,2.48e+04,C,81308.84,82053.74,3s2.3p3.(4S*).7f,5F,5,3s2.3p3.(4S*).9d,5D*,4,,T7952,,
,13425+,,2.25e+02,D,81308.84,82053.74,3s2.3p3.(4S*).7f,5F,3,3s2.3p3.(4S*).9d,5D*,4,,T7952,,
,13746+,,2.87e+05,C+,79058.04,79785.52,3s2.3p3.(4S*).7s,5S*,2,3s2.3p3.(4S*).7p,5P,3,,T7952,,
,14196.3+,,6.73e+04,C,75951.95,76656.358,3s2.3p3.(4S*).4d,3D*,1,3s2.3p3.(4S*).4f,3F,2,,T7952,,
,14204.4+,,1.24e+04,D+,75952.35,76656.358,3s2.3p3.(4S*).4d,3D*,2,3s2.3p3.(4S*).4f,3F,2,,T7952,,
,14204.9+,,7.11e+04,C,75952.35,76656.330,3s2.3p3.(4S*).4d,3D*,2,3s2.3p3.(4S*).4f,3F,3,,T7952,,
,14289.2+,,3.49e+02,D,75956.53,76656.358,3s2.3p3.(4S*).4d,3D*,3,3s2.3p3.(4S*).4f,3F,2,,T7952,,
,14289.8+,,8.72e+03,D+,75956.53,76656.330,3s2.3p3.(4S*).4d,3D*,3,3s2.3p3.(4S*).4f,3F,3,,T7952,,
,14289.9+,,7.85e+04,C+,75956.53,76656.324,3s2.3p3.(4S*).4d,3D*,3,3s2.3p3.(4S*).4f,3F,4,,T7952,,
,14874+,,2.98e+04,C,80995.60,81667.93,3s2.3p3.(4S*).8p,3P,0,3s2.3p3.(4S*).8d,3D*,1,,T7952,,
,14874+,,2.24e+04,C,80995.60,81667.93,3s2.3p3.(4S*).8p,3P,1,3s2.3p3.(4S*).8d,3D*,1,,T7952,,
,14883+,,1.50e+03,D,80996.03,81667.93,3s2.3p3.(4S*).8p,3P,2,3s2.3p3.(4S*).8d,3D*,1,,T7952,,
,14925+,,4.09e+04,C,80995.60,81665.61,3s2.3p3.(4S*).8p,3P,1,3s2.3p3.(4S*).8d,3D*,2,,T7952,,
,14935+,,1.37e+04,C,80996.03,81665.61,3s2.3p3.(4S*).8p,3P,2,3s2.3p3.(4S*).8d,3D*,2,,T7952,,
,14992+,,5.56e+04,C,80996.03,81663.05,3s2.3p3.(4S*).8p,3P,2,3s2.3p3.(4S*).8d,3D*,3,,T7952,,
,15070+,,2.49e+05,C+,79785.52,80449.10,3s2.3p3.(4S*).7p,5P,3,3s2.3p3.(4S*).8s,5S*,2,,T7952,,
,16964+,,9.04e+04,C,80495.18,81084.67,3s2.3p3.(4S*).6f,3F,2,3s2.3p3.(4S*).7d,3D*,1,,T7952,,
,17028+,,1.00e+04,C,80495.18,81082.46,3s2.3p3.(4S*).6f,3F,2,3s2.3p3.(4S*).7d,3D*,2,,T7952,,
,17028+,,8.01e+04,C,80495.18,81082.46,3s2.3p3.(4S*).6f,3F,3,3s2.3p3.(4S*).7d,3D*,2,,T7952,,
,17091+,,7.13e+03,C,80495.18,81080.29,3s2.3p3.(4S*).6f,3F,3,3s2.3p3.(4S*).7d,3D*,3,,T7952,,
,17091+,,8.25e+04,C+,80495.18,81080.29,3s2.3p3.(4S*).6f,3F,4,3s2.3p3.(4S*).7d,3D*,3,,T7952,,
,17091+,,2.03e+02,D,80495.18,81080.29,3s2.3p3.(4S*).6f,3F,2,3s2.3p3.(4S*).7d,3D*,3,,T7952,,
,17432.54,,7.05e-08,B,0.000,573.640,3s2.3p4,3P,2,3s2.3p4,3P,0,E2,T7942c84,,
,19390+,,1.50e+04,C,81837.45,82353.1,3s2.3p3.(4S*).8f,5F,5,3s2.3p3.(4S*).10d,5D*,4,,T7952,,
,19390+,,1.36e+02,D,81837.45,82353.1,3s2.3p3.(4S*).8f,5F,3,3s2.3p3.(4S*).10d,5D*,4,,T7952,,
,19390+,,2.04e+03,D+,81837.45,82353.1,3s2.3p3.(4S*).8f,5F,4,3s2.3p3.(4S*).10d,5D*,4,,T7952,,
,19914+,,2.89e+03,D+,79992.15,80494.31,3s2.3p3.(4S*).6d,5D*,4,3s2.3p3.(4S*).6f,5F,3,,T7952,,
,19914+,,3.37e+04,C+,79992.15,80494.31,3s2.3p3.(4S*).6d,5D*,4,3s2.3p3.(4S*).6f,5F,4,,T7952,,
,19914+,,2.02e+05,C+,79992.15,80494.31,3s2.3p3.(4S*).6d,5D*,4,3s2.3p3.(4S*).6f,5F,5,,T7952,,
,19921+,,8.08e+03,C,79992.32,80494.31,3s2.3p3.(4S*).6d,5D*,3,3s2.3p3.(4S*).6f,5F,2,,T7952,,
,19921+,,6.06e+04,C+,79992.32,80494.31,3s2.3p3.(4S*).6d,5D*,3,3s2.3p3.(4S*).6f,5F,3,,T7952,,
