Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
116.0437,0.0012,116.044311,0.000009,870,1.7e+06,E,10 708.331,-,96 882.310,3d7(4F)4s,b 3F,3,3d<sup>7</sup>(<sup>4</sup>F)5p,5G°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
116.2600,0.0012,116.260380,0.000005,610,,,11 321.860,-,97 335.685,3d7(4F)4s,b 3F,2,3d<sup>7</sup>(<sup>4</sup>F)5p,5G°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
116.9544,0.0012,116.955697,0.000011,4300d,,,11 651.277,-,97 153.739,3d8,a 1D,2,3d<sup>7</sup>(<sup>4</sup>F)5p,5F°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
117.3114,0.0012,117.310041,0.000006,610,1.2e+07,E,13 404.321,-,98 648.516,3d8,a 3P,1,3d<sup>7</sup>(<sup>4</sup>F)5p,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
117.6802,0.0012,117.681625,0.000010,860,,,10 708.331,-,95 683.364,3d7(4F)4s,b 3F,3,3d<sup>7</sup>(<sup>4</sup>F)5p,5D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
118.7413,0.0009,118.741291,0.000023,1700,4.5e+07,D,0.000,-,84 216.703,3d8,a 3F,4,3d<sup>7</sup>(<sup>2</sup>F)4p,v 3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
118.9428,0.0012,118.941426,0.000004,850D,,,13 260.688,-,97 335.685,3d8,a 3P,2,3d<sup>7</sup>(<sup>4</sup>F)5p,5G°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
119.7793,0.0012,119.77964,0.00004,830,,,13 404.321,-,96 890.966,3d8,a 3P,1,3d<sup>7</sup>(<sup>4</sup>F)5p,5F°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
119.8418,0.0012,119.84049,0.00003,820D,4.1e+07,D,950.324,-,84 394.573,3d8,a 3F,3,3d<sup>7</sup>(<sup>2</sup>F)4p,v 3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
120.3598,0.0012,120.3609,0.0003,570,,,4 028.988,-,87 112.43,3d7(4F)4s,a 5F,4,3d<sup>6</sup>(<sup>5</sup>D)4s4p,v 3F°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
120.7417,0.0012,120.74035,0.00004,800,5.2e+07,D,1 597.197,-,84 419.550,3d8,a 3F,2,3d<sup>7</sup>(<sup>2</sup>F)4p,v 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
