Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
123.903,,123.903003,0.000003,0:,,,1 215.8329,-,81 924.127,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2H°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.913,,123.912569,0.000003,2:,,,983.9157,-,81 685.979,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2G°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.956,,123.956066,0.000003,1:,,,1 215.8329,-,81 889.5772,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4I°,11/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.991,,123.991127,0.000003,0:,,,1 087.3561,-,81 738.2883,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4I°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
124.002,,124.001917,0.000003,0:,,,983.9157,-,81 627.830,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4H°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
124.029,,124.0288370,0.0000023,0:,,,1 215.8329,-,81 842.2440,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2G°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
124.072,,124.071599,0.000003,0:,,,1 087.3561,-,81 685.979,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2G°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
124.086,,124.086283,0.000003,2:,,,1 087.3561,-,81 676.4409,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4H°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
124.165,,124.164519,0.000003,1:,,,1 215.8329,-,81 754.1387,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4H°,11/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
136.699,,136.698535,0.000004,0:,,,8 997.7874,-,82 151.461,3d3,a 2G,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
