Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
99.78142,0.00005,99.78141,0.00005,42000,3.1e+08,D+,40 745.3671,-,140 964.44,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>P)5s5p(<sup>3</sup>P°),5P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
99.92586,0.00010,99.92587,0.00007,4700,,,46 049.0620,-,146 123.25,4d9(2D3/2)5s,2[3/2],2,4d<sup>8</sup>(<sup>1</sup>D)5s5p(<sup>3</sup>P°),3F°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
99.93800,0.00005,99.93805,0.00005,26000,,,39 168.0177,-,139 230.01,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
100.14694,0.00005,100.14690,0.00005,23000,,,40 745.3671,-,140 598.68,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3G°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
100.49292,0.00005,100.492924,0.000006,42000,1.0e+08,D+,46 049.0620,-,145 558.556,4d9(2D3/2)5s,2[3/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),1F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
100.53493,0.00005,100.53495,0.00005,48000,3.8e+08,D+,39 168.0177,-,138 635.91,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
100.64487,0.00006,100.644894,0.000003,7800,,,46 049.0620,-,145 408.300,4d9(2D3/2)5s,2[3/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[7/2]°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
100.74503,0.00005,100.745044,0.000006,51000,,,46 049.0620,-,145 309.528,4d9(2D3/2)5s,2[3/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[5/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
100.81275,0.00005,100.812768,0.000005,33000,,,46 049.0620,-,145 242.847,4d9(2D3/2)5s,2[3/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
100.85859,0.00006,100.858622,0.000004,10000,2.1e+08,D+,46 049.0620,-,145 197.750,4d9(2D3/2)5s,2[3/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
101.02435,0.00005,101.024336,0.000007,36000,6.1e+08,D+,46 049.0620,-,145 035.112,4d9(2D3/2)5s,2[3/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),1D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
101.41648,0.00005,101.41646,0.00005,27000,3.0e+08,D+,43 742.7348,-,142 346.06,4d9(2D3/2)5s,2[3/2],1,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
101.53869,0.00005,101.53867,0.00005,15000,1.5e+08,D+,40 745.3671,-,139 230.01,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
101.72918,0.00006,101.729154,0.000010,1900,,,39 168.0177,-,137 468.255,4d9(2D5/2)5s,2[5/2],3,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
102.03195,0.00005,102.031964,0.000025,3300,,,39 168.0177,-,137 176.52,4d9(2D5/2)5s,2[5/2],3,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[5/2]°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
102.15493,0.00005,102.15491,0.00005,12000,1.2e+08,D+,40 745.3671,-,138 635.91,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
102.83243,0.00005,102.83239,0.00005,14000,,,43 742.7348,-,140 988.36,4d9(2D3/2)5s,2[3/2],1,4d<sup>8</sup>(<sup>3</sup>P)5s5p(<sup>3</sup>P°),5P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
102.85770,0.00005,102.85769,0.00005,6300,,,43 742.7348,-,140 964.44,4d9(2D3/2)5s,2[3/2],1,4d<sup>8</sup>(<sup>3</sup>P)5s5p(<sup>3</sup>P°),5P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
103.15741,0.00005,103.157619,0.000010,4500,,,39 168.0177,-,136 107.052,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),5F°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
103.38811,0.00005,103.388145,0.000011,4600,,,40 745.3671,-,137 468.255,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
103.42345,0.00005,103.423469,0.000013,8800,,,40 745.3671,-,137 435.220,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),5F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
103.64837,0.00005,103.648380,0.000008,1600,,,40 745.3671,-,137 225.409,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
103.70110,0.00005,103.70093,0.00003,6300,,,40 745.3671,-,137 176.52,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[5/2]°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
103.84537,0.00012,103.84540,0.00006,600,,,46 049.0620,-,142 346.06,4d9(2D3/2)5s,2[3/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
103.89900,0.00005,103.899013,0.000010,910,,,39 168.0177,-,135 415.323,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),5G°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
104.07217,0.00005,104.072178,0.000015,3100,,,40 745.3671,-,136 832.527,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
104.30659,0.00005,104.30655,0.00005,3400,,,46 049.0620,-,141 920.32,4d9(2D3/2)5s,2[3/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
104.41292,0.00008,104.412986,0.000019,340,,,40 745.3671,-,136 518.895,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[5/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
104.72603,0.00005,104.72600,0.00005,2900,,,43 742.7348,-,139 230.01,4d9(2D3/2)5s,2[3/2],1,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
105.06948,0.00006,105.069479,0.000008,2300,,,39 168.0177,-,134 343.135,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),5G°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
105.63027,0.00006,105.630133,0.000010,2500,,,40 745.3671,-,135 415.323,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),5G°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
105.76448,0.00007,105.76457,0.00007,920,,,46 049.0620,-,140 598.68,4d9(2D3/2)5s,2[3/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3G°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
