Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),Lower Level  J,Upper Level  J,Type,TPRef.,LineRef.
297.226,,500w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
298.186,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
298.587,,300w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
298.653,,300w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
301.648,,300w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
342.382,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
360.680,,300w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
371.430,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
383.469,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
387.121,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
389.163,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
390.124,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
391.420,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
391.438,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
391.951,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
392.409,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
392.955,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
393.969,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
395.061,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
398.038,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
402.404,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
413.566,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
414.020,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
417.963,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
419.345,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
422.389,,1000,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
423.689,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
429.139,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
436.560,,1000,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
452.960,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
454.292,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
460.136,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
462.270,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
464.202,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
465.198,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
467.870,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
469.317,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
470.485,,500,1.1e+08,,,,,2,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
471.976,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
472.036,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
472.820,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
473.541,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
474.264,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
476.600,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
477.940,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
478.550,,500,9.4e+07,,,,,2,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
480.233,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
481.670,,500,1.1e+08,,,,,2,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
481.846,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
484.481,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
484.875,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
492.112,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
492.879,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
493.066,,450,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
494.551,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
503.874,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
505.464,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
516.438,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
518.001,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
518.235,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
519.390,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
523.823,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
527.268,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
530.410,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
533.057,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
533.205,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
542.278,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
542.499,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
543.507,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
547.847,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
548.879,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
549.506,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
550.669,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
558.994,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
571.871,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
583.078,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
616.174,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
635.294,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
902.442,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
943.404,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
