Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,164.03749939,0.00000003,,3.3700e+07,AA,(329 179.2939406),-,(390 140.964517),2p,2P°,1/2,3s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,164.039135215,0.000000025,,3.5946e+08,AA,(329 179.762313),-,(390 140.8249696),2s,2S,1/2,3p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,164.047417525,0.000000023,,1.0351e+09,AA,(329 185.15110923),-,(390 143.13600712),2p,2P°,3/2,3d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,164.048974189,0.000000023,,1.7252e+08,AA,(329 185.15110923),-,(390 142.55757536),2p,2P°,3/2,3d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,164.05326155,0.00000003,,6.7430e+07,AA,(329 185.15110923),-,(390 140.964517),2p,2P°,3/2,3s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3184772,0.0000021,,2.5056e+07,AA,(390 140.8249696),-,(426 717.352717),3p,2P°,1/2,6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3195173,0.0000021,,1.5291e+07,AA,(390 140.964517),-,(426 717.3530854),3s,2S,1/2,6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3199647,0.0000021,,2.7070e+06,AA,(390 140.8249696),-,(426 717.1536654),3p,2P°,1/2,6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3211384,0.0000021,,1.5293e+07,AA,(390 140.964517),-,(426 717.1361554),3s,2S,1/2,6p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3308860,0.0000021,,3.2071e+07,AA,(390 142.55757536),-,(426 717.424890),3d,2D,3/2,6f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3309064,0.0000021,,3.0065e+07,AA,(390 142.5604306),-,(426 717.425022),3p,2P°,3/2,6d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3314227,0.0000021,,1.2527e+05,AA,(390 142.55757536),-,(426 717.3530854),3d,2D,3/2,6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,273.3314467,0.0000021,,5.0109e+06,AA,(390 142.5604306),-,(426 717.352717),3p,2P°,3/2,6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
