Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
135.8246,135.8246,2,,,12 154.42,-,85 778.78,3p63d2,3P,2,3p<sup>6</sup>3d5f,3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
135.9439,135.9444,1,,,12 101.50,-,85 661.0,3p63d2,3P,1,3p<sup>6</sup>3d5f,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
135.9688,135.9688,2,,,12 154.42,-,85 700.7,3p63d2,3P,2,3p<sup>6</sup>3d5f,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
136.0221,136.0221,1,,,12 074.10,-,85 591.59,3p63d2,3P,0,3p<sup>6</sup>3d5f,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
136.1345,136.1345,1,,,12 101.50,-,85 558.24,3p63d2,3P,1,3p<sup>6</sup>3d5f,1D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
136.6591,136.6591,0,,,2 540.95,-,75 715.75,3p63d4s,1D,2,3p<sup>6</sup>3d4f,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
136.8927,136.8927,2,,,2 540.95,-,75 590.84,3p63d4s,1D,2,3p<sup>6</sup>3d4f,1D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
136.9647,136.9647,2,,,2 540.95,-,75 552.46,3p63d4s,1D,2,3p<sup>6</sup>3d4f,1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
137.3020,137.3020,1,,,2 540.95,-,75 373.10,3p63d4s,1D,2,3p<sup>6</sup>3d4f,3F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
139.7505,139.7505,3,,,14 261.32,-,85 817.40,3p63d2,1G,4,3p<sup>6</sup>3d5f,1H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
140.3645,140.3645,1,,,14 261.32,-,85 504.42,3p63d2,1G,4,3p<sup>6</sup>3d5f,3H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
140.6615,140.6615,0,,,14 261.32,-,85 353.96,3p63d2,1G,4,3p<sup>6</sup>3d5f,1G°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
140.9802,140.9802,0,,,4 987.79,-,75 919.75,3p63d2,3F,4,3p<sup>6</sup>3d4f,1H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
141.1472,141.1472,1,,,4 802.87,-,75 650.90,3p63d2,3F,2,3p<sup>6</sup>3d4f,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
141.2487,141.2487,1,,,4 883.57,-,75 680.69,3p63d2,3F,3,3p<sup>6</sup>3d4f,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
