Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
177.705,177.7049,0.0010,80,9.70e+07,,13 325.401,-,69 598.475,6s26p2,3P,1,6s<sup>2</sup>6p7s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
178.7406,,,60,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
179.1842,179.1842,0.0010,70,6.41e+08,,13 325.401,-,69 133.891,6s26p2,3P,1,6s<sup>2</sup>6p7s,"(1/2,1/2)°",0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
182.3728,182.37284,0.00010,70,,,33 938.718,-,88 771.443,6s26p2,1D,2,6s<sup>2</sup>6p7s,"(3/2,1/2)°",2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
190.2341,190.23422,0.00010,100,3.55e+08,,17 031.698,-,69 598.475,6s26p2,3P,2,6s<sup>2</sup>6p7s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
198.935,,,25,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
206.8937,,,45w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
214.340,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
214.346,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
218.6930,218.69297,0.00010,60,,,44 173.768,-,89 885.675,6s26p2,1S,0,6s<sup>2</sup>6p7s,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
