Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
385.190,0.005,385.189,0.003,5p(Cl II),,,48 987.86,-,74 941.76,5f,2F°,5/2,8g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
389.455,0.003,389.455,0.003,5,,,49 272.14,-,74 941.76,5f,2F°,7/2,8g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
419.409,0.003,419.4091,0.0025,8,,,48 987.86,-,72 824.21,5f,2F°,5/2,7g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
419.556,0.003,419.556,0.003,2,,,50 606.29,-,74 434.30,8p,2P°,1/2,11d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
422.024,0.003,422.024,0.003,1,,,52 392.02,-,76 080.68,8p,2P°,3/2,12d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
424.472,0.004,424.472,0.003,8,,,49 272.14,-,72 824.21,5f,2F°,7/2,7g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
434.064,0.007,434.064,0.008,100p(H I),,,26 208.8538,-,49 240.45,7p,2P°,3/2,7d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
443.6270,0.0020,443.6259,0.0018,20,,,26 208.8538,-,48 744.04,7p,2P°,3/2,7d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
453.3110,0.0020,453.3111,0.0010,30,,,21 351.3259,-,43 405.05,7p,2P°,1/2,8s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
466.352,0.005,466.352,0.005,3,,,50 606.29,-,72 043.33,8p,2P°,1/2,10d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
468.223940,0.000017,468.223940,0.000018,100,1.061e+08,A+,0.000,-,21 351.3259,7s,2S,1/2,7p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19080&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=19080&amp;type=
485.941,0.005,485.942,0.004,10,,,48 987.86,-,69 560.68,5f,2F°,5/2,6g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
492.753,0.005,492.752,0.004,10,,,49 272.14,-,69 560.68,5f,2F°,7/2,6g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
499.726,0.005,499.726,0.005,3,,,43 405.05,-,63 410.43,8s,2S,1/2,9p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
506.657,0.005,506.657,0.005,3,,,52 392.02,-,72 123.74,8p,2P°,3/2,10d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
532.309,0.006,532.309,0.006,1,,,52 392.02,-,71 172.88,8p,2P°,3/2,11s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
562.343,0.007,562.343,0.007,3,,,48 744.04,-,66 521.85,7d,2D,3/2,7f,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
566.173,0.007,566.165,0.006,6,,,50 606.29,-,68 264.07,8p,2P°,1/2,9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
572.883,0.007,572.883,0.007,4,,,49 240.45,-,66 691.18,7d,2D,5/2,7f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
581.3630,0.0020,581.3628,0.0017,20,,,26 208.8538,-,43 405.05,7p,2P°,3/2,8s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
615.873,0.008,615.880,0.007,1,,,50 606.29,-,66 838.72,8p,2P°,1/2,10s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
624.716,0.008,624.716,0.007,4,,,52 392.02,-,68 394.87,8p,2P°,3/2,9d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
629.856,0.008,629.864,0.006,1,,,52 392.02,-,68 264.07,8p,2P°,3/2,9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
659.3340,0.0020,659.3341,0.0017,10,,,48 987.86,-,64 150.49,5f,2F°,5/2,5g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
671.9320,0.0020,671.9320,0.0018,10,,,49 272.14,-,64 150.49,5f,2F°,7/2,5g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
692.011,0.010,692.009,0.008,1,,,52 392.02,-,66 838.72,8p,2P°,3/2,10s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
707.802,0.010,707.79042,0.00011,5,3.38e+06,A,12 084.2721,-,26 208.8538,6d,2D,3/2,7p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
801.9700,0.0020,801.9701,0.0019,50,2.29e+07,B+,13 742.99,-,26 208.8538,6d,2D,5/2,7p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
1 078.79609,0.00007,1 078.79609,0.00007,,1.06e+07,A,12 084.2721,-,21 351.3259,6d,2D,3/2,7p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19080&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=19080&amp;type=
