obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
138.4598,0.0004,138.4595+,72223.13,12000,5.e+08,E,3685.24,75908.53,4s2.4p5,2P*,1/2,4s2.4p4.(1D<2>).5s,2[2],3/2,2,4,,T8844,L351,
144.9903,0.0004,144.9901+,68970.13,3000,9.e+08,E,0.00,68970.21,4s2.4p5,2P*,3/2,4s2.4p4.(3P<0>).5s,2[0],1/2,4,2,,T8844,L351,
148.8452,0.0004,148.8459+,67183.89,50000,2.0e+08,D+,0.00,67183.58,4s2.4p5,2P*,3/2,4s2.4p4.(3P<1>).5s,2[1],3/2,4,4,,T3064,L351,
153.1743,0.0004,153.1746+,65285.10,30000,6.e+08,E,3685.24,68970.21,4s2.4p5,2P*,1/2,4s2.4p4.(3P<0>).5s,2[0],1/2,2,2,,T8844,L351,
154.0654,0.0004,154.0661+,64907.50,25000,2.2e+08,D+,0.00,64907.19,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).5s,2[2],3/2,4,4,,T3064,L351,
157.4841,0.0004,157.4844+,63498.47,30000,2.0e+07,D+,3685.24,67183.58,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).5s,2[1],3/2,2,4,,T3064,L351,
157.6387,0.0004,157.6381+,63436.20,20000,5.7e+06,D+,0.00,63436.45,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).5s,2[2],5/2,4,6,,T3064,L351,
158.2312,0.0004,158.2313+,63198.66,25000,5.e+07,E,3685.24,66883.87,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).5s,2[1],1/2,2,2,,T8844,L351,
163.3404,0.0004,163.3401+,61221.84,75000,2.3e+07,D+,3685.24,64907.19,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5s,2[2],3/2,2,4,,T3064,L351,
381.6733,0.0005,381.6737+,26200.42,1200,,,63436.45,89636.84,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).7p,2[3]*,7/2,6,8,,,L351,
399.3492,0.0005,399.3492+,25040.74,1500,,,64907.19,89947.93,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<0>).6p,2[1]*,3/2,4,4,,,L351,
436.6366,0.0006,436.637+,22902.34,2000,1.5e+06,D+,66883.87,89786.18,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<2>).7p,2[1]*,3/2,2,4,,T1857n,L351,
442.6383,0.0006,442.638+,22591.81,1500,9.e+05,D+,64907.19,87499.03,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[1]*,1/2,4,2,,T1857n,L351,
444.2987,0.0006,444.298+,22507.38,10000,1.5e+06,C,63436.45,85943.86,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[1]*,3/2,6,4,,"T6936n,T9382",L351,
447.3864,0.0006,447.385+,22352.04,10000,2.2e+06,D,64907.19,87259.29,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[1]*,3/2,4,4,,"T6936n,T9382",L351,
447.8976,0.0006,447.898+,22326.53,20000,2.1e+06,C,63436.45,85762.98,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[3]*,7/2,6,8,,"T6936n,T9382",L351,
449.1679,0.0006,449.167+,22263.39,1000,1.6e+06,E,66883.87,89147.30,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<1>).6p,2[1]*,1/2,2,2,,T1857n,L351,
451.4705,0.0006,451.470+,22149.84,3000,5.7e+05,D+,63436.45,85586.30,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[2]*,3/2,6,4,,T1857n,L351,
452.6859,0.0006,452.686+,22090.37,15000,1.5e+06,D+,63436.45,85526.82,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[2]*,5/2,6,6,,T1857n,L351,
457.7021,0.0006,457.702+,21848.27,3000,,,67183.58,89031.84,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<1>).6p,2[1]*,3/2,4,4,,,L351,
461.5872,0.0006,461.586+,21664.38,2500,,,67183.58,88848.01,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<1>).6p,2[2]*,5/2,4,6,,,L351,
475.3609,0.0007,475.360+,21036.65,2500,,,64907.19,85943.86,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<2>).6p,2[1]*,3/2,4,4,,,L351,
478.1646,0.0007,478.164+,20913.30,4000,,,64907.19,85820.53,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<2>).6p,2[3]*,5/2,4,6,,,L351,
478.6528,0.0007,478.652+,20891.97,1600,,,64907.19,85799.19,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<2>).6p,2[1]*,1/2,4,2,,,L351,
498.1148,0.0007,498.114+,20075.69,4000,5.3e+05,D+,67183.58,87259.29,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(1D<2>).5p,2[1]*,3/2,4,4,,T1857n,L351,
524.6579,0.0008,524.659+,19060.04,350,,,66883.87,85943.86,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<2>).6p,2[1]*,3/2,2,4,,,L351,
