obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""366.481""","=""0.010""","=""366.48872+""","=""540*""","=""""",,"=""18356.491""","=""45634.691""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""4d4.5s.(4F).5p""","=""w 5F*""","=""3""",,"=""""","=""L3475""",
"=""366.4884""","=""0.0010""","=""366.48822+""","=""540*""","=""1.92e+07""",B,"=""19969.847""","=""47248.084""","=""4d5.(4D).5s""","=""b 5D""","=""0""","=""""","=""14*""","=""1""",,"=""T5293""","=""L10250,L3475""",
"=""366.6715""","=""0.0010""","=""366.67155+""","=""290""","=""9.9e+06""",B,"=""16747.720""","=""44012.319""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""4d4.5s.(4H).5p""","=""y 5H*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""366.9345""","=""0.0010""","=""366.93449+""","=""220""","=""2.16e+07""",B,"=""21153.884""","=""48398.946""","=""4d5.(4G).5s""","=""a 3G""","=""4""","=""4d5.(2F).5p""","=""v 3F*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""367.2807""","=""0.0010""","=""367.28073+""","=""529""","=""1.95e+07""",B,"=""16747.720""","=""43967.098""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""""","=""3.5*""","=""5""",,"=""T5293""","=""L10250""",
"=""367.2823""","=""0.0010""","=""367.28207+""","=""31""","=""1.13e+07""",B,"=""26635.820""","=""53855.099""","=""4d4.5s2""","=""a 1G""","=""4""","=""""","=""83*""","=""4""",,"=""T5293""","=""L10250""",
"=""367.6232""","=""0.0010""","=""367.62324+""","=""90""","=""5.2e+07""",B,"=""20130.313""","=""47324.332""","=""4d5.(4D).5s""","=""b 5D""","=""1""","=""""","=""16*""","=""0""",,"=""T5293""","=""L10250,L3475""",
"=""368.0589""","=""0.0010""","=""368.05900+""","=""1300""","=""9.5e+06""",B+,"=""16783.856""","=""43945.680""","=""4d5.(4G).5s""","=""a 5G""","=""6""","=""4d5.(4G).5p""","=""z 3G*""","=""5""",,"=""T5293""","=""L10250,L3475""",
"=""368.1719""","=""0.0010""","=""368.17195+""","=""70""","=""1.68e+07""",B,"=""23516.476""","=""50669.967""","=""4d4.5s2""","=""a 3F""","=""4""","=""""","=""34*""","=""3""",,"=""T5293""","=""L10250""",
"=""368.3014""","=""0.0010""","=""368.30147+""","=""22""","=""1.20e+07""",B,"=""25820.622""","=""52964.564""","=""4d6""","=""c 5D""","=""1""","=""""","=""66*""","=""2""",,"=""T5293""","=""L10250""",
"=""368.7960""","=""0.0010""","=""368.79604+""","=""55""","=""2.12e+07""",B,"=""25794.608""","=""52902.150""","=""4d6""","=""c 5D""","=""2""","=""""","=""64*""","=""3""",,"=""T5293""","=""L10250""",
"=""368.8966""","=""0.0010""","=""368.89659+""","=""70""","=""3.3e+07""",B,"=""25905.490""","=""53005.644""","=""4d5.(4F).5s""","=""a 5F""","=""5""","=""""","=""67*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""369.0586""","=""0.0010""","=""369.05863+""","=""240""","=""2.07e+07""",B,"=""21343.204""","=""48431.459""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""""","=""24.1*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""369.4939""","=""0.0010""","=""369.49395+""","=""1163""","=""6.4e+07""",B,"=""16641.081""","=""43697.423""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""4d4.5s.(4H).5p""","=""y 5H*""","=""3""",,"=""T5293""","=""L10250""",
"=""369.4985""","=""0.0010""","=""369.49850+""","=""27""","=""4.3e+06""",B,"=""20130.313""","=""47186.322""","=""4d5.(4D).5s""","=""b 5D""","=""1""","=""4d4.5s.(4F).5p""","=""y 5G*""","=""2""",,"=""T5293""","=""L10250""",
"=""369.6042""","=""0.0010""","=""369.60422+""","=""90""","=""3.6e+07""",B,"=""29981.714""","=""57029.984""","=""4d5.(2H).5s""","=""b 3H""","=""5""","=""""","=""107*""","=""5""",,"=""T5293""","=""L10250,L3475""",
