"=""221.4885""","=""0.0009""","=""221.488923""","=""0.000006""","=""""","=""""",,"=""0.000""","=""45134.9242""","=""5s2""","=""1S""","=""0""","=""5s.15s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""221.7816""","=""0.0004""","=""221.78198""","=""0.00015""","=""""","=""1.17e+06""",B',"=""0.000""","=""45075.29""","=""5s2""","=""1S""","=""0""","=""5s.14p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
"=""222.2564""","=""0.0009""","=""222.254570""","=""0.000006""","=""""","=""""",,"=""0.000""","=""44979.4540""","=""5s2""","=""1S""","=""0""","=""5s.14s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""222.6304""","=""0.0004""","=""222.63055""","=""0.00015""","=""""","=""1.57e+06""",B',"=""0.000""","=""44903.50""","=""5s2""","=""1S""","=""0""","=""5s.13p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
"=""223.2771""","=""0.0009""","=""223.276170""","=""0.000006""","=""""","=""""",,"=""0.000""","=""44773.6707""","=""5s2""","=""1S""","=""0""","=""5s.13s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""223.4971""","=""0.0009""","=""223.49604""","=""0.00005""","=""""","=""""",,"=""0.000""","=""44729.627""","=""5s2""","=""1S""","=""0""","=""4d2""","=""3P""","=""2""",2P,"=""""","=""L14021""",
"=""223.7655""","=""0.0004""","=""223.76566""","=""0.00015""","=""""","=""2.4e+06""",B',"=""0.000""","=""44675.737""","=""5s2""","=""1S""","=""0""","=""5s.12p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
"=""224.5173""","=""0.0009""","=""224.51906""","=""0.00005""","=""""","=""""",,"=""0.000""","=""44525.838""","=""5s2""","=""1S""","=""0""","=""4d2""","=""3P""","=""0""",2P,"=""""","=""L14021""",
"=""224.6863""","=""0.0009""","=""224.685611""","=""0.000006""","=""""","=""""",,"=""0.000""","=""44492.8348""","=""5s2""","=""1S""","=""0""","=""5s.12s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""225.3256""","=""0.0004""","=""225.32588""","=""0.00015""","=""""","=""3.7e+06""",B,"=""0.000""","=""44366.42""","=""5s2""","=""1S""","=""0""","=""5s.11p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
