obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""502.3334""","=""0.0003""","=""502.33323""","=""0.00013""","=""26""","=""""",,"=""17423.856""","=""37325.410""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,"=""""","=""L10989""",
"=""502.4844""","=""0.0003""","=""502.48444""","=""0.00013""","=""3500""","=""1.32e+07""",C+,"=""6598.765""","=""26494.330""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d3.(4F).4p""","=""y 5G*""","=""2""",,"=""T4294""","=""L10989""",
"=""502.5570""","=""0.0003""","=""502.55696""","=""0.00013""","=""1400""","=""4.26e+07""",B+,"=""16458.671""","=""36351.365""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""","=""3d2.4s.(4F).5s""","=""e 5F""","=""5""",,"=""T6897""","=""L10989""",
"=""503.1282""","=""0.0003""","=""503.12840""","=""0.00020""","=""13""","=""""",,"=""25227.222""","=""45097.323""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""503.4767""","=""0.0003""","=""503.47772""","=""0.00015""","=""6""","=""""",,"=""17995.487""","=""37851.802""","=""3d3.(2P).4s""","=""b 3P""","=""0""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""1""",,"=""""","=""L10989""",
"=""503.5336""","=""0.0006""","=""503.53295""","=""0.00020""","=""8q""","=""""",,"=""25068.842""","=""44922.979""","=""3d3.(2F).4s""","=""3F""","=""3""","=""3d3.(4F).5p""","=""3F*""","=""3""",,"=""""","=""L10989""",
"=""503.5903""","=""0.0003""","=""503.59030""","=""0.00010""","=""4900""","=""""",,"=""11776.812""","=""31628.688""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""5""",,"=""""","=""L10989""",
"=""503.6464""","=""0.0003""","=""503.64639""","=""0.00010""","=""4000""","=""3.94e+07""",C+,"=""11639.8109""","=""31489.476""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d3.(4F).4p""","=""w 3G*""","=""4""",,"=""T4922""","=""L10989""",
"=""503.8397""","=""0.0003""","=""503.83979""","=""0.00010""","=""3300""","=""3.87e+07""",C+,"=""11531.761""","=""31373.807""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d3.(4F).4p""","=""w 3G*""","=""3""",,"=""T4922""","=""L10989""",
"=""503.9955""","=""0.0003""","=""503.99574""","=""0.00010""","=""14000""","=""4.49e+06""",A,"=""170.1328""","=""20006.039""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""",,"=""T7574""","=""L10989""",
"=""504.0611""","=""0.0003""","=""504.06136""","=""0.00010""","=""250""","=""8.57e+05""",C+,"=""6661.006""","=""26494.330""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d3.(4F).4p""","=""y 5G*""","=""2""",,"=""T4498""","=""L10989""",
"=""504.3582""","=""0.0003""","=""504.35838""","=""0.00010""","=""320""","=""6.93e+05""",C+,"=""6742.756""","=""26564.400""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,"=""T4498""","=""L10989""",
"=""504.4251""","=""0.0003""","=""504.42529""","=""0.00013""","=""12""","=""""",,"=""17540.188""","=""37359.203""","=""3d3.(2D2).4s""","=""a 3D""","=""3""","=""3d3.(4P).4p""","=""y 5S*""","=""2""",,"=""""","=""L10989""",
"=""504.5415""","=""0.0003""","=""504.54140""","=""0.00013""","=""170""","=""2.92e+05""",C+,"=""6842.962""","=""26657.416""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d3.(4F).4p""","=""y 5G*""","=""4""",,"=""T4498""","=""L10989""",
"=""504.8209""","=""0.0003""","=""504.82150""","=""0.00015""","=""57""","=""""",,"=""17369.529""","=""37172.989""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""1""",,"=""""","=""L10989""",
"=""505.2869""","=""0.0003""","=""505.28685""","=""0.00013""","=""410""","=""""",,"=""17540.188""","=""37325.410""","=""3d3.(2D2).4s""","=""a 3D""","=""3""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,"=""""","=""L10989""",
"=""505.4075""","=""0.0003""","=""505.40745""","=""0.00010""","=""79""","=""""",,"=""21588.495""","=""41368.996""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,"=""""","=""L10989""",
"=""506.2101""","=""0.0003""","=""506.21021""","=""0.00013""","=""310""","=""2.98e+07""",C+,"=""17423.856""","=""37172.989""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(2D2).4p""","=""w 3P*""","=""1""",,"=""T4922""","=""L10989""",
"=""506.4056""","=""0.0003""","=""506.40594""","=""0.00013""","=""110""","=""1.3e+07""",D,"=""21739.707""","=""41481.207""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""5""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,"=""T4401n""","=""L10989""",
"=""506.4652""","=""0.0003""","=""506.46526""","=""0.00010""","=""17000""","=""4.37e+06""",A,"=""386.874""","=""20126.062""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""T7574""","=""L10989""",
"=""506.5988""","=""0.0003""","=""506.59851""","=""0.00010""","=""300""","=""""",,"=""11639.8109""","=""31373.807""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d3.(4F).4p""","=""w 3G*""","=""3""",,"=""""","=""L10989""",
"=""506.8324""","=""0.0003""","=""506.83238""","=""0.00015""","=""76""","=""""",,"=""21469.488""","=""41194.378""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""2""",,"=""""","=""L10989""",
"=""506.9354""","=""0.0003""","=""506.93534""","=""0.00021""","=""130""","=""""",,"=""17369.529""","=""37090.413""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""0""",,"=""""","=""L10989""",
"=""507.1115""","=""0.0003""","=""507.11107""","=""0.00023""","=""16""","=""""",,"=""25388.331""","=""45102.381""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""4""","=""3d2.4s.(2D).5s""","=""3D""","=""3""",,"=""""","=""L10989""",
"=""507.1467""","=""0.0003""","=""507.14673""","=""0.00010""","=""330""","=""2.49e+06""",C+,"=""11776.812""","=""31489.476""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""4""",,"=""T4922""","=""L10989""",
"=""508.1380""","=""0.0003""","=""508.13705""","=""0.00010""","=""5""","=""""",,"=""11531.761""","=""31206.007""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,"=""""","=""L10989""",
"=""508.5333""","=""0.0003""","=""508.53351""","=""0.00010""","=""200""","=""""",,"=""11531.761""","=""31190.669""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""2""",,"=""""","=""L10989""",
"=""508.7060""","=""0.0003""","=""508.70582""","=""0.00010""","=""930""","=""1.4e+07""",D,"=""11531.761""","=""31184.010""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""1""",,"=""T4401n""","=""L10989""",
"=""509.0851""","=""0.0006""","=""509.08580""","=""0.00010""","=""2q""","=""""",,"=""7255.355""","=""26892.936""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,"=""""","=""L10989""",
"=""509.5962""","=""0.0003""","=""509.59611""","=""0.00013""","=""6""","=""""",,"=""21469.488""","=""41087.404""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""","=""3d2.4s.(2F).5s""","=""e 1F""","=""3""",,"=""""","=""L10989""",
"=""509.8372""","=""0.0003""","=""509.83697""","=""0.00023""","=""18""","=""""",,"=""25493.733""","=""45102.381""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""3""",,"=""""","=""L10989""",
"=""509.9689""","=""0.0003""","=""509.96852""","=""0.00021""","=""4""","=""""",,"=""25493.733""","=""45097.323""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""510.1403""","=""0.0003""","=""510.14014""","=""0.00010""","=""7""","=""""",,"=""11776.812""","=""31373.807""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""3""",,"=""""","=""L10989""",
"=""510.3125""","=""0.0003""","=""510.3125""","=""0.0003""","=""43""","=""""",,"=""22081.189""","=""41671.567""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1D*""","=""2""","=""3d3.(2D1).4s""","=""1D""","=""2""",,"=""""","=""L10989""",
"=""510.5648""","=""0.0003""","=""510.56518""","=""0.00013""","=""2""","=""""",,"=""18037.213""","=""37617.894""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d3.(2G).4p""","=""v 3G*""","=""4""",,"=""""","=""L10989""",
"=""510.9431""","=""0.0003""","=""510.94316""","=""0.00010""","=""220""","=""""",,"=""11639.8109""","=""31206.007""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,"=""""","=""L10989""",
"=""511.1044""","=""0.0003""","=""511.10405""","=""0.00021""","=""19""","=""""",,"=""25537.286""","=""45097.323""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""1""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""511.2112""","=""0.0003""","=""511.21112""","=""0.00018""","=""5""","=""""",,"=""25537.286""","=""45093.226""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""1""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,"=""""","=""L10989""",
"=""511.3440""","=""0.0003""","=""511.34401""","=""0.00010""","=""1400""","=""8.41e+06""",C+,"=""11639.8109""","=""31190.669""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""2""",,"=""T4922""","=""L10989""",
"=""511.3909""","=""0.0003""","=""511.39099""","=""0.00016""","=""3""","=""""",,"=""18141.265""","=""37690.327""","=""3d3.(2H).4s""","=""a 3H""","=""5""","=""3d3.(2G).4p""","=""v 3G*""","=""5""",,"=""""","=""L10989""",
"=""512.0415""","=""0.0003""","=""512.0415""","=""0.0003""","=""1500""","=""""",,"=""20795.603""","=""40319.829""","=""3d3.(2H).4s""","=""a 1H""","=""5""","=""3d3.(2H).4p""","=""z 1I*""","=""6""",,"=""""","=""L10989""",
"=""512.1959""","=""0.0007""","=""512.19651""","=""0.00021""","=""5q""","=""""",,"=""25574.908""","=""45093.226""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""0""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,"=""""","=""L10989""",
"=""512.2082""","=""0.0003""","=""512.20892""","=""0.00013""","=""35""","=""""",,"=""18037.213""","=""37555.058""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d3.(2G).4p""","=""v 3G*""","=""3""",,"=""""","=""L10989""",
"=""512.4072""","=""0.0003""","=""512.40714""","=""0.00013""","=""30""","=""""",,"=""12118.393""","=""31628.688""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""5""",,"=""""","=""L10989""",
"=""512.7061""","=""0.0003""","=""512.70635""","=""0.00013""","=""21""","=""""",,"=""21588.495""","=""41087.404""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""3d2.4s.(2F).5s""","=""e 1F""","=""3""",,"=""""","=""L10989""",
"=""512.7369""","=""0.0003""","=""512.73664""","=""0.00016""","=""55""","=""""",,"=""18192.570""","=""37690.327""","=""3d3.(2H).4s""","=""a 3H""","=""6""","=""3d3.(2G).4p""","=""v 3G*""","=""5""",,"=""""","=""L10989""",
"=""513.2929""","=""0.0003""","=""513.29286""","=""0.00016""","=""44""","=""""",,"=""18141.265""","=""37617.894""","=""3d3.(2H).4s""","=""a 3H""","=""5""","=""3d3.(2G).4p""","=""v 3G*""","=""4""",,"=""""","=""L10989""",
"=""514.5460""","=""0.0003""","=""514.54602""","=""0.00011""","=""2000""","=""9.60e+06""",C+,"=""11776.812""","=""31206.007""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,"=""T4922""","=""L10989""",
"=""514.7477""","=""0.0003""","=""514.74777""","=""0.00008""","=""2300""","=""4.58e+05""",B',"=""0.000""","=""19421.580""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""",,"=""T8000""","=""L10989""",
"=""515.2184""","=""0.0003""","=""515.21835""","=""0.00011""","=""2000""","=""3.51e+05""",B,"=""170.1328""","=""19573.974""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""4""",,"=""T8000""","=""L10989""",
"=""517.0521""","=""0.0003""","=""517.05222""","=""0.00024""","=""24""","=""""",,"=""18287.554""","=""37622.575""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d.4s2.4p""","=""x 1F*""","=""3""",,"=""""","=""L10989""",
"=""517.3740""","=""0.0003""","=""517.37431""","=""0.00008""","=""15000""","=""4.23e+06""",B,"=""0.000""","=""19322.984""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""2""",,"=""T8000""","=""L10989""",
"=""517.8649""","=""0.0003""","=""517.86517""","=""0.00011""","=""36""","=""""",,"=""8602.3441""","=""27907.013""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(1D).4s.4p.(1P*)""","=""y 1D*""","=""2""",,"=""""","=""L10989""",
"=""518.3177""","=""0.0003""","=""518.31791""","=""0.00013""","=""29""","=""""",,"=""22081.189""","=""41368.996""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1D*""","=""2""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,"=""""","=""L10989""",
"=""518.3809""","=""0.0003""","=""518.38102""","=""0.00011""","=""75""","=""""",,"=""8602.3441""","=""27887.803""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5P*""","=""3""",,"=""""","=""L10989""",
"=""518.6328""","=""0.0003""","=""518.63252""","=""0.00011""","=""120""","=""3.79e+06""",B+,"=""17075.258""","=""36351.365""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""5""",,"=""T6897""","=""L10989""",
"=""518.7886""","=""0.0007""","=""518.79063""","=""0.00019""","=""5q""","=""""",,"=""26494.330""","=""45764.562""","=""3d3.(4F).4p""","=""y 5G*""","=""2""","=""3d2.4s.(4F).6s""","=""h 5F""","=""1""",,"=""""","=""L10989""",
"=""518.8832""","=""0.0003""","=""518.8823""","=""0.0003""","=""15""","=""""",,"=""22404.739""","=""41671.567""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1F*""","=""3""","=""3d3.(2D1).4s""","=""1D""","=""2""",,"=""""","=""L10989""",
"=""518.9578""","=""0.0003""","=""518.95785""","=""0.00013""","=""46""","=""""",,"=""18061.387""","=""37325.410""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,"=""""","=""L10989""",
"=""519.2969""","=""0.0003""","=""519.29686""","=""0.00011""","=""17000""","=""3.86e+06""",B,"=""170.1328""","=""19421.580""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""",,"=""T8000""","=""L10989""",
"=""519.3875""","=""0.0007""","=""519.38805""","=""0.00013""","=""25q""","=""""",,"=""18911.394""","=""38159.461""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""3""",,"=""""","=""L10989""",
"=""519.3954""","=""0.0003""","=""519.39483""","=""0.00013""","=""19""","=""""",,"=""8492.422""","=""27740.238""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5P*""","=""2""",,"=""""","=""L10989""",
"=""519.4034""","=""0.0003""","=""519.40370""","=""0.00011""","=""180""","=""6.18e+06""",B+,"=""16961.442""","=""36208.929""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4s.(4F).5s""","=""e 5F""","=""4""",,"=""T6897""","=""L10989""",
"=""520.1081""","=""0.0003""","=""520.10815""","=""0.00011""","=""170""","=""7.67e+06""",B+,"=""16875.124""","=""36096.542""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4s.(4F).5s""","=""e 5F""","=""3""",,"=""T6897""","=""L10989""",
"=""520.3117""","=""0.0003""","=""520.31120""","=""0.00014""","=""8""","=""""",,"=""18145.286""","=""37359.203""","=""3d3.(2P).4s""","=""b 3P""","=""2""","=""3d3.(4P).4p""","=""y 5S*""","=""2""",,"=""""","=""L10989""",
"=""520.6085""","=""0.0003""","=""520.60885""","=""0.00022""","=""200""","=""""",,"=""20062.886""","=""39265.818""","=""3d3.(2P).4s""","=""a 1P""","=""1""","=""3d.4s2.4p""","=""w 1D*""","=""2""",,"=""""","=""L10989""",
"=""520.7849""","=""0.0003""","=""520.78500""","=""0.00011""","=""110""","=""7.08e+06""",B+,"=""16817.160""","=""36013.597""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4s.(4F).5s""","=""e 5F""","=""2""",,"=""T6897""","=""L10989""",
"=""521.0384""","=""0.0003""","=""521.03843""","=""0.00011""","=""21000""","=""3.89e+06""",B,"=""386.874""","=""19573.974""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""4""",,"=""T8000""","=""L10989""",
"=""521.1215""","=""0.0007""","=""521.12222""","=""0.00014""","=""56q""","=""3.1e+05""",D,"=""6742.756""","=""25926.771""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""",,"=""T4401n""","=""L10989""",
"=""521.2280""","=""0.0003""","=""521.22794""","=""0.00014""","=""100""","=""""",,"=""18145.286""","=""37325.410""","=""3d3.(2P).4s""","=""b 3P""","=""2""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,"=""""","=""L10989""",
"=""521.2993""","=""0.0003""","=""521.29920""","=""0.00016""","=""45""","=""""",,"=""17995.487""","=""37172.989""","=""3d3.(2P).4s""","=""b 3P""","=""0""","=""3d3.(2D2).4p""","=""w 3P*""","=""1""",,"=""""","=""L10989""",
"=""521.8085""","=""0.0003""","=""521.80838""","=""0.00022""","=""35""","=""""",,"=""19322.984""","=""38481.773""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d4""","=""3D""","=""1""",,"=""""","=""L10989""",
"=""521.9629""","=""0.0003""","=""521.96337""","=""0.00019""","=""6""","=""""",,"=""19322.984""","=""38476.084""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d4""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""521.9699""","=""0.0003""","=""521.97015""","=""0.00011""","=""1100""","=""2.71e+05""",C+,"=""170.1328""","=""19322.984""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""2""",,"=""T8000""","=""L10989""",
"=""522.0259""","=""0.0003""","=""522.02587""","=""0.00014""","=""11""","=""""",,"=""18825.782""","=""37976.589""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""2""",,"=""""","=""L10989""",
"=""522.2673""","=""0.0003""","=""522.26744""","=""0.00011""","=""210""","=""1.95e+07""",C+,"=""16817.160""","=""35959.109""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4s.(4F).5s""","=""e 5F""","=""1""",,"=""T4922""","=""L10989""",
"=""522.3621""","=""0.0003""","=""522.36230""","=""0.00011""","=""260""","=""1.59e+07""",B+,"=""16875.124""","=""36013.597""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4s.(4F).5s""","=""e 5F""","=""2""",,"=""T6897""","=""L10989""",
"=""522.4134""","=""0.0003""","=""522.41372""","=""0.00011""","=""68""","=""""",,"=""6661.006""","=""25797.595""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""",,"=""""","=""L10989""",
"=""522.4305""","=""0.0003""","=""522.43049""","=""0.00011""","=""950""","=""3.00e+07""",B+,"=""17215.390""","=""36351.365""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d2.4s.(4F).5s""","=""e 5F""","=""5""",,"=""T6897""","=""L10989""",
"=""522.4544""","=""0.0003""","=""522.45438""","=""0.00011""","=""380""","=""1.82e+07""",B+,"=""16961.442""","=""36096.542""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4s.(4F).5s""","=""e 5F""","=""3""",,"=""T6897""","=""L10989""",
"=""522.4933""","=""0.0003""","=""522.49340""","=""0.00011""","=""630""","=""2.30e+07""",B+,"=""17075.258""","=""36208.929""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""4""",,"=""T6897""","=""L10989""",
"=""522.719""","=""0.002""","=""522.71734""","=""0.00016""","=""2""","=""""",,"=""17075.258""","=""36200.732""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d4""","=""b 3G""","=""5""",,"=""""","=""L17997""",
"=""523.0972""","=""0.0003""","=""523.09675""","=""0.00014""","=""40""","=""""",,"=""18061.387""","=""37172.989""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""1""",,"=""""","=""L10989""",
"=""523.3808""","=""0.0003""","=""523.38101""","=""0.00016""","=""60""","=""""",,"=""6598.765""","=""25699.987""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""",,"=""""","=""L10989""",
"=""523.7537""","=""0.0003""","=""523.75415""","=""0.00014""","=""13""","=""""",,"=""12118.393""","=""31206.007""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,"=""""","=""L10989""",
"=""523.8522""","=""0.0007""","=""523.85375""","=""0.00011""","=""110q""","=""""",,"=""16875.124""","=""35959.109""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4s.(4F).5s""","=""e 5F""","=""1""",,"=""""","=""L10989""",
"=""523.8574""","=""0.0003""","=""523.85858""","=""0.00016""","=""290""","=""""",,"=""6842.962""","=""25926.771""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""",,"=""""","=""L10989""",
"=""523.9937""","=""0.0003""","=""523.99359""","=""0.00014""","=""37""","=""""",,"=""6556.833""","=""25635.725""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""",,"=""""","=""L10989""",
"=""524.3702""","=""0.0003""","=""524.37005""","=""0.00014""","=""7""","=""""",,"=""18911.394""","=""37976.589""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""2""",,"=""""","=""L10989""",
"=""524.6127""","=""0.0003""","=""524.61286""","=""0.00022""","=""47""","=""""",,"=""20209.447""","=""39265.818""","=""3d3.(2D2).4s""","=""b 1D""","=""2""","=""3d.4s2.4p""","=""w 1D*""","=""2""",,"=""""","=""L10989""",
"=""524.6350""","=""0.0003""","=""524.63532""","=""0.00019""","=""22""","=""""",,"=""6556.833""","=""25612.388""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""0""",,"=""""","=""L10989""",
"=""524.6486""","=""0.0007""","=""524.64964""","=""0.00017""","=""4q""","=""""",,"=""19421.580""","=""38476.615""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d4""","=""3D""","=""3""",,"=""""","=""L10989""",
"=""524.6546""","=""0.0003""","=""524.65504""","=""0.00011""","=""170""","=""""",,"=""6742.756""","=""25797.595""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""",,"=""""","=""L10989""",
"=""524.6643""","=""0.0003""","=""524.66426""","=""0.00019""","=""53""","=""""",,"=""19421.580""","=""38476.084""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d4""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""524.7288""","=""0.0003""","=""524.72895""","=""0.00011""","=""160""","=""1.11e+07""",B+,"=""16961.442""","=""36013.597""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4s.(4F).5s""","=""e 5F""","=""2""",,"=""T6897""","=""L10989""",
"=""524.8386""","=""0.0003""","=""524.83837""","=""0.00011""","=""23""","=""""",,"=""15156.802""","=""34204.985""","=""3d3.(2G).4s""","=""a 3G""","=""4""","=""3d2.(1G).4s.4p.(3P*)""","=""v 3F*""","=""4""",,"=""""","=""L10989""",
"=""525.0924""","=""0.0003""","=""525.09204""","=""0.00014""","=""110""","=""""",,"=""6661.006""","=""25699.987""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""",,"=""""","=""L10989""",
"=""525.1478""","=""0.0003""","=""525.14778""","=""0.00014""","=""72""","=""""",,"=""6598.765""","=""25635.725""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""",,"=""""","=""L10989""",
"=""525.2099""","=""0.0003""","=""525.20997""","=""0.00011""","=""790""","=""1.42e+05""",A,"=""386.874""","=""19421.580""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""",,"=""T7574""","=""L10989""",
"=""525.2378""","=""0.0003""","=""525.23765""","=""0.00017""","=""3""","=""""",,"=""18818.099""","=""37851.802""","=""3d3.(4P).4s""","=""c 3P""","=""0""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""1""",,"=""""","=""L10989""",
