obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""310.68037""","=""0.00012""","=""310.68036""","=""0.00005""","=""12""","=""""",,"=""8492.422""","=""40670.509""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d3.(4P).4p""","=""r 3D*""","=""2""",,"=""""","=""L10989""",
"=""310.74621""","=""0.00012""","=""310.74631""","=""0.00010""","=""10""","=""""",,"=""15877.081""","=""48048.339""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""","=""3d2.4p2""","=""5F""","=""1""",,"=""""","=""L10989""",
"=""311.06103""","=""0.00012""","=""311.06107""","=""0.00005""","=""14""","=""""",,"=""12118.393""","=""44257.098""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.4s.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""311.12774""","=""0.00012""","=""311.12791""","=""0.00009""","=""9""","=""""",,"=""15975.631""","=""48107.432""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""","=""3d2.4p2""","=""5F""","=""2""",,"=""""","=""L10989""",
"=""311.1936""","=""0.0004""","=""311.19296""","=""0.00009""","=""1""","=""""",,"=""15156.802""","=""47281.887""","=""3d3.(2G).4s""","=""a 3G""","=""4""","=""3d3.(2F).4p""","=""p 3F*""","=""3""",,"=""""","=""L10989""",
"=""311.24814""","=""0.00012""","=""311.24808""","=""0.00006""","=""10""","=""""",,"=""8436.618""","=""40556.014""","=""3d2.4s2""","=""a 3P""","=""0""","=""3d3.(4P).4p""","=""r 3D*""","=""1""",,"=""""","=""L10989""",
"=""311.3880""","=""0.0004""","=""311.38782""","=""0.00005""","=""1""","=""""",,"=""11639.8109""","=""43744.793""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""4""",,"=""""","=""L10989""",
"=""311.40875""","=""0.00012""","=""311.40888""","=""0.00009""","=""11""","=""""",,"=""16106.076""","=""48208.887""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4p2""","=""5F""","=""3""",,"=""""","=""L10989""",
"=""311.4569""","=""0.0004""","=""311.45677""","=""0.00011""","=""2""","=""""",,"=""16817.160""","=""48915.035""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4p2""","=""h 5D""","=""2""",,"=""""","=""L10989""",
"=""311.6374""","=""0.0004""","=""311.63619""","=""0.00009""","=""12""","=""""",,"=""15108.111""","=""47187.507""","=""3d3.(2G).4s""","=""a 3G""","=""3""","=""3d3.(2F).4p""","=""p 3F*""","=""2""",,"=""""","=""L10989""",
"=""311.6795""","=""0.0004""","=""311.67942""","=""0.00008""","=""2""","=""""",,"=""16961.442""","=""49036.389""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4p2""","=""h 5D""","=""4""",,"=""""","=""L10989""",
"=""311.74537""","=""0.00012""","=""311.74534""","=""0.00005""","=""9""","=""""",,"=""8602.3441""","=""40670.509""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d3.(4P).4p""","=""r 3D*""","=""2""",,"=""""","=""L10989""",
"=""311.78995""","=""0.00012""","=""311.78980""","=""0.00005""","=""7""","=""""",,"=""8492.422""","=""40556.014""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d3.(4P).4p""","=""r 3D*""","=""1""",,"=""""","=""L10989""",
"=""311.7960""","=""0.0004""","=""311.79620""","=""0.00011""","=""5""","=""""",,"=""16961.442""","=""49024.376""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4p2""","=""h 5D""","=""3""",,"=""""","=""L10989""",
"=""311.81236""","=""0.00012""","=""311.81241""","=""0.00009""","=""9""","=""""",,"=""16267.480""","=""48328.747""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4p2""","=""5F""","=""4""",,"=""""","=""L10989""",
"=""311.8284""","=""0.0004""","=""311.8281""","=""0.0003""","=""0""","=""""",,"=""15877.081""","=""47936.73""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""","=""3d2.4s.(4F).5d""","=""h 5G""","=""3""",,"=""""","=""L10989""",
"=""311.9068""","=""0.0004""","=""311.90652""","=""0.00004""","=""0""","=""""",,"=""11531.761""","=""43583.355""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""3""",,"=""""","=""L10989""",
"=""311.97229""","=""0.00012""","=""311.97227""","=""0.00009""","=""15+""","=""""",,"=""12118.393""","=""44163.232""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(1G).4s.4p.(1P*)""","=""x 1H*""","=""5""",,"=""""","=""L10989""",
"=""311.9952""","=""0.0004""","=""311.99542""","=""0.00011""","=""""","=""""",,"=""15975.631""","=""48018.093""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""","=""3d2.4s.(4F).5d""","=""h 5G""","=""4""",,"=""""","=""L10989""",
"=""311.9978""","=""0.0004""","=""311.99806""","=""0.00009""","=""""","=""""",,"=""16817.160""","=""48859.350""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4p2""","=""h 5D""","=""1""",,"=""""","=""L10989""",
"=""312.0203""","=""0.0004""","=""312.02026""","=""0.00011""","=""6""","=""""",,"=""16875.124""","=""48915.035""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4p2""","=""h 5D""","=""2""",,"=""""","=""L10989""",
"=""312.2801""","=""0.0004""","=""312.28003""","=""0.00013""","=""5""","=""""",,"=""16106.076""","=""48119.335""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4s.(4F).5d""","=""h 5G""","=""5""",,"=""""","=""L10989""",
"=""312.30734""","=""0.00012""","=""312.30731""","=""0.00008""","=""10""","=""""",,"=""7255.355""","=""39265.818""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d.4s2.4p""","=""w 1D*""","=""2""",,"=""""","=""L10989""",
"=""312.37728""","=""0.00012""","=""312.37725""","=""0.00011""","=""12""","=""""",,"=""16458.671""","=""48461.967""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""","=""3d2.4p2""","=""5F""","=""5""",,"=""""","=""L10989""",
"=""312.4740""","=""0.0004""","=""312.47399""","=""0.00020""","=""8""","=""""",,"=""15877.081""","=""47870.47""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""","=""3d2.4s.(4F).5d""","=""h 5G""","=""2""",,"=""""","=""L10989""",
"=""312.55462""","=""0.00012""","=""312.55458""","=""0.00013""","=""5""","=""""",,"=""16817.160""","=""48802.300""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4p2""","=""h 5D""","=""0""",,"=""""","=""L10989""",
"=""312.56354""","=""0.00012""","=""312.56351""","=""0.00009""","=""6""","=""""",,"=""16875.124""","=""48859.350""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4p2""","=""h 5D""","=""1""",,"=""""","=""L10989""",
"=""312.6580""","=""0.0004""","=""312.65795""","=""0.00006""","=""1""","=""""",,"=""8492.422""","=""40466.987""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d.4s2.4p""","=""v 3P*""","=""2""",,"=""""","=""L10989""",
"=""312.7226""","=""0.0004""","=""312.72235""","=""0.00005""","=""5""","=""""",,"=""11776.812""","=""43744.793""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""4""",,"=""""","=""L10989""",
"=""312.7427""","=""0.0004""","=""312.74271""","=""0.00009""","=""6""","=""""",,"=""16267.480""","=""48233.380""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4s.(4F).5d""","=""h 5G""","=""6""",,"=""""","=""L10989""",
"=""312.7562""","=""0.0004""","=""312.75559""","=""0.00008""","=""3""","=""""",,"=""16875.124""","=""48839.708""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4p2""","=""e 3D""","=""3""",,"=""""","=""L10989""",
"=""312.7684""","=""0.0004""","=""312.7684""","=""0.0003""","=""13""","=""""",,"=""15877.081""","=""47840.36""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""","=""3d2.4s.(4F).5d""","=""g 5H""","=""3""",,"=""""","=""L10989""",
"=""312.790""","=""0.003""","=""312.78938""","=""0.00008""","=""5*""","=""""",,"=""17075.258""","=""49036.389""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d2.4p2""","=""h 5D""","=""4""",,"=""""","=""c112""",
"=""312.790""","=""0.003""","=""312.7897""","=""0.0003""","=""5*""","=""""",,"=""15975.631""","=""47936.73""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""","=""3d2.4s.(4F).5d""","=""h 5G""","=""3""",,"=""""","=""c112""",
"=""312.86316""","=""0.00012""","=""312.86317""","=""0.00011""","=""8""","=""""",,"=""16961.442""","=""48915.035""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4p2""","=""h 5D""","=""2""",,"=""""","=""L10989""",
"=""312.90708""","=""0.00012""","=""312.90699""","=""0.00011""","=""8""","=""""",,"=""17075.258""","=""49024.376""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d2.4p2""","=""h 5D""","=""3""",,"=""""","=""L10989""",
"=""312.9193""","=""0.0004""","=""312.91913""","=""0.00007""","=""0""","=""""",,"=""8436.618""","=""40384.497""","=""3d2.4s2""","=""a 3P""","=""0""","=""3d.4s2.4p""","=""v 3P*""","=""1""",,"=""""","=""L10989""",
"=""312.9618""","=""0.0004""","=""312.96159""","=""0.00004""","=""4""","=""""",,"=""11639.8109""","=""43583.355""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""3""",,"=""""","=""L10989""",
