obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
1032.5875,0.0005,1032.5875,0.0008,9684.409,1100,,,54880.070,64564.479,5p3.(2D*).6s,3D*,2,5p3.(2D*).6p,3F,2,5,5,,,L3682,
1049.6448,0.0006,1049.6448,0.0008,9527.032,3200,,,54535.345,64062.377,5p3.(4S*).6p,5P,3,5p3.(4S*).6d,5D*,4,7,9,,,L3682,
1051.2739,0.0006,1051.2740,0.0008,9512.269,820,,,54535.345,64047.613,5p3.(4S*).6p,5P,3,5p3.(4S*).6d,5D*,3,7,7,,,L3682,
1092.1328,0.0006,1092.1330,0.0008,9156.396,3400,,,46652.738,55809.132,5p3.(4S*).6s,3S*,1,5p3.(4S*).6p,3P,0,3,1,,,L3682,
1101.0816,0.0006,1101.0817,0.0009,9081.979,760,,,55355.672,64437.650,5p3.(4S*).6p,3P,1,5p3.(4S*).6d,3D*,2,3,5,,,L3682,
1109.2596,0.0006,1109.2599,0.0009,9015.022,16000,,,46652.738,55667.758,5p3.(4S*).6s,3S*,1,5p3.(4S*).6p,3P,2,3,5,,,L3682,
1116.6797,0.0006,1116.6797,0.0009,8955.119,1100,,,55667.758,64622.877,5p3.(4S*).6p,3P,2,5p3.(4S*).6d,3D*,3,5,7,,,L3682,
1149.0375,0.0007,1149.0378,0.0009,8702.936,6900,,,46652.738,55355.672,5p3.(4S*).6s,3S*,1,5p3.(4S*).6p,3P,1,3,3,,,L3682,
1198.2237,0.0007,1198.2237,0.0010,8345.687,350,,,58592.434,66938.121,5p3.(4S*).5d,3D*,2,5p3.(2D*).6p,1F,3,5,7,,,L3682,
1256.9675,0.0008,1256.9675,0.0011,7955.655,150,,,58592.434,66548.089,5p3.(4S*).5d,3D*,2,5p3.(2D*).6p,3D,3,5,7,,,L3682,
1259.2631,0.0008,1259.2633,0.0011,7941.152,260,,,55355.672,63296.823,5p3.(4S*).6p,3P,1,5p3.(2D*).5d,3P*,2,3,5,,,L3682,
1280.9005,0.0008,1280.9009,0.0012,7807.008,100,,,57114.206,64921.211,5p3.(2D*).6s,1D*,2,5p3.(2D*).6p,3F,3,5,7,,,L3682,
1310.7764,0.0009,1310.7766,0.0012,7629.066,200,,,55667.758,63296.823,5p3.(4S*).6p,3P,2,5p3.(2D*).5d,3P*,2,5,5,,,L3682,
1325.1378,0.0009,1325.1380,0.0012,7546.385,1900,,,46652.738,54199.122,5p3.(4S*).6s,3S*,1,5p3.(4S*).6p,5P,2,3,5,,,L3682,
1332.0267,0.0009,1332.0269,0.0013,7507.357,560,,,46652.738,54160.094,5p3.(4S*).6s,3S*,1,5p3.(4S*).6p,5P,1,3,3,,,L3682,
1404.0923,0.0010,1404.0923,0.0014,7122.039,310,,,58592.434,65714.473,5p3.(4S*).5d,3D*,2,5p3.(4S*).4f,3F,3,5,7,,,L3682,
1407.6376,0.0010,1407.6378,0.0014,7104.101,200,,,58592.434,65696.534,5p3.(4S*).5d,3D*,2,5p3.(4S*).4f,5F,3,5,7,,,L3682,
1433.9658,0.0010,1433.9658,0.0015,6973.667,530,,,58746.074,65719.741,5p3.(4S*).5d,3D*,1,5p3.(4S*).4f,3F,2,3,5,,,L3682,
1442.1403,0.0010,1442.1407,0.0015,6934.138,210,,,54199.122,61133.258,5p3.(4S*).6p,5P,2,5p3.(4S*).7s,3S*,1,5,3,,,L3682,
1451.7482,0.0011,1451.7482,0.0015,6888.247,1200,,,58826.951,65715.198,5p3.(4S*).5d,3D*,3,5p3.(4S*).4f,3F,4,7,9,,,L3682,
