obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
455.65568,0.00005,455.6557,0.0005,21946.396,,1.836e+06,AA,0.0000,21946.397,5p6.6s,2S,1/2,5p6.7p,2P*,3/2,2,4,,T7550,L3506c91,
459.44590,0.00005,459.4459,0.0004,21765.348,,7.94e+05,A+,0.0000,21765.348,5p6.6s,2S,1/2,5p6.7p,2P*,1/2,2,2,,T7550,L3506c91,
515.41167,0.00005,515.411884,0.000013,19401.967,,,,11178.26815870,30580.2267,5p6.6p,2P*,1/2,5p6.14d,2D,3/2,2,4,,,L3506,
519.81814,0.00005,519.818465,0.000014,19237.497,,,,11178.26815870,30415.7533,5p6.6p,2P*,1/2,5p6.13d,2D,3/2,2,4,,,L3506,
525.80264,0.00005,525.803045,0.000014,19018.543,,,,11178.26815870,30196.7963,5p6.6p,2P*,1/2,5p6.12d,2D,3/2,2,4,,,L3506,
530.288,0.002,530.292419,0.000006,18857.7,,,,11178.26815870,30035.78836,5p6.6p,2P*,1/2,5p6.13s,2S,1/2,2,2,,,L3506,
530.52522,0.00005,530.525918,0.000006,18849.245,,,,11732.3071041,30581.52758,5p6.6p,2P*,3/2,5p6.14d,2D,5/2,4,6,,,L3506,
534.24274,0.00005,534.243064,0.000014,18718.088,,,,11178.26815870,29896.3399,5p6.6p,2P*,1/2,5p6.11d,2D,3/2,2,4,,,L3506,
535.18393,0.00005,535.184253,0.000006,18685.165,,,,11732.3071041,30417.46075,5p6.6p,2P*,3/2,5p6.13d,2D,5/2,4,6,,,L3506,
540.81703,0.00005,540.817228,0.000006,18490.542,,,,11178.26815870,29668.80336,5p6.6p,2P*,1/2,5p6.12s,2S,1/2,2,2,,,L3506,
541.51194,0.00005,541.512596,0.000006,18466.813,,,,11732.3071041,30199.09821,5p6.6p,2P*,3/2,5p6.12d,2D,5/2,4,6,,,L3506,
541.579,0.002,541.580105,0.000015,18464.5,,,,11732.3071041,30196.7963,5p6.6p,2P*,3/2,5p6.12d,2D,3/2,4,4,,,L3506,
546.34409,0.00005,546.344155,0.000006,18303.484,,,,11732.3071041,30035.78836,5p6.6p,2P*,3/2,5p6.13s,2S,1/2,4,2,,,L3506,
546.74632,0.00005,546.746269,0.000015,18290.023,bl,,,11178.26815870,29468.2878,5p6.6p,2P*,1/2,5p6.10d,2D,3/2,2,4,,,L3506,
550.44131,0.00005,550.441363,0.000006,18167.253,,,,11732.3071041,29899.54646,5p6.6p,2P*,3/2,5p6.11d,2D,5/2,4,6,,,L3506,
550.53814,0.00005,550.538535,0.000015,18164.046,,,,11732.3071041,29896.3399,5p6.6p,2P*,3/2,5p6.11d,2D,3/2,4,4,,,L3506,
556.99541,0.00005,556.995641,0.000006,17953.469,,,,11178.26815870,29131.73004,5p6.6p,2P*,1/2,5p6.11s,2S,1/2,2,2,,,L3506,
557.52217,0.00005,557.522487,0.000006,17936.506,,,,11732.3071041,29668.80336,5p6.6p,2P*,3/2,5p6.12s,2S,1/2,4,2,,,L3506,
563.67764,0.00005,563.677750,0.000006,17740.637,,,,11732.3071041,29472.93995,5p6.6p,2P*,3/2,5p6.10d,2D,5/2,4,6,,,L3506,
563.823,0.002,563.825602,0.000016,17736.1,,,,11732.3071041,29468.2878,5p6.6p,2P*,3/2,5p6.10d,2D,3/2,4,4,,,L3506,
566.55901,0.00005,566.558954,0.000016,17650.412,bl,,,11178.26815870,28828.6820,5p6.6p,2P*,1/2,5p6.9d,2D,3/2,2,4,,,L3506,
574.73181,0.00005,574.731704,0.000007,17399.420,,,,11732.3071041,29131.73004,5p6.6p,2P*,3/2,5p6.11s,2S,1/2,4,2,,,L3506,
584.04533,0.00005,584.045266,0.000017,17121.960,bl,,,11178.26815870,28300.2287,5p6.6p,2P*,1/2,5p6.10s,2S,1/2,2,2,,,L3506,
584.67613,0.00005,584.676170,0.000007,17103.486,,,,11732.3071041,28835.79192,5p6.6p,2P*,3/2,5p6.9d,2D,5/2,4,6,,,L3506,
601.21551,0.00005,601.215471,0.000018,16632.971,bl,,,11178.26815870,27811.2400,5p6.6p,2P*,1/2,5p6.8d,2D,3/2,2,4,,,L3506,
603.57604,0.00005,603.576009,0.000018,16567.922,,,,11732.3071041,28300.2287,5p6.6p,2P*,3/2,5p6.10s,2S,1/2,4,2,,,L3506,
611.821,0.002,611.81807,0.00004,16344.6,,,,14499.2568,30843.98488,5p6.5d,2D,3/2,5p6.14f,2F*,5/2,4,6,,,L3506,
615.208,0.002,615.20867,0.00004,16254.8,,,,14499.2568,30753.90406,5p6.5d,2D,3/2,5p6.13f,2F*,5/2,4,6,,,L3506,
615.49410,0.00005,615.493271,0.000009,16247.1095,,,,14596.84232,30843.97365,5p6.5d,2D,5/2,5p6.14f,2F*,7/2,6,8,,,L793,
618.92563,0.00005,618.924948,0.000010,16157.0300,,,,14596.84232,30753.89018,5p6.5d,2D,5/2,5p6.13f,2F*,7/2,6,8,,,L793,
619.53826,0.00005,619.53786,0.00004,16141.0531,,,,14499.2568,30640.32028,5p6.5d,2D,3/2,5p6.12f,2F*,5/2,4,6,,,L793,
