obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
297.6875,0.0005,297.6872,33592.28,,,,0.000,33592.31,4p6.5s,2S,1/2,4p6.36p,2P*,1/2,2,2,,,L3287,
297.6875,0.0005,297.6872,33592.28,,,,0.000,33592.31,4p6.5s,2S,1/2,4p6.36p,2P*,3/2,2,4,,,L3287,
297.7424,0.0005,297.7421,33586.08,,,,0.000,33586.11,4p6.5s,2S,1/2,4p6.35p,2P*,3/2,2,4,,,L3287,
297.7424,0.0005,297.7421,33586.08,,,,0.000,33586.11,4p6.5s,2S,1/2,4p6.35p,2P*,1/2,2,2,,,L3287,
297.8025,0.0005,297.8022,33579.30,,,,0.000,33579.34,4p6.5s,2S,1/2,4p6.34p,2P*,3/2,2,4,,,L3287,
297.8025,0.0005,297.8022,33579.30,,,,0.000,33579.34,4p6.5s,2S,1/2,4p6.34p,2P*,1/2,2,2,,,L3287,
297.8688,0.0005,297.8686,33571.83,,,,0.000,33571.85,4p6.5s,2S,1/2,4p6.33p,2P*,1/2,2,2,,,L3287,
297.8688,0.0005,297.8686,33571.83,,,,0.000,33571.85,4p6.5s,2S,1/2,4p6.33p,2P*,3/2,2,4,,,L3287,
297.9423,0.0005,297.9421,33563.54,,,,0.000,33563.57,4p6.5s,2S,1/2,4p6.32p,2P*,3/2,2,4,,,L3287,
297.9423,0.0005,297.9421,33563.54,,,,0.000,33563.57,4p6.5s,2S,1/2,4p6.32p,2P*,1/2,2,2,,,L3287,
298.0231,0.0005,298.0229,33554.44,,,,0.000,33554.47,4p6.5s,2S,1/2,4p6.31p,2P*,3/2,2,4,,,L3287,
298.0231,0.0005,298.0229,33554.44,,,,0.000,33554.47,4p6.5s,2S,1/2,4p6.31p,2P*,1/2,2,2,,,L3287,
298.1139,0.0005,298.1136,33544.23,,,,0.000,33544.26,4p6.5s,2S,1/2,4p6.30p,2P*,1/2,2,2,,,L3287,
298.1139,0.0005,298.1136,33544.23,,,,0.000,33544.26,4p6.5s,2S,1/2,4p6.30p,2P*,3/2,2,4,,,L3287,
