obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
216.356,216.3551+,46220.1,2100,,,0.00,46220.32,5d7.6s2,a 4F,9/2,,4622*,9/2,10,10,,,L3475,
217.592,217.5931+,45957.5,4500,,,0.00,45957.33,5d7.6s2,a 4F,9/2,,4595*,11/2,10,12,,,L3475,
217.885,217.8846+,45895.7,2700,,,0.00,45895.85,5d7.6s2,a 4F,9/2,,4589*,7/2,10,8,,,L3475,
219.233,219.2325+,45613.7,740,,,2834.98,48448.65,5d8.(3F).6s,b 4F,9/2,,4844*,7/2,10,8,,,L3475,
222.106,222.1063+,45023.5,1300,,,2834.98,47858.47,5d8.(3F).6s,b 4F,9/2,,4785*,11/2,10,12,,,L3475,
225.4073,225.4073+,44364.13,600,,,7106.61,51470.74,5d8.(3F).6s,b 4F,7/2,,5147*,9/2,8,10,,,L14858,
225.4185,225.4187+,44361.93,1500,,,4078.94,48440.83,5d7.6s2,a 4F,3/2,,4844*,3/2,4,4,,,L14858,
225.580,225.5802+,44330.2,2100,,,2834.98,47165.12,5d8.(3F).6s,b 4F,9/2,,4716*,7/2,10,8,,,L3475,
225.651,225.6517+,44316.2,1400,,,5784.62,50100.71,5d7.6s2,a 4F,5/2,,5010*,3/2,6,4,,,L3475,
225.921,225.9208+,44263.3,350,,,9877.54,54140.83,5d8.(3F).6s,b 4F,5/2,,5414*,7/2,6,8,,,L3475,
225.956,225.9556+,44256.4,1400,,,6323.91,50580.39,5d7.6s2,a 4F,7/2,,5058*,7/2,8,8,,,L3475,
226.531,226.5311+,44144.1,830,,,2834.98,46979.02,5d8.(3F).6s,b 4F,9/2,,4697*,7/2,10,8,,,L3475,
226.703,226.7031+,44110.6,1100,,,6323.91,50434.46,5d7.6s2,a 4F,7/2,,5043*,9/2,8,10,,,L3475,
226.960,226.9600+,44060.6,1000,,,10578.68,54639.31,5d8.(3P).6s,a 2P,3/2,,5463*,5/2,4,6,,,L3475,
228.070,228.0703+,43846.1,660*,,,16565.35,60411.48,5d8.(3P).6s,a 4P,3/2,,6041*,5/2,4,6,,,L3475,
228.070,228.0711+,43846.1,660*,,,6323.91,50169.88,5d7.6s2,a 4F,7/2,,5016*,5/2,8,6,,,L3475,
228.261,228.2613+,43809.4,660,,,9877.54,53686.99,5d8.(3F).6s,b 4F,5/2,,5368*,7/2,6,8,,,L3475,
228.530,228.5314+,43757.8,330,,,13939.80,57697.46,5d7.6s2,a 2G,9/2,,5769*,7/2,10,8,,,L3475,
229.579,229.5795+,43558.0,330,,,5784.62,49342.51,5d7.6s2,a 4F,5/2,,4934*,3/2,6,4,,,L3475,
229.8867,229.8870+,43499.69,790,,,6323.91,49823.54,5d7.6s2,a 4F,7/2,,4982*,7/2,8,8,,,L14858,
230.024,230.0237+,43473.8,460,,,7106.61,50580.39,5d8.(3F).6s,b 4F,7/2,,5058*,7/2,8,8,,,L3475,
