obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
285.193,285.19479,0.00006,35064.0,120,,,18464.202,53527.956,5p3,2P*,3/2,5p2.(3P).5d,4F,3/2,4,4,,,"L3304,L16370",
287.876,287.87572,0.00010,34737.1,1000r,4.24e+07,,8512.125,43249.337,5p3,2D*,3/2,5p2.(3P).6s,4P,1/2,4,2,,T3880,L7406,
303.071,303.06911,0.00010,32995.5,500r,,,16395.359,49391.133,5p3,2P*,1/2,5p2.(3P).6s,2P,3/2,2,4,,,L7406,
323.345,323.34278,0.00010,30926.7,600r,3.07e+07,,18464.202,49391.133,5p3,2P*,3/2,5p2.(3P).6s,2P,3/2,4,4,,T3880,L7406,
326.845,326.84333,0.00010,30595.5,700r,4.95e+07,,16395.359,46991.058,5p3,2P*,1/2,5p2.(3P).6s,2P,1/2,2,2,,T3880,L7406,
338.412,338.40969,0.00010,29549.8,100,,,16395.359,45945.340,5p3,2P*,1/2,5p2.(3P).6s,4P,3/2,2,4,,,L7406,
363.887,363.88595,0.00010,27481.1,250,,,18464.202,45945.340,5p3,2P*,3/2,5p2.(3P).6s,4P,3/2,4,4,,,L7406,
372.385,372.38431,0.00010,26853.9,200r,,,16395.359,43249.337,5p3,2P*,1/2,5p2.(3P).6s,4P,1/2,2,2,,,L7406,
403.46764,403.46764,0.00010,24785.135,200,,,18464.202,43249.337,5p3,2P*,3/2,5p2.(3P).6s,4P,1/2,4,2,,,L10083,
475.914,475.90799,0.00016,21012.2,20,,,45945.340,66957.805,5p2.(3P).6s,4P,3/2,5p2.(3P<2>).7p,"(2,3/2)*",3/2,4,4,,,L3304,
549.17506,549.17506,0.00010,18209.130,30w,,,48332.424,66541.554,5p2.(3P).6s,4P,5/2,5p2.(3P<2>).7p,"(2,1/2)*",3/2,6,4,,,L10083,
555.75541,555.75538,0.00010,17993.527,40w,,,46991.058,64984.586,5p2.(3P).6s,2P,1/2,5p2.(1D<2>).6p,"(2,1/2)*",3/2,2,4,,,L10083,
560.36209,560.36200,0.00010,17845.604,30l,,,45945.340,63790.947,5p2.(3P).6s,4P,3/2,5p2.(3P<1>).7p,"(1,3/2)*",5/2,4,6,,,L10083,
563.34998,563.34984,0.00010,17750.955,100l,,,43249.337,61000.296,5p2.(3P).6s,4P,1/2,5p2.(3P<0>).7p,"(0,3/2)*",3/2,2,4,,,L10083,
573.193,573.18287,0.00010,17446.1,60w,,,49391.133,66837.572,5p2.(3P).6s,2P,3/2,5p2.(3P<2>).7p,"(2,3/2)*",5/2,4,6,,,L7406,
661.32055,661.3207,0.0010,15121.2599,20,,,49391.133,64512.389,5p2.(3P).6s,2P,3/2,5p2.(1D<2>).6p,"(2,1/2)*",5/2,4,6,,,L10083,
765.0363,765.0363,0.0010,13071.275,30w,,,49391.133,62462.408,5p2.(3P).6s,2P,3/2,5p2.(3P<0>).4f,2[3]*,5/2,4,6,,,L10083,
784.6509,784.6509,0.0010,12744.521,80,,,43249.337,55993.858,5p2.(3P).6s,4P,1/2,5p2.(3P<1>).6p,"(1,3/2)*",1/2,2,2,,,L10083,
792.6763,792.6762,0.0010,12615.490,200,,,43249.337,55864.828,5p2.(3P).6s,4P,1/2,5p2.(3P<1>).6p,"(1,3/2)*",3/2,2,4,,,L10083,
797.174,797.1831,0.0010,12544.31,40w,,,51676.437,64220.607,5p2.(3P<0>).6p,"(0,1/2)*",1/2,5p2.(3P).6d,2P,3/2,2,4,,,L7406,
841.4026,841.4025,0.0010,11884.918,60,,,43249.337,55134.255,5p2.(3P).6s,4P,1/2,5p2.(3P<1>).6p,"(1,1/2)*",3/2,2,4,,,L10083,
857.4897,857.4893,0.0010,11661.948,150,,,46991.058,58653.011,5p2.(3P).6s,2P,1/2,5p2.(3P<2>).6p,"(2,3/2)*",1/2,2,2,,,L10083,
862.1839,862.1839,0.0010,11598.454,100,,,46991.058,58589.512,5p2.(3P).6s,2P,1/2,5p2.(3P<2>).6p,"(2,3/2)*",3/2,2,4,,,L10083,
868.4881,868.4880,0.0010,11514.263,30w,,,53442.967,64957.231,5p2.(3P).5d,4P,5/2,5p2.(1D<2>).6p,"(2,3/2)*",7/2,6,8,,,L10083,
913.4688,913.4688,0.0010,10947.281,30,,,43249.337,54196.618,5p2.(3P).6s,4P,1/2,5p2.(3P<1>).6p,"(1,1/2)*",1/2,2,2,,,L10083,
952.1032,952.1032,0.0010,10503.063,400,,,48332.424,58835.487,5p2.(3P).6s,4P,5/2,5p2.(3P<2>).6p,"(2,3/2)*",5/2,6,6,,,L10083,
986.9462,986.9465,0.0010,10132.264,30,,,51676.437,61808.698,5p2.(3P<0>).6p,"(0,1/2)*",1/2,5p2.(3P).5d,2D,3/2,2,4,,,L10083,
995.1718,995.1716,0.0010,10048.517,400,,,45945.340,55993.858,5p2.(3P).6s,4P,3/2,5p2.(3P<1>).6p,"(1,3/2)*",1/2,4,2,,,L10083,
1008.1166,1008.1165,0.0010,9919.488,200,,,45945.340,55864.828,5p2.(3P).6s,4P,3/2,5p2.(3P<1>).6p,"(1,3/2)*",3/2,4,4,,,L10083,
1026.3661,1026.3661,0.0010,9743.112,300,,,48332.424,58075.536,5p2.(3P).6s,4P,5/2,5p2.(3P<2>).6p,"(2,1/2)*",3/2,6,4,,,L10083,
1036.7005,1036.6997,0.0010,9645.987,50,,,55232.963,64878.958,5p2.(1D).6s,2D,3/2,5p2.(1D<2>).6p,"(2,3/2)*",5/2,4,6,,,L10083,
1049.12,,,9531.8,50w,,,,,,,,,,,1,1,,,L7406,
1058.8336,1058.8337,0.0010,9444.354,200,,,49391.133,58835.487,5p2.(3P).6s,2P,3/2,5p2.(3P<2>).6p,"(2,3/2)*",5/2,4,6,,,L10083,
1068.0171,1068.0171,0.0010,9363.146,1000,,,43249.337,52612.483,5p2.(3P).6s,4P,1/2,5p2.(3P<0>).6p,"(0,3/2)*",3/2,2,4,,,L10083,
1074.4842,1074.4841,0.0010,9306.791,800,,,45945.340,55252.132,5p2.(3P).6s,4P,3/2,5p2.(3P<1>).6p,"(1,3/2)*",5/2,4,6,,,L10083,
1079.6954,1079.6946,0.0010,9261.872,80,,,49391.133,58653.011,5p2.(3P).6s,2P,3/2,5p2.(3P<2>).6p,"(2,3/2)*",1/2,4,2,,,L10083,
1084.2540,1084.2540,0.0010,9222.931,600,,,48332.424,57555.355,5p2.(3P).6s,4P,5/2,5p2.(3P<2>).6p,"(2,3/2)*",7/2,6,8,,,L10083,
1087.1481,1087.1481,0.0010,9198.379,200,,,49391.133,58589.512,5p2.(3P).6s,2P,3/2,5p2.(3P<2>).6p,"(2,3/2)*",3/2,4,4,,,L10083,
