obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
1184.301,0.005,1184.3049,8443.80,10,,,49649.5807,58093.352,4s2.4p.5p,1D,2,4s2.4p.5d,1F*,3,5,7,,,L3503,
1192.0271,0.0005,1192.0271,8389.071,55,,,50068.954,58458.025,4s2.4p.4d,3F*,2,4s2.4p.(2P*<3/2>).4f,2[7/2],3,5,7,,,L3503,
1202.893,0.005,1202.8755,8313.29,10,,,48480.048,56793.460,4s2.4p.4d,1D*,2,4s2.4p.6p,3D,3,5,7,,,L3503,
1205.879,0.005,1205.8796,8292.71,10,,,48480.048,56772.750,4s2.4p.4d,1D*,2,4s2.4p.(2P*<1/2>).4f,2[5/2],2,5,5,,,L3503,
1206.471,0.005,1206.4742,8288.64,30,,,48480.048,56768.663,4s2.4p.4d,1D*,2,4s2.4p.(2P*<1/2>).4f,2[5/2],3,5,7,,,L3503,
1206.906,0.005,1206.8986,8285.65,45,,,48480.048,56765.748,4s2.4p.4d,1D*,2,4s2.4p.(2P*<1/2>).4f,2[7/2],3,5,7,,,L3503,
1207.2504,0.0005,1207.2503,8283.286,1300,,,37702.3054,45985.592,4s2.4p.5s,3P*,1,4s2.4p.5p,3D,1,3,3,,,L3503,
1220.2219,0.0005,1220.2219,8195.231,30,,,48726.1143,56921.345,4s2.4p.5p,3P,2,4s2.4p.5d,*,2,5,5,,,L3503,
1221.107,0.005,1221.1002,8189.290,20,,,45985.592,54174.928,4s2.4p.5p,3D,1,4s2.4p.6s,"(3/2,1/2)*",1,3,3,,,L3503,
1229.0108,0.0005,1229.0108,8136.625,60,,,50323.465,58460.090,4s2.4p.4d,3F*,3,4s2.4p.(2P*<3/2>).4f,2[7/2],4,7,9,,,L3503,
1234.2138,0.0005,1234.2137,8102.324,55,,,48726.1143,56828.439,4s2.4p.5p,3P,2,4s2.4p.5d,3F*,3,5,7,,,L3503,
1239.4965,0.0005,1239.49681,8067.792,1050,,,40020.5604,48088.3504,4s2.4p.5s,1P*,1,4s2.4p.5p,3P,1,3,3,,,L3503,
1254.3837,0.0005,1254.3837,7972.042,48,,,47502.6257,55474.668,4s2.4p.5p,3P,0,4s2.4p.5d,3D*,1,1,3,,,L3503,
1264.026,0.005,1264.0312,7911.23,15,,,48882.263,56793.460,4s2.4p.4d,3D*,2,4s2.4p.6p,3D,3,5,7,,,L3503,
1268.0052,0.0005,1268.0057,7886.403,150,,,48882.263,56768.663,4s2.4p.4d,3D*,2,4s2.4p.(2P*<1/2>).4f,2[5/2],3,5,7,,,L3503,
1268.4747,0.0005,1268.4745,7883.484,40,,,48882.263,56765.748,4s2.4p.4d,3D*,2,4s2.4p.(2P*<1/2>).4f,2[7/2],3,5,7,,,L3503,
1280.4157,0.0005,1280.4151,7809.964,115,,,48962.783,56772.750,4s2.4p.4d,3D*,1,4s2.4p.(2P*<1/2>).4f,2[5/2],2,3,5,,,L3503,
