obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""92.7558""","=""0.0002""","=""92.7558+""","=""a""","=""""",,"=""0.000""","=""107810.0""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).18s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.7750""","=""0.0002""","=""92.7751+""","=""a""","=""""",,"=""0.000""","=""107787.6""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).16d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.8331""","=""0.0002""","=""92.8331+""","=""a""","=""""",,"=""0.000""","=""107720.2""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).17s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.8571""","=""0.0002""","=""92.8571+""","=""a""","=""""",,"=""0.000""","=""107692.4""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).15d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.9306""","=""0.0002""","=""92.9306+""","=""a""","=""""",,"=""0.000""","=""107607.2""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).16s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.9614""","=""0.0002""","=""92.9614+""","=""a""","=""""",,"=""0.000""","=""107571.5""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).14d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.0564""","=""0.0002""","=""93.0564+""","=""a""","=""""",,"=""0.000""","=""107461.7""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).15s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.0970""","=""0.0010""","=""93.097+""","=""a""","=""""",,"=""0.000""","=""107415.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.2223""","=""0.0002""","=""93.2223+""","=""a""","=""""",,"=""0.000""","=""107270.5""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).14s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.2760""","=""0.0010""","=""93.276+""","=""a""","=""""",,"=""0.000""","=""107209.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.4477""","=""0.0002""","=""93.4477+""","=""a""","=""""",,"=""0.000""","=""107011.7""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).13s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.5200""","=""0.0010""","=""93.520+""","=""a""","=""""",,"=""0.000""","=""106929.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.7650""","=""0.0002""","=""93.7650+""","=""a""","=""""",,"=""0.000""","=""106649.6""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).12s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""93.8720""","=""0.0010""","=""93.872+""","=""a""","=""""",,"=""0.000""","=""106528.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""94.2322""","=""0.0002""","=""94.2322+""","=""a""","=""""",,"=""0.000""","=""106120.8""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).11s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""94.3920""","=""0.0010""","=""94.392+""","=""a""","=""""",,"=""0.000""","=""105941.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""94.9634""","=""0.0002""","=""94.9634+""","=""a""","=""""",,"=""0.000""","=""105303.7""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""95.2260""","=""0.0010""","=""95.226+""","=""a""","=""""",,"=""0.000""","=""105013.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""96.196""","=""0.015""","=""96.196+""","=""a""","=""""",,"=""0.000""","=""103954.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L4034""",
"=""96.69""","=""0.01""","=""96.694+""","=""a""","=""""",,"=""0.000""","=""103419.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4034""",
"=""98.594""","=""0.015""","=""98.594+""","=""a""","=""""",,"=""0.000""","=""101426.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L4034""",
"=""99.58""","=""0.01""","=""99.584+""","=""a""","=""""",,"=""0.000""","=""100418.""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4034""",
"=""102.5777""","=""0.0002""","=""102.577622+""","=""a""","=""""",,"=""0.000""","=""97487.150""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.5906""","=""0.0002""","=""102.590586+""","=""a""","=""""",,"=""0.000""","=""97474.831""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).20d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.6223""","=""0.0002""","=""102.622313+""","=""a""","=""""",,"=""0.000""","=""97444.695""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).19d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.6378""","=""0.0002""","=""102.637810+""","=""a""","=""""",,"=""0.000""","=""97429.982""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).19d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.6637""","=""0.0002""","=""102.663548+""","=""a""","=""""",,"=""0.000""","=""97405.556""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).20s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.6758""","=""0.0002""","=""102.675786+""","=""a""","=""""",,"=""0.000""","=""97393.946""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.6946""","=""0.0002""","=""102.694525+""","=""a""","=""""",,"=""0.000""","=""97376.175""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).18d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
