obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""732.3050""","=""0.0010""","=""732.308+""","=""2""","=""""",,"=""81925.514""","=""95577.20""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""733.6480""","=""0.0002""","=""733.6477+""","=""50""","=""""",,"=""78119.798""","=""91746.564""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
"=""735.5580""","=""0.0010""","=""735.5565+""","=""40""","=""""",,"=""79771.267""","=""93362.671""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""738.257""","=""0.020""","=""738.26+""","=""30""","=""""",,"=""91746.564""","=""105288.2""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<1/2>).6f""","=""2[7/2]""","=""4""",,"=""""","=""L4103""",
"=""738.6003""","=""0.0002""","=""738.6004+""","=""100""","=""1.25e+06""",B+,"=""77269.145""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L7292""",
"=""739.3793""","=""0.0002""","=""739.3794+""","=""150""","=""4.89e+06""",B,"=""79212.465""","=""92733.597""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",,"=""T5099""","=""L7292""",
"=""740.0410""","=""0.0010""","=""740.0398+""","=""30""","=""""",,"=""79212.465""","=""92721.530""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""740.4510""","=""0.0010""","=""740.4505+""","=""12""","=""""",,"=""79212.465""","=""92714.038""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""740.5770""","=""0.0010""","=""740.576+""","=""3""","=""""",,"=""80118.962""","=""93618.24""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""742.4050""","=""0.0010""","=""742.4037+""","=""20""","=""8.60e+05""",B,"=""79212.465""","=""92678.516""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""T5099""","=""L4739""",
"=""744.1940""","=""0.0010""","=""744.1938+""","=""20""","=""4.7e+05""",C,"=""79212.465""","=""92646.125""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",,"=""T5099""","=""L4739""",
"=""745.1000""","=""0.0010""","=""745.0986+""","=""25""","=""""",,"=""79986.618""","=""93403.966""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""747.2010""","=""0.0010""","=""747.1992+""","=""40""","=""""",,"=""79986.618""","=""93366.245""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""747.4010""","=""0.0010""","=""747.3989+""","=""25""","=""""",,"=""79986.618""","=""93362.671""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""749.2230""","=""0.0010""","=""749.2221+""","=""20""","=""""",,"=""78403.061""","=""91746.564""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""750.1130""","=""0.0010""","=""750.1118+""","=""20""","=""""",,"=""78119.798""","=""91447.474""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""751.4540""","=""0.0010""","=""751.4524+""","=""8""","=""""",,"=""78956.031""","=""92259.931""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",,"=""""","=""L4739""",
"=""751.4960""","=""0.0010""","=""751.4950+""","=""3""","=""2.1e+05""",C,"=""80118.962""","=""93422.108""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L4739""",
"=""755.9790""","=""0.0010""","=""755.9772+""","=""40""","=""""",,"=""80196.629""","=""93420.901""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",,"=""""","=""L4739""",
"=""757.0930""","=""0.0010""","=""757.0898+""","=""6""","=""""",,"=""80196.629""","=""93401.466""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""758.4290""","=""0.0010""","=""758.4262+""","=""10""","=""""",,"=""80196.629""","=""93378.199""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""",,"=""""","=""L4739""",
"=""758.4680""","=""0.0002""","=""758.4678+""","=""200""","=""""",,"=""80196.629""","=""93377.475""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""5""",,"=""""","=""L7292""",
"=""758.9610""","=""0.0010""","=""758.9625+""","=""6""","=""""",,"=""78956.031""","=""92128.287""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""759.4360""","=""0.0010""","=""759.433+""","=""1""","=""""",,"=""80970.438""","=""94134.53""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""760.0770""","=""0.0010""","=""760.076+""","=""10""","=""""",,"=""82430.204""","=""95583.16""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",,"=""""","=""L4739""",
"=""760.4970""","=""0.0010""","=""760.4924+""","=""2h""","=""""",,"=""82430.204""","=""95575.960""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).7f""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""760.8460""","=""0.0010""","=""760.842+""","=""5""","=""""",,"=""80970.438""","=""94110.15""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""760.9820""","=""0.0010""","=""760.983+""","=""3""","=""""",,"=""82430.204""","=""95567.48""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).7f""","=""2[9/2]""","=""4""",,"=""""","=""L4739""",
"=""764.2024""","=""0.0002""","=""764.2023+""","=""500""","=""2.1e+07""",C+,"=""76196.767""","=""89278.706""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""",,"=""T5100n,T3269""","=""L7292c110""",
"=""764.2300""","=""0.0010""","=""764.2443+""","=""""","=""""",,"=""80322.746""","=""93403.966""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""764.3910""","=""0.0010""","=""764.3904+""","=""100""","=""""",,"=""80322.746""","=""93401.466""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""766.4020""","=""0.0010""","=""766.4008+""","=""10""","=""""",,"=""78403.061""","=""91447.474""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""766.4560""","=""0.0010""","=""766.4545+""","=""30""","=""""",,"=""80322.746""","=""93366.245""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""766.6610""","=""0.0010""","=""766.6646+""","=""10""","=""""",,"=""80322.746""","=""93362.671""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""767.0810""","=""0.0010""","=""767.0794+""","=""1""","=""""",,"=""78119.798""","=""91152.670""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""774.0310""","=""0.0010""","=""774.0312+""","=""40""","=""""",,"=""79212.465""","=""92128.287""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""776.215""","=""0.020""","=""776.21+""","=""4""","=""""",,"=""88549.775""","=""101429.3""","=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L4103""",
"=""778.3660""","=""0.0010""","=""778.3624+""","=""50""","=""""",,"=""81925.514""","=""94769.465""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).6f""","=""2[7/2]""","=""3""",,"=""""","=""L4739""",
"=""778.9420""","=""0.0010""","=""778.9404+""","=""15""","=""""",,"=""81925.514""","=""94759.935""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""779.0530""","=""0.0010""","=""779.0508+""","=""1""","=""""",,"=""81925.514""","=""94758.116""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).6f""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""780.2651""","=""0.0002""","=""780.2649+""","=""100""","=""2.28e+06""",B+,"=""78119.798""","=""90932.432""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L7292""",
"=""780.464""","=""0.020""","=""780.4639+""","=""10""","=""""",,"=""81925.514""","=""94734.882""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L4093c2""",
"=""782.555""","=""0.020""","=""782.53+""","=""30""","=""""",,"=""91152.670""","=""103928.2""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<1/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L4103""",
"=""783.2980""","=""0.0010""","=""783.2987+""","=""10""","=""""",,"=""77269.145""","=""90032.155""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""784.1230""","=""0.0010""","=""784.1220+""","=""15""","=""""",,"=""78403.061""","=""91152.670""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""788.1320""","=""0.0002""","=""788.1320+""","=""100""","=""5.50e+05""",B+,"=""78119.798""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L7292""",
"=""788.7393""","=""0.0002""","=""788.7393+""","=""300""","=""3.5e+07""",C+,"=""77185.041""","=""89860.015""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""",,"=""T4106n,T5100,T3269""","=""L7292c110""",
"=""793.7410""","=""0.0010""","=""793.7427+""","=""40""","=""""",,"=""80118.962""","=""92714.038""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""795.4220""","=""0.0010""","=""795.4200+""","=""4""","=""""",,"=""79986.618""","=""92555.135""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""",,"=""""","=""L4739""",
"=""796.7342""","=""0.0002""","=""796.7338+""","=""500""","=""3.4e+06""",D+,"=""76196.767""","=""88744.559""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",,"=""T8608""","=""L7292c110""",
"=""797.6030""","=""0.0010""","=""797.6042+""","=""8""","=""""",,"=""79212.465""","=""91746.564""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""800.3260""","=""0.0010""","=""800.3279+""","=""10""","=""""",,"=""78956.031""","=""91447.474""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""800.959""","=""0.020""","=""801.02+""","=""30""","=""""",,"=""91447.474""","=""103928.2""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<1/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L4103""",
"=""802.9670""","=""0.0010""","=""802.9672+""","=""100*""","=""""",,"=""80970.438""","=""93420.823""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L4739""",
"=""802.9670""","=""0.0010""","=""802.9622+""","=""100*""","=""""",,"=""80970.438""","=""93420.901""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",,"=""""","=""L4739""",
"=""804.0560""","=""0.0010""","=""804.0558+""","=""10""","=""""",,"=""80970.438""","=""93403.966""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""804.2180""","=""0.0010""","=""804.2175+""","=""15""","=""""",,"=""80970.438""","=""93401.466""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""805.7258""","=""0.0002""","=""805.7256+""","=""200""","=""""",,"=""80970.438""","=""93378.199""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""",,"=""""","=""L7292""",
"=""806.1339""","=""0.0002""","=""806.1339+""","=""150""","=""2.59e+06""",B+,"=""78403.061""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L7292""",
"=""806.4940""","=""0.0010""","=""806.5026+""","=""2""","=""""",,"=""80970.438""","=""93366.245""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""807.3990""","=""0.0010""","=""807.4012+""","=""1""","=""""",,"=""79771.267""","=""92153.279""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L4739""",
"=""809.7240""","=""0.0010""","=""809.7269+""","=""3""","=""""",,"=""79986.618""","=""92333.066""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""810.1980""","=""0.0010""","=""810.1946+""","=""100""","=""""",,"=""82430.204""","=""94769.524""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).6f""","=""2[7/2]""","=""4""",,"=""""","=""L4739""",
"=""810.7910""","=""0.0010""","=""810.8248+""","=""6""","=""""",,"=""82430.204""","=""94759.935""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""810.9460""","=""0.0010""","=""810.9444+""","=""15""","=""""",,"=""82430.204""","=""94758.116""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).6f""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""811.8290""","=""0.0010""","=""811.8267+""","=""15""","=""""",,"=""82430.204""","=""94744.718""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).6f""","=""2[9/2]""","=""4""",,"=""""","=""L4739""",
"=""812.3290""","=""0.0010""","=""812.3278+""","=""2""","=""""",,"=""82430.204""","=""94737.121""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""816.5370""","=""0.0010""","=""816.546+""","=""2""","=""""",,"=""81925.514""","=""94168.86""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""817.1020""","=""0.0010""","=""817.1021+""","=""100""","=""""",,"=""79212.465""","=""91447.474""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""818.2930""","=""0.0010""","=""818.281+""","=""1-""","=""""",,"=""83889.971""","=""96107.36""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).8f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""819.6730""","=""0.0010""","=""819.6727+""","=""2""","=""""",,"=""78956.031""","=""91152.670""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""820.6336""","=""0.0002""","=""820.6335+""","=""700""","=""2.0e+07""",C,"=""76196.767""","=""88379.126""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",,"=""T5100n,T3269""","=""L7292""",
"=""823.16336""","=""0.00005""","=""823.1634+""","=""10000hfs""","=""2.86e+07""",B+,"=""67067.547""","=""79212.465""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",,"=""T3269""","=""L7292""",
"=""826.6520""","=""0.0002""","=""826.6520+""","=""500""","=""1.62e+07""",C+,"=""77185.041""","=""89278.706""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""",,"=""T5100n,T3269""","=""L7292""",
"=""828.01162""","=""0.00005""","=""828.0117+""","=""7000""","=""3.69e+07""",B,"=""68045.156""","=""80118.962""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",,"=""T3269n,T6714""","=""L7292c110""",
"=""829.7710""","=""0.0010""","=""829.7730+""","=""15""","=""""",,"=""80322.746""","=""92370.923""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""832.3900""","=""0.0010""","=""832.3885+""","=""2""","=""""",,"=""80322.746""","=""92333.066""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""832.4580""","=""0.0010""","=""832.4575+""","=""20""","=""""",,"=""80118.962""","=""92128.287""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""834.68217""","=""0.00005""","=""834.6823+""","=""2000""","=""4.2e+07""",C+,"=""77185.041""","=""89162.356""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",,"=""T5100n,T3269""","=""L7292""",
"=""834.7450""","=""0.0010""","=""834.7460+""","=""60""","=""1.48e+06""",C+,"=""78956.031""","=""90932.432""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L4739""",
"=""834.9050""","=""0.0010""","=""834.9055+""","=""40""","=""""",,"=""77269.145""","=""89243.258""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""837.1380""","=""0.0010""","=""837.1363+""","=""3""","=""""",,"=""80322.746""","=""92264.950""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""3""",,"=""""","=""L4739""",
"=""837.2790""","=""0.0010""","=""837.2765+""","=""5""","=""""",,"=""79212.465""","=""91152.670""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""839.2370""","=""0.0010""","=""839.2338+""","=""20""","=""""",,"=""78119.798""","=""90032.155""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""840.2030""","=""0.0010""","=""840.2030+""","=""5""","=""""",,"=""80322.746""","=""92221.362""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""840.91894""","=""0.00005""","=""840.9191+""","=""2000""","=""3.06e+06""",B+,"=""67067.547""","=""78956.031""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",,"=""T3269""","=""L7292c110""",
"=""843.7550""","=""0.0010""","=""843.7563+""","=""10""","=""9.0e+04""",C,"=""78956.031""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""845.0370""","=""0.0010""","=""845.0383+""","=""1h""","=""""",,"=""80322.746""","=""92153.279""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L4739""",
"=""846.955""","=""0.020""","=""847.00+""","=""10""","=""""",,"=""92128.287""","=""103931.4""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L4103""",
"=""850.1020""","=""0.0010""","=""850.104+""","=""1""","=""""",,"=""82430.204""","=""94190.24""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""852.2550""","=""0.0010""","=""852.2543+""","=""30""","=""3.3e+05""",D+,"=""76196.767""","=""87927.131""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",,"=""T8608""","=""L4739""",
"=""853.0100""","=""0.0010""","=""853.0104+""","=""30""","=""7.90e+05""",B+,"=""79212.465""","=""90932.432""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L4739""",
"=""855.3970""","=""0.0010""","=""855.400+""","=""2""","=""""",,"=""83889.971""","=""95577.20""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""855.936""","=""0.020""","=""855.933+""","=""4""","=""""",,"=""82430.204""","=""94110.15""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""2""",,"=""""","=""L4093c2""",
"=""856.470""","=""0.010""","=""856.4737+""","=""1-""","=""""",,"=""83889.971""","=""95562.546""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""857.6010""","=""0.0010""","=""857.6022+""","=""200""","=""5.28e+06""",B,"=""77185.041""","=""88842.256""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""",,"=""T8608n,T6672""","=""L4739""",
"=""862.4240""","=""0.0010""","=""862.4216+""","=""80""","=""1.06e+06""",B+,"=""79212.465""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""864.8540""","=""0.0010""","=""864.8504+""","=""250""","=""2.4e+06""",D+,"=""77185.041""","=""88744.559""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",,"=""T8608""","=""L4739""",
