obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
571.301,,17503.9,25,,,,,,,L3475,
571.854,,17487.0,18,,,,,,,L3475,
575.453,,17377.6,110c,,,,,,,L3475,
577.843,,17305.7,"110c,w",,,,,,,L3475,
579.321,,17261.6,18,,,,,,,L3475,
581.753,,17189.4,10c,,,,,,,L3475,
583.593,,17135.2,550,,,,,,,L3475,
592.150,,16887.6,10,,,,,,,L3475,
594.489,,16821.2,60,,,,,,,L3475,
595.186,,16801.5,10,,,,,,,L3475,
597.142,,16746.4,18w,,,,,,,L3475,
599.165,,16689.9,10,,,,,,,L3475,
599.739,,16673.9,18w,,,,,,,L3475,
611.591,,16350.8,30,,,,,,,L3475,
614.751,,16266.7,35c,,,,,,,L3475,
614.852,,16264.1,50,,,,,,,L3475,
620.496,,16116.1,18,,,,,,,L3475,
621.969,,16078.0,25,,,,,,,L3475,
623.114,,16048.4,"30c,w",,,,,,,L3475,
624.497,,16012.9,"35c,w",,,,,,,L3475,
626.175,,15970.0,35bl,,,,,,,L3475,
626.197,,15969.4,,,,,,,,L3475,
627.310,,15941.1,18c,,,,,,,L3475,
628.050,,15922.3,18,,,,,,,L3475,
628.815,,15902.9,10,,,,,,,L3475,
630.516,,15860.0,10,,,,,,,L3475,
630.944,,15849.3,200,,,,,,,L3475,
632.365,,15813.7,200,,,,,,,L3475,
635.251,,15741.82,80bl,,,,,,,L3475,
638.470,,15662.43,16w,,,,,,,L3475,
641.324,,15592.74,14,,,,,,,L3475,
651.327,,15353.27,50,,,,,,,L3475,
651.705,,15344.37,14,,,,,,,L3475,
654.672,,15274.83,12,,,,,,,L3475,
657.893,,15200.05,35c,,,,,,,L3475,
659.434,,15164.52,"40c,w",,,,,,,L3475,
660.701,,15135.43,"100c,w",,,,,,,L3475,
662.574,,15092.66,30c,,,,,,,L3475,
663.908,,15062.32,10c,,,,,,,L3475,
665.423,,15028.04,"27c,w",,,,,,,L3475,
668.513,,14958.58,15w,,,,,,,L3475,
671.315,,14896.13,9c,,,,,,,L3475,
675.308,,14808.05,30,,,,,,,L3475,
676.306,,14786.21,5c,,,,,,,L3475,
681.529,,14672.89,180c,,,,,,,L3475,
683.178,,14637.46,260,,,,,,,L3475,
697.345,,14340.10,85,,,,,,,L3475,
700.856,,14268.26,"35c,w",,,,,,,L3475,
702.609,,14232.67,"65c,w",,,,,,,L3475,
724.867,,13795.64,"65c,w",,,,,,,L3475,
729.473,,13708.53,"13c,w",,,,,,,L3475,
758.082,,13191.19,"40c,w",,,,,,,L3475,
761.399,,13133.73,13,,,,,,,L3475,
762.235,,13119.32,"7c,w",,,,,,,L3475,
764.304,,13083.79,"50c,w",,,,,,,L3475,
791.512,,12634.05,"65c,w",,,,,,,L3475,
798.297,,12526.67,"35c,w",,,,,,,L3475,
841.944,,11877.27,40,,,,,,,L3475,
853.007,,11723.23,"29c,w",,,,,,,L3475,
