obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""210.408""","=""210.4092""","=""0.0022""","=""15""","=""""",,"=""12161.96""","=""59673.32""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""210.540""","=""210.5409""","=""0.0022""","=""50""","=""""",,"=""1670.29""","=""49151.94""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""210.575""","=""210.5708""","=""0.0022""","=""25""","=""""",,"=""3325.53""","=""50800.44""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""210.657""","=""210.6632""","=""0.0022""","=""15""","=""""",,"=""15069.93""","=""62524.02""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""210.694""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""210.786""","=""210.7889""","=""0.0022""","=""15""","=""""",,"=""4830.00""","=""52255.80""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""210.931""","=""210.9331""","=""0.0018""","=""60""","=""""",,"=""3325.53""","=""50718.90""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""210.989""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""211.113""","=""211.1153""","=""0.0018""","=""15""","=""""",,"=""2951.29""","=""50303.78""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""211.247""","=""211.2485""","=""0.0018""","=""6""","=""""",,"=""4830.00""","=""52152.62""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""211.482""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""211.549""","=""211.5484""","=""0.0018""","=""3""","=""""",,"=""0.00""","=""47255.55""","=""5d4.6s2""","=""5D""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""211.630""","=""211.6280""","=""0.0018""","=""40""","=""""",,"=""12161.96""","=""59399.74""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""211.644""","=""211.6431""","=""0.0018""","=""30*""","=""""",,"=""2951.29""","=""50185.70""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""211.644""","=""211.6446""","=""0.0018""","=""30*""","=""""",,"=""4830.00""","=""52064.08""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""211.663""","=""211.6638""","=""0.0018""","=""20""","=""""",,"=""4830.00""","=""52059.78""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""211.759""","=""211.7614""","=""0.0018""","=""30""","=""""",,"=""3325.53""","=""50533.55""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""211.862""","=""211.8635""","=""0.0018""","=""25""","=""""",,"=""4830.00""","=""52015.28""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""211.930""","=""211.9272""","=""0.0018""","=""120*""","=""""",,"=""6219.33""","=""53390.42""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""211.930""","=""211.9366""","=""0.0018""","=""120*""","=""""",,"=""3325.53""","=""50494.54""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""212.074""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""212.127""","=""212.1292""","=""0.0018""","=""3""","=""""",,"=""6219.33""","=""53345.52""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""212.160""","=""212.1671""","=""0.0018""","=""100c""","=""""",,"=""1670.29""","=""48788.06""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""212.237""","=""212.2396""","=""0.0018""","=""20""","=""""",,"=""12161.96""","=""59263.63""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""212.315""","=""212.3167""","=""0.0018""","=""30""","=""""",,"=""15069.93""","=""62154.50""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""212.486""","=""""","=""""","=""20w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""212.495""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""212.536""","=""212.5336""","=""0.0018""","=""3""","=""""",,"=""13348.56""","=""60385.09""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""212.579""","=""212.5807""","=""0.0018""","=""15""","=""""",,"=""4830.00""","=""51856.10""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""212.6114""","=""212.6124""","=""0.0018""","=""25""","=""""",,"=""6219.33""","=""53238.41""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""212.6544""","=""212.6546""","=""0.0018""","=""6""","=""""",,"=""12161.96""","=""59171.71""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""212.755""","=""212.7547""","=""0.0018""","=""3""","=""""",,"=""12161.96""","=""59149.60""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""212.7957""","=""212.7973""","=""0.0018""","=""15""","=""""",,"=""3325.53""","=""50303.78""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""212.8122""","=""212.8123""","=""0.0018""","=""50""","=""""",,"=""6219.33""","=""53194.25""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""212.900""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""213.005""","=""213.0018""","=""0.0018""","=""20""","=""""",,"=""1670.29""","=""48603.44""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
"=""213.1526""","=""213.1571""","=""0.0018""","=""8""","=""""",,"=""6219.33""","=""53118.29""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""213.317""","=""213.3168""","=""0.0018""","=""1""","=""""",,"=""4830.00""","=""51693.85""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
