obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""375.9448""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""375.9678""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""376.0126""","=""376.0123""","=""0.0010""","=""200""","=""1.99e+06""",B,"=""3325.53""","=""29912.85""","=""5d4.6s2""","=""5D""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",,"=""T4976""","=""L153""",
"=""376.0630""","=""376.0626""","=""0.0010""","=""15""","=""""",,"=""28797.24""","=""55381.00""","=""5d4.6s.(6D).6p""","=""7D*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L153""",
"=""376.1212""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""376.1608""","=""376.1610""","=""0.0010""","=""10""","=""6.2e+06""",B,"=""18974.51""","=""45551.32""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""3""",,"=""T6977""","=""L153""",
"=""376.2183""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""376.2404""","=""376.2406""","=""0.0010""","=""1""","=""""",,"=""19535.01""","=""46106.20""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""376.3256""","=""376.3268""","=""0.0010""","=""2""","=""""",,"=""22852.80""","=""49417.90""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""376.3420""","=""376.3423""","=""0.0010""","=""3""","=""""",,"=""28347.60""","=""54911.61""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""376.3882""","=""376.3894""","=""0.0010""","=""2""","=""""",,"=""23964.67""","=""50525.35""","=""5d4.6s.(6D).6p""","=""7D*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L153""",
"=""376.3974""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""376.4312""","=""376.4305""","=""0.0010""","=""20""","=""""",,"=""19827.68""","=""46385.46""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""376.5302""","=""376.5302""","=""0.0010""","=""6""","=""""",,"=""23982.80""","=""50533.55""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""376.6576""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""376.7418""","=""376.7412""","=""0.0010""","=""10""","=""""",,"=""28797.24""","=""55333.12""","=""5d4.6s.(6D).6p""","=""7D*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L153""",
"=""376.7838""","=""376.7835""","=""0.0010""","=""30""","=""""",,"=""19256.24""","=""45789.14""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""376.8122""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""376.8447""","=""376.8445""","=""0.0010""","=""250""","=""3.47e+06""",B,"=""1670.29""","=""28198.90""","=""5d4.6s2""","=""5D""","=""1""","=""5d4.6s.(6D).6p""","=""5P*""","=""1""",,"=""T4976""","=""L153""",
"=""376.9207""","=""376.9206""","=""0.0010""","=""50""","=""3.8e+06""",B,"=""14976.18""","=""41499.43""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""3""",,"=""T6977""","=""L153""",
"=""376.9536""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""376.9860""","=""376.9866""","=""0.0010""","=""50""","=""5.9e+06""",B,"=""15460.01""","=""41978.62""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""2""",,"=""T6977""","=""L153""",
"=""376.9992""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""377.0320""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""377.0598""","=""377.0599""","=""0.0010""","=""6""","=""""",,"=""18082.83""","=""44596.28""","=""5d4.6s2""","=""3D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""377.1492""","=""377.1483""","=""0.0010""","=""2""","=""""",,"=""19253.56""","=""45760.80""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""377.2050""","=""377.2049""","=""0.0010""","=""8""","=""""",,"=""28392.70""","=""54895.96""","=""5d5.(2I).6s""","=""3I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""377.2420""","=""377.2419""","=""0.0010""","=""10""","=""""",,"=""20983.02""","=""47483.68""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""377.2500""","=""377.2503""","=""0.0010""","=""6""","=""""",,"=""19827.68""","=""46327.75""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""377.3706""","=""377.3704""","=""0.0010""","=""150""","=""""",,"=""13777.71""","=""40269.35""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""377.4460""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""377.4800""","=""377.4809""","=""0.0010""","=""2""","=""""",,"=""26861.64""","=""53345.52""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""377.5442""","=""377.5442""","=""0.0010""","=""15*""","=""""",,"=""18116.84""","=""44596.28""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""377.5442""","=""377.5444""","=""0.0010""","=""15*""","=""""",,"=""16431.31""","=""42910.74""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""377.6634""","=""377.6643""","=""0.0010""","=""3w""","=""""",,"=""24789.66""","=""51260.68""","=""5d4.6s2""","=""1D2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""377.6990""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""377.8144""","=""377.8145""","=""0.0010""","=""10""","=""""",,"=""27849.80""","=""54310.30""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""377.8550""","=""377.8550""","=""0.0010""","=""20""","=""""",,"=""19648.54""","=""46106.20""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""377.8686""","=""377.8683""","=""0.0010""","=""30""","=""""",,"=""18280.48""","=""44737.21""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""377.9966""","=""377.9966""","=""0.0010""","=""12""","=""""",,"=""18974.51""","=""45422.26""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""378.0340""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""378.0458""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""378.0772""","=""378.0773""","=""0.0010""","=""200""","=""4.2e+06""",B,"=""2951.29""","=""29393.40""","=""5d5.(6S).6s""","=""7S""","=""3""","=""5d4.6s.(6D).6p""","=""5P*""","=""2""",,"=""T4976""","=""L153""",
"=""378.0921""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""378.1837""","=""378.1834""","=""0.0010""","=""30""","=""""",,"=""16431.31""","=""42866.00""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""378.2680""","=""378.2678""","=""0.0010""","=""15""","=""""",,"=""27488.11""","=""53916.90""","=""5d5.(6S).6p""","=""7P*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L153""",
"=""378.2966""","=""378.2964""","=""0.0010""","=""2""","=""""",,"=""29853.66""","=""56280.45""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""378.3727""","=""378.3729""","=""0.0010""","=""40""","=""""",,"=""19256.24""","=""45677.69""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""378.4550""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""378.5086""","=""378.5093""","=""0.0010""","=""6""","=""""",,"=""15460.01""","=""41871.94""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""378.6370""","=""378.6373""","=""0.0010""","=""25""","=""""",,"=""17008.50""","=""43411.50""","=""5d4.6s2""","=""3H""","=""6""","=""""","=""*""","=""7""",,"=""""","=""L153""",
"=""378.6510""","=""378.6518""","=""0.0010""","=""4""","=""""",,"=""29853.66""","=""56255.65""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""378.6813""","=""378.6815""","=""0.0010""","=""6""","=""""",,"=""13307.10""","=""39707.02""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""378.7646""","=""378.7664""","=""0.0010""","=""2w""","=""""",,"=""20064.30""","=""46458.30""","=""5d4.6s.(6D).6p""","=""7F*""","=""1""","=""5d4.6s.(6D).7s""","=""5D""","=""1""",,"=""""","=""L153""",
"=""379.0875""","=""379.0886""","=""0.0010""","=""4""","=""""",,"=""17107.01""","=""43478.58""","=""5d4.6s2""","=""3F2""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""379.1770""","=""379.1774""","=""0.0010""","=""2""","=""""",,"=""26861.64""","=""53227.03""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""379.2570""","=""379.2586""","=""0.0010""","=""3""","=""""",,"=""24763.39""","=""51123.14""","=""5d4.6s.(6D).6p""","=""7F*""","=""4""","=""5d4.6s.(6D).7s""","=""5D""","=""4""",,"=""""","=""L153""",
"=""379.2759""","=""379.2771""","=""0.0010""","=""100""","=""""",,"=""13348.56""","=""39707.02""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""379.3311""","=""379.3302""","=""0.0010""","=""12""","=""""",,"=""20983.02""","=""47337.79""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""379.413""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""379.4340""","=""379.4336""","=""0.0010""","=""50""","=""""",,"=""15069.93""","=""41417.52""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""379.6282""","=""379.6281""","=""0.0010""","=""20""","=""1.7e+06""",C,"=""19535.01""","=""45869.10""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""4""",,"=""T6977""","=""L153""",
"=""379.6935""","=""379.6940""","=""0.0010""","=""6""","=""""",,"=""13307.10""","=""39636.62""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""379.8344""","=""379.8340""","=""0.0010""","=""30""","=""""",,"=""17701.18""","=""44021.00""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""379.848""","=""""","=""""","=""2?""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""379.8915""","=""379.8920""","=""0.0010""","=""15""","=""""",,"=""18280.48""","=""44596.28""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""380.1026""","=""380.1035""","=""0.0010""","=""1""","=""""",,"=""25983.60""","=""52284.76""","=""5d4.6s.(6D).6p""","=""5F*""","=""1""","=""""","=""""","=""3""",,"=""""","=""L153""",
"=""380.1165""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""380.1405""","=""380.1406""","=""0.0010""","=""2""","=""""",,"=""24610.88""","=""50909.47""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""380.1512""","=""380.1507""","=""0.0010""","=""30*""","=""""",,"=""27488.11""","=""53786.00""","=""5d5.(6S).6p""","=""7P*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L153""",
"=""380.1512""","=""380.1513""","=""0.0010""","=""30*""","=""""",,"=""13348.56""","=""39646.41""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""380.1512""","=""380.1526""","=""0.0010""","=""30*""","=""""",,"=""19253.56""","=""45551.32""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""380.1909""","=""380.1903""","=""0.0010""","=""40*""","=""""",,"=""22852.80""","=""49147.95""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""380.1909""","=""380.1913""","=""0.0010""","=""40*""","=""""",,"=""19256.24""","=""45551.32""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""380.2053""","=""""","=""""","=""3?""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""380.2922""","=""380.2932""","=""0.0010""","=""12""","=""""",,"=""18974.51""","=""45262.55""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""380.3409""","=""380.3419""","=""0.0010""","=""5""","=""""",,"=""18082.83""","=""44367.50""","=""5d4.6s2""","=""3D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""380.3480""","=""380.3483""","=""0.0010""","=""3""","=""""",,"=""17701.18""","=""43985.41""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""380.3620""","=""380.3626""","=""0.0010""","=""2""","=""""",,"=""24610.88""","=""50894.12""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""380.4072""","=""380.4072""","=""0.0010""","=""15""","=""""",,"=""19826.04""","=""46106.20""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""380.4244""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""380.4942""","=""380.4946""","=""0.0010""","=""10*""","=""""",,"=""15460.01""","=""41734.13""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""380.4942""","=""380.4958""","=""0.0010""","=""10*""","=""""",,"=""17701.18""","=""43975.22""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""380.5446""","=""380.5452""","=""0.0010""","=""8""","=""""",,"=""18082.83""","=""44353.46""","=""5d4.6s2""","=""3D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""380.6308""","=""380.6333""","=""0.0010""","=""2""","=""""",,"=""28291.88""","=""54556.43""","=""5d5.(2F1).6s""","=""3F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""380.7622""","=""380.7628""","=""0.0010""","=""6""","=""""",,"=""23930.08""","=""50185.70""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""380.7840""","=""380.7844""","=""0.0010""","=""5""","=""""",,"=""19535.01""","=""45789.14""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""380.890""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""380.9220""","=""380.9234""","=""0.0010""","=""150""","=""9.0e+05""",B,"=""2951.29""","=""29195.84""","=""5d5.(6S).6s""","=""7S""","=""3""","=""5d4.6s.(6D).6p""","=""5D*""","=""2""",,"=""T4976""","=""L153""",
"=""380.9848""","=""380.9845""","=""0.0010""","=""15""","=""""",,"=""19827.68""","=""46068.02""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""381.0380""","=""381.0385""","=""0.0010""","=""100""","=""""",,"=""18116.84""","=""44353.46""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""381.0790""","=""381.0796""","=""0.0010""","=""120""","=""6.6e+06""",B,"=""13777.71""","=""40011.50""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""2""",,"=""T6977""","=""L153""",
"=""381.2646""","=""381.2643""","=""0.0010""","=""10""","=""""",,"=""22852.80""","=""49073.88""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""381.2896""","=""381.2896""","=""0.0010""","=""4""","=""""",,"=""22852.80""","=""49072.14""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""381.4418""","=""381.4425""","=""0.0010""","=""5""","=""""",,"=""28347.60""","=""54556.43""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""381.5026""","=""381.5015""","=""0.0010""","=""3""","=""""",,"=""27670.48""","=""53875.26""","=""5d5.(4F).6s""","=""5F""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""381.5768""","=""381.5769""","=""0.0010""","=""15""","=""""",,"=""25983.60""","=""52183.20""","=""5d4.6s.(6D).6p""","=""5F*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L153""",
"=""381.6386""","=""381.6380""","=""0.0010""","=""40""","=""""",,"=""19256.24""","=""45451.65""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""381.7294""","=""381.7290""","=""0.0010""","=""12?*""","=""""",,"=""29430.50""","=""55619.66""","=""""","=""""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153c23""",
"=""381.7294""","=""381.7311""","=""0.0010""","=""12?*""","=""""",,"=""26189.20""","=""52378.22""","=""5d4.6s.(6D).6p""","=""7D*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L153""",
"=""381.7480""","=""381.7484""","=""0.0010""","=""400""","=""3.1e+06""",B,"=""2951.29""","=""29139.12""","=""5d5.(6S).6s""","=""7S""","=""3""","=""5d4.6s.(6D).6p""","=""5F*""","=""3""",,"=""T4976""","=""L153""",
"=""381.7760""","=""381.7771""","=""0.0010""","=""2?""","=""""",,"=""20427.84""","=""46613.70""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
"=""381.7960""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""381.8344""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""381.8576""","=""381.8573""","=""0.0010""","=""4w""","=""""",,"=""26861.64""","=""53042.00""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""381.9040""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""381.9402""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""382.0110""","=""382.0103""","=""0.0010""","=""50""","=""2.72e+06""",B,"=""16431.31""","=""42601.19""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""T6977""","=""L153""",
"=""382.3062""","=""382.3057""","=""0.0010""","=""3""","=""""",,"=""17701.18""","=""43850.84""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""382.4146""","=""382.4139""","=""0.0010""","=""25""","=""""",,"=""18974.51""","=""45116.77""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""382.4388""","=""382.4382""","=""0.0010""","=""60""","=""""",,"=""19648.54""","=""45789.14""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""382.6193""","=""382.6176""","=""0.0010""","=""50*""","=""""",,"=""14976.18""","=""41104.52""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""382.6193""","=""382.6195""","=""0.0010""","=""50*""","=""""",,"=""15069.93""","=""41198.14""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""382.6667""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""382.6934""","=""382.6931""","=""0.0010""","=""8""","=""""",,"=""15460.01""","=""41583.20""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""382.7344""","=""382.7333""","=""0.0010""","=""10""","=""""",,"=""19253.56""","=""45374.00""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""382.769""","=""""","=""""","=""1w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""382.7788""","=""382.7775""","=""0.0010""","=""2""","=""""",,"=""20174.20""","=""46291.63""","=""5d4.6s2""","=""1S2""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""382.881""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""382.9128""","=""382.9126""","=""0.0010""","=""50""","=""3.83e+05""",C,"=""1670.29""","=""27778.50""","=""5d4.6s2""","=""5D""","=""1""","=""5d4.6s.(6D).6p""","=""5D*""","=""1""",,"=""T4976""","=""L153""",
"=""382.9690""","=""382.9676""","=""0.0010""","=""2""","=""""",,"=""24789.66""","=""50894.12""","=""5d4.6s2""","=""1D2""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""383.0130""","=""383.0109""","=""0.0010""","=""12w*""","=""""",,"=""15069.93""","=""41171.44""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""383.0130""","=""383.0139""","=""0.0010""","=""12w*""","=""""",,"=""16431.31""","=""42532.62""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""383.0714""","=""383.0707""","=""0.0010""","=""20""","=""""",,"=""12161.96""","=""38259.40""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""383.099""","=""383.0983""","=""0.0010""","=""8w""","=""""",,"=""26189.20""","=""52284.76""","=""5d4.6s.(6D).6p""","=""7D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L153""",
"=""383.2247""","=""383.2237""","=""0.0010""","=""8""","=""""",,"=""18280.48""","=""44367.50""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""383.2628""","=""383.2619""","=""0.0010""","=""4""","=""""",,"=""27889.68""","=""53974.10""","=""5d5.(6S).6p""","=""7P*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L153""",
"=""383.271""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""383.2862""","=""383.2852""","=""0.0010""","=""15*""","=""""",,"=""16431.31""","=""42514.14""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""383.2862""","=""383.2869""","=""0.0010""","=""15*""","=""""",,"=""31389.08""","=""57471.80""","=""5d5.(4G).6s""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""383.2999""","=""383.2998""","=""0.0010""","=""3""","=""""",,"=""26861.64""","=""52943.48""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""383.4040""","=""383.4033""","=""0.0010""","=""15""","=""3.8e+06""",C,"=""19827.68""","=""45902.48""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""2""",,"=""T6977""","=""L153""",
"=""383.4312""","=""383.4300""","=""0.0010""","=""1""","=""""",,"=""18280.48""","=""44353.46""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""383.4612""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""383.4735""","=""383.4730""","=""0.0010""","=""4""","=""""",,"=""32135.94""","=""58206.00""","=""5d5.(4G).6s""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""383.5058""","=""383.5052""","=""0.0010""","=""250""","=""5.2e+06""",B,"=""3325.53""","=""29393.40""","=""5d4.6s2""","=""5D""","=""2""","=""5d4.6s.(6D).6p""","=""5P*""","=""2""",,"=""T4976""","=""L153""",
"=""383.531""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""383.5523""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""383.5890""","=""383.5881""","=""0.0010""","=""8""","=""""",,"=""23455.02""","=""49517.26""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""383.6952""","=""383.6948""","=""0.0010""","=""15""","=""""",,"=""26229.77""","=""52284.76""","=""5d5.(6S).6p""","=""7P*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L153""",
"=""383.8511""","=""383.8492""","=""0.0010""","=""80*""","=""""",,"=""18974.51""","=""45019.02""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
