obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
344.545,,29023.8,120,,,,,,,L3475,
344.654,,29014.6,160,,,,,,,L3475,
345.019,,28983.9,310,,,,,,,L3475,
345.937,,28907.0,120,,,,,,,L3475,
346.643,,28848.1,120,,,,,,,L3475,
347.953,,28739.5,120,,,,,,,L3475,
348.311,,28710.0,120,,,,,,,L3475,
348.846,,28666.0,120,,,,,,,L3475,
349.954,,28575.2,160,,,,,,,L3475,
350.216,,28553.8,250,,,,,,,L3475,
350.566,,28525.3,620,,,,,,,L3475,
351.399,,28457.6,440,,,,,,,L3475,
351.973,,28411.3,310,,,,,,,L3475,
352.101,,28401.0,120,,,,,,,L3475,
352.465,,28371.6,480,,,,,,,L3475,
352.705,,28352.3,120,,,,,,,L3475,
352.961,,28331.8,1200,,,,,,,L3475,
353.107,,28320.0,230,,,,,,,L3475,
353.381,,28298.1,230,,,,,,,L3475,
353.442,,28293.2,120,,,,,,,L3475,
354.372,,28218.9,230,,,,,,,L3475,
356.081,,28083.5,960,,,,,,,L3475,
356.188,,28075.1,1200,,,,,,,L3475,
356.336,,28063.4,120,,,,,,,L3475,
357.080,,28004.9,310,,,,,,,L3475,
357.510,,27971.2,120,,,,,,,L3475,
358.834,,27868.0,120,,,,,,,L3475,
359.914,,27784.4,620,,,,,,,L3475,
360.286,,27755.7,190,,,,,,,L3475,
361.760,,27642.6,250,,,,,,,L3475,
362.046,,27620.8,120,,,,,,,L3475,
364.137,,27462.2,450,,,,,,,L3475,
365.553,,27355.8,230,,,,,,,L3475,
365.794,,27337.8,330,,,,,,,L3475,
366.735,,27267.6,120,,,,,,,L3475,
367.194,,27233.6,480,,,,,,,L3475,
367.650,,27199.8,120,,,,,,,L3475,
369.011,,27099.5,250,,,,,,,L3475,
370.430,,26995.6,190,,,,,,,L3475,
370.761,,26971.5,120,,,,,,,L3475,
371.020,,26952.8,120,,,,,,,L3475,
371.479,,26919.4,230,,,,,,,L3475,
372.058,,26877.5,210,,,,,,,L3475,
372.119,,26873.1,230,,,,,,,L3475,
374.753,,26684.2,180,,,,,,,L3475,
375.359,,26641.2,3700,,,,,,,L3475,
375.819,,26608.6,100,,,,,,,L3475,
376.737,,26543.7,130,,,,,,,L3475,
376.921,,26530.8,120,,,,,,,L3475,
377.547,,26486.8,120,,,,,,,L3475,
377.569,,26485.2,110,,,,,,,L3475,
377.732,,26473.8,120,,,,,,,L3475,
377.806,,26468.6,290,,,,,,,L3475,
378.327,,26432.1,2100,,,,,,,L3475,
379.122,,26376.8,620,,,,,,,L3475,
379.181,,26372.7,180,,,,,,,L3475,
379.499,,26350.5,370,,,,,,,L3475,
383.715,,26061.0,250,,,,,,,L3475,
384.139,,26032.2,150,,,,,,,L3475,
384.238,,26025.5,150,,,,,,,L3475,
385.103,,25967.1,190,,,,,,,L3475,
385.818,,25918.9,230,,,,,,,L3475,
386.657,,25862.7,230,,,,,,,L3475,
387.787,,25787.4,730,,,,,,,L3475,
388.296,,25753.5,250,,,,,,,L3475,
390.149,,25631.2,140,,,,,,,L3475,
390.282,,25622.5,190,,,,,,,L3475,
393.111,,25438.1,100,,,,,,,L3475,
393.970,,25382.6,250,,,,,,,L3475,
395.090,,25310.7,100,,,,,,,L3475,
396.214,,25238.9,200,,,,,,,L3475,
396.475,,25222.3,1000,,,,,,,L3475,
396.608,,25213.8,100,,,,,,,L3475,
397.079,,25183.9,150,,,,,,,L3475,
397.656,,25147.3,110w,,,,,,,L3475,
397.836,,25136.0,730,,,,,,,L3475,
