obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""339.7198""","=""0.0020""","=""339.71983+""","=""7000""","=""1.79e+07""",C,"=""15437.501""","=""44865.076""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",,"=""T6498""","=""L3475""",
"=""340.280""","=""0.009""","=""340.27760+""","=""900""","=""1.50e+06""",C,"=""15437.501""","=""44816.841""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""",,"=""T6498""","=""L7593""",
"=""340.533""","=""0.010""","=""340.52291+""","=""1700""","=""6.4e+06""",D+,"=""21660.914""","=""51019.090""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L7585""",
"=""351.0864""","=""0.0020""","=""351.08640+""","=""6000""","=""6.5e+06""",C+,"=""15437.501""","=""43912.374""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L3475""",
"=""359.611""","=""0.002""","=""359.60967+""","=""2700""","=""1.93e+07""",C+,"=""21660.914""","=""49460.910""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",,"=""T3401,T3485""","=""L3475""",
"=""388.817""","=""0.010""","=""388.80477+""","=""800""","=""4.1e+06""",D+,"=""21660.914""","=""47373.477""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""T6498""","=""L7585""",
"=""412.1704""","=""0.0004""","=""412.17037+""","=""2600""","=""1.64e+07""",C+,"=""21660.914""","=""45915.883""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""",,"=""T3401,T3477""","=""L6416,L3475""",
"=""430.8360""","=""0.0005""","=""430.8360+""","=""700""","=""1.6e+06""",D,"=""21660.914""","=""44865.076""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",,"=""T6498""","=""L6416""",
"=""449.301""","=""0.010""","=""449.2827+""","=""1900""","=""1.43e+06""",D+,"=""21660.914""","=""43912.374""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L7585""",
"=""472.2528""","=""0.0004""","=""472.2527+""","=""11000""","=""9.4e+06""",B,"=""11419.039""","=""32588.221""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""",,"=""T6498""","=""L6416""",
"=""555.2050""","=""0.0006""","=""555.2049+""","=""500""","=""""",,"=""32588.221""","=""50594.588""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).8p""","=""2[1]*""","=""3/2""",,"=""""","=""L6416,L3475""",
"=""559.9342""","=""0.0008""","=""559.9342+""","=""40""","=""""",,"=""33164.805""","=""51019.090""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""""","=""L6416,L7394""",
"=""574.2361""","=""0.0007""","=""574.2360+""","=""140""","=""""",,"=""32588.221""","=""49997.834""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).8p""","=""2[1]*""","=""1/2""",,"=""""","=""L6416,L7394""",
"=""613.482""","=""0.012""","=""613.4738+""","=""60""","=""1.74e+06""",D+,"=""33164.805""","=""49460.910""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",,"=""T3401,T3485""","=""L7394""",
"=""647.624""","=""0.012""","=""""","=""16""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7394""",
"=""699.0924""","=""0.0010""","=""699.0924+""","=""10""","=""""",,"=""41124.985""","=""55425.301""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).9d""","=""2[2]""","=""3/2""",,"=""""","=""L6416,L7394""",
"=""703.6026""","=""0.0015""","=""703.6015+""","=""4""","=""""",,"=""33164.805""","=""47373.477""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""""","=""L6416,L7394""",
"=""750.233""","=""0.017""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7394""",
"=""783.8617""","=""0.0010""","=""783.8616+""","=""19""","=""""",,"=""41124.985""","=""53878.830""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).8d""","=""2[2]""","=""3/2""",,"=""""","=""L6416,L7394""",
"=""784.0316""","=""0.0012""","=""784.0317+""","=""2""","=""""",,"=""33164.805""","=""45915.883""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""",,"=""""","=""L6416,L7394""",
"=""854.4462""","=""0.0016""","=""854.4463+""","=""4""","=""""",,"=""33164.805""","=""44865.076""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",,"=""""","=""L6416,L7394""",
"=""857.9835""","=""0.0016""","=""857.9834+""","=""3""","=""""",,"=""33164.805""","=""44816.841""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""",,"=""""","=""L6416,L7394""",
"=""875.4906""","=""0.0009""","=""875.4900+""","=""1""","=""2.25e+01""",B+,"=""0.000""","=""11419.039""","=""6p3""","=""4S*""","=""3/2""","=""6p3""","=""2D*""","=""3/2""",M1,"=""T4260""","=""L6416,L7394""",
"=""876.1321""","=""0.0008""","=""876.1319+""","=""28""","=""""",,"=""44865.076""","=""56275.749""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[1]*""","=""1/2""",,"=""""","=""L6416,L7394""",
"=""890.7664""","=""0.0005""","=""890.7663+""","=""46""","=""""",,"=""44865.076""","=""56088.284""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[1]*""","=""3/2""",,"=""""","=""L6416,L7394""",
"=""965.7045""","=""0.0005""","=""965.7042+""","=""200""","=""""",,"=""32588.221""","=""42940.519""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""",,"=""""","=""L6416,L7407""",
"=""982.7832""","=""0.0006""","=""982.7826+""","=""30""","=""""",,"=""45915.883""","=""56088.284""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""","=""6p2.(3P<1>).7p""","=""2[1]*""","=""3/2""",,"=""""","=""L6416,L7407""",
"=""1010.4260""","=""0.0006""","=""1010.4259+""","=""10""","=""""",,"=""41124.985""","=""51019.090""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""""","=""L6416,L7407""",
"=""1030.0642""","=""0.0006""","=""1030.0641+""","=""11""","=""""",,"=""44865.076""","=""54570.550""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[2]*""","=""3/2""",,"=""""","=""L6416,L7407""",
"=""1053.619""","=""0.020""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7407""",
"=""1107.2746""","=""0.0007""","=""1107.2742+""","=""13""","=""""",,"=""44865.076""","=""53893.790""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[0]*""","=""1/2""",,"=""""","=""L6416,L7407""",
"=""1155.1300""","=""0.0008""","=""1155.1297+""","=""4""","=""""",,"=""45915.883""","=""54570.550""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""","=""6p2.(3P<1>).7p""","=""2[2]*""","=""3/2""",,"=""""","=""L6416,L7407""",
"=""1171.0835""","=""0.0007""","=""1171.0835+""","=""90""","=""""",,"=""32588.221""","=""41124.985""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""",,"=""""","=""L6416,L7407""",
"=""1199.94""","=""0.03""","=""""","=""9""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7407""",
"=""1216.5119""","=""0.0008""","=""1216.5119+""","=""29""","=""""",,"=""42940.519""","=""51158.494""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""",,"=""""","=""L6416,L7407""",
"=""1237.5041""","=""0.0009""","=""1237.5041+""","=""2""","=""""",,"=""42940.519""","=""51019.090""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""""","=""L6416,L7407""",
"=""1433.05""","=""0.06""","=""""","=""36""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7407""",
"=""1599.9506""","=""0.0013""","=""1599.949+""","=""11""","=""""",,"=""41124.985""","=""47373.477""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""""","=""L6416,L7407""",
obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2255.8321""","=""0.0030""","=""2255.830+""","=""26""","=""""",,"=""42940.519""","=""47373.477""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""""","=""L6416,L7407""",
"=""""","=""""","=""17343.5+""","=""""","=""5.00e+00""",B,"=""32588.221""","=""33164.805""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p3""","=""2P*""","=""3/2""",,"=""T8547""","=""""",
