obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""123.8628""","=""123.8629""","=""550g,a""","=""""",,"=""0.000""","=""80734.4""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""123.8810""","=""123.8809""","=""260g,a""","=""""",,"=""0.000""","=""80722.7""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""123.9162""","=""123.9161""","=""775g,a""","=""""",,"=""112.061""","=""80811.8""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""124.0352""","=""124.0351""","=""1035g,a""","=""""",,"=""112.061""","=""80734.4""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""124.0531""","=""124.0531""","=""425g,a""","=""""",,"=""112.061""","=""80722.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""126.9956""","=""126.9956""","=""285g,a""","=""""",,"=""0.000""","=""78742.9""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""127.1765""","=""127.1766""","=""620g,a""","=""""",,"=""112.061""","=""78742.9""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""127.945""","=""127.944""","=""1780g,a""","=""""",,"=""112.061""","=""78271""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""2D""","=""5/2""",,"=""""","=""L3597""",
"=""128.4454""","=""128.4464""","=""75g,a""","=""""",,"=""0.000""","=""77853.5""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""128.6325""","=""128.6315""","=""155g,a""","=""""",,"=""112.061""","=""77853.5""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""128.6789""","=""128.6791""","=""1100g,a""","=""""",,"=""0.000""","=""77712.7""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""2P""","=""3/2""",,"=""""","=""L3597""",
"=""128.7532""","=""128.7533""","=""395g,a""","=""""",,"=""0.000""","=""77667.9""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""128.7946""","=""128.7948""","=""730g,a""","=""""",,"=""0.000""","=""77642.9""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""128.8210""","=""128.8212""","=""570g,a""","=""""",,"=""0.000""","=""77627.0""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""128.8650""","=""128.8649""","=""2090g,a""","=""""",,"=""112.061""","=""77712.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""2P""","=""3/2""",,"=""""","=""L3597""",
"=""128.9393""","=""128.9394""","=""335g,a""","=""""",,"=""112.061""","=""77667.9""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""128.9812""","=""128.9809""","=""1890g,a""","=""""",,"=""112.061""","=""77642.9""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""129.0076""","=""129.0074""","=""475g,a""","=""""",,"=""112.061""","=""77627.0""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""136.8908""","=""136.8907""","=""705g,a""","=""""",,"=""0.000""","=""73051.0""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).4p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""137.1010""","=""137.1010""","=""1130g,a""","=""""",,"=""112.061""","=""73051.0""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).4p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""139.780""","=""139.780""","=""2350g,a""","=""""",,"=""112.061""","=""71653""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).4p""","=""2D""","=""5/2""",,"=""""","=""L3597""",
"=""141.3156""","=""141.3158""","=""4370g,a""","=""""",,"=""0.000""","=""70763.5""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).4p""","=""2P""","=""3/2""",,"=""""","=""L3597""",
"=""141.4240""","=""141.4239""","=""1150g,a""","=""""",,"=""0.000""","=""70709.4""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).4p""","=""2P""","=""1/2""",,"=""""","=""L3597""",
"=""141.5401""","=""141.5399""","=""1870g,a""","=""""",,"=""112.061""","=""70763.5""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).4p""","=""2P""","=""3/2""",,"=""""","=""L3597""",
"=""141.6481""","=""141.6484""","=""1000g,a""","=""""",,"=""112.061""","=""70709.4""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).4p""","=""2P""","=""1/2""",,"=""""","=""L3597""",
"=""141.7222""","=""141.7224""","=""630g,a""","=""""",,"=""0.000""","=""70560.5""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).4p""","=""""","=""3/2?""",,"=""""","=""L3597""",
