obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
351.79495,351.79492,28425.650,12000,1.03e+08,,7755.025,36180.677,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).5p,2[3/2]*,1,5,3,,T4266,L9430,
355.40953,355.40958,28136.556,12000,,,11721.809,39858.361,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).5p,2[5/2]*,3,5,7,,,L9430,
357.21686,357.21685,27994.200,4500,,,10093.992,38088.192,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<3/2>).5p,2[1/2]*,0,3,1,,,L9430,
361.05753,361.05752,27696.418,20000,8.2e+07,,7755.025,35451.443,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).5p,2[7/2]*,3,5,7,,T4266,L9430,
363.57244,363.57252,27504.835,20000,,,6564.148,34068.977,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<5/2>).5p,2[3/2]*,2,7,5,,,L9430,
369.13872,369.13872,27090.087,5500,,,11721.809,38811.896,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).5p,2[5/2]*,2,5,5,,,L9430,
371.99640,371.99639,26881.980,1400,,,10093.992,36975.973,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<5/2>).5p,2[5/2]*,2,3,5,,,L9430,
380.02654,380.02653,26313.952,1500,,,7755.025,34068.977,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).5p,2[3/2]*,2,5,5,,,L9430,
383.33733,383.33732,26086.685,1500,,,10093.992,36180.677,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<5/2>).5p,2[3/2]*,1,3,3,,,L9430,
389.53022,389.53016,25671.949,2200,,,11721.809,37393.762,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).5p,2[5/2]*,3,5,7,,,L9430,
395.97434,395.97430,25254.162,1500,,,11721.809,36975.973,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).5p,2[5/2]*,2,5,5,,,L9430,
408.84972,408.84967,24458.865,290,,,11721.809,36180.677,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).5p,2[3/2]*,1,5,3,,,L9430,
417.10142,417.10141,23974.984,90,,,10093.992,34068.977,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<5/2>).5p,2[3/2]*,2,3,5,,,L9430,
421.41404,421.41400,23729.632,2500,,,11721.809,35451.443,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).5p,2[7/2]*,3,5,7,,,L9430,
447.48410,447.48399,22347.163,180,,,11721.809,34068.977,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).5p,2[3/2]*,2,5,5,,,L9430,
478.95260,478.95260,20878.893,55w,,,34068.977,54947.870,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).5d,2[5/2],3,5,7,,,L9430,
481.88530,481.88530,20751.826,45w,,,34068.977,54820.803,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).5d,2[3/2],2,5,5,,,L9430,
487.67870,487.67868,20505.304,35,,,34068.977,54574.282,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).5d,2[1/2],1,5,3,,,L9430,
511.22332,511.22335,19560.923,55,,,35451.443,55012.365,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).5d,2[7/2],3,7,7,,,L9430,
511.84331,511.84331,19537.229,75,,,38811.896,58349.125,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).5d,2[7/2],3,5,7,,,L9430,
516.52788,516.52789,19360.039,160,,,35451.443,54811.482,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).5d,2[9/2],4,7,9,,,L9430,
523.63183,523.63185,19097.388,55,,,35927.948,55025.335,4d9.(2D<5/2>).5p,2[7/2]*,4,4d9.(2D<5/2>).5d,2[7/2],4,9,9,,,L9430,
529.71001,529.71000,18878.254,120,,,35927.948,54806.202,4d9.(2D<5/2>).5p,2[7/2]*,4,4d9.(2D<5/2>).5d,2[9/2],5,9,11,,,L9430,
531.40644,531.40647,18817.988,18,,,36180.677,54998.664,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<5/2>).5d,2[5/2],2,3,5,,,L9430,
534.65912,534.65915,18703.506,15,,,39858.361,58561.866,4d9.(2D<3/2>).5p,2[5/2]*,3,4d9.(2D<3/2>).5d,2[5/2],3,7,7,,,L9430,
539.67201,539.67205,18529.773,35,,,39858.361,58388.133,4d9.(2D<3/2>).5p,2[5/2]*,3,4d9.(2D<3/2>).5d,2[7/2],4,7,9,,,L9430,
554.43461,554.43461,18036.392,55,,,36975.973,55012.365,4d9.(2D<5/2>).5p,2[5/2]*,2,4d9.(2D<5/2>).5d,2[7/2],3,5,7,,,L9430,
554.85608,554.85610,18022.692,35,,,36975.973,54998.664,4d9.(2D<5/2>).5p,2[5/2]*,2,4d9.(2D<5/2>).5d,2[5/2],2,5,5,,,L9430,
562.10231,562.10230,17790.356,27,,,40771.510,58561.866,4d9.(2D<3/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).5d,2[5/2],3,5,7,,,L9430,
564.42700,564.42700,17717.083,15,,,40838.874,58555.957,4d9.(2D<3/2>).5p,2[1/2]*,1,4d9.(2D<3/2>).5d,2[3/2],2,3,5,,,L9430,
565.70060,565.70061,17677.195,14,,,40771.510,58448.705,4d9.(2D<3/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).5d,2[5/2],2,5,5,,,L9430,
567.16432,567.16437,17631.575,75,,,37393.762,55025.335,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).5d,2[7/2],4,7,9,,,L9430,
569.17071,569.17069,17569.421,11,,,40838.874,58408.296,4d9.(2D<3/2>).5p,2[1/2]*,1,4d9.(2D<3/2>).5d,2[3/2],1,3,3,,,L9430,
569.66718,569.66723,17554.110,55w,,,37393.762,54947.870,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).5d,2[5/2],3,7,7,,,L9430,
573.82084,573.82088,17427.042,18,,,37393.762,54820.803,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).5d,2[3/2],2,7,5,,,L9430,
677.63864,677.63872,14757.1277,23,,,25101.235,39858.361,4d8.5s2,3F,4,4d9.(2D<3/2>).5p,2[5/2]*,3,9,7,,,L9430,
678.63612,678.63618,14735.4373,65,,,34068.977,48804.413,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).6s,2[5/2],3,5,7,,,L9430,
683.53313,683.53317,14629.8688,4w,,,40368.796,54998.664,4d9.(2D<3/2>).5p,2[3/2]*,1,4d9.(2D<5/2>).5d,2[5/2],2,3,5,,,L9430,
701.8381,701.8381,14248.300,11,,,38088.192,52336.492,4d9.(2D<3/2>).5p,2[1/2]*,0,4d9.(2D<3/2>).6s,2[3/2],1,1,3,,,L9430,
731.2067,731.2067,13676.023,13w,,,38811.896,52487.920,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).6s,2[3/2],2,5,5,,,L9430,
737.0125,737.0125,13568.291,75,,,35451.443,49019.733,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).6s,2[5/2],2,7,5,,,L9430,
739.3936,739.3936,13524.596,27,,,38811.896,52336.492,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).6s,2[3/2],1,5,3,,,L9430,
748.8970,748.8971,13352.972,16,,,35451.443,48804.413,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).6s,2[5/2],3,7,7,,,L9430,
776.6107,776.6107,12876.465,120,,,35927.948,48804.413,4d9.(2D<5/2>).5p,2[7/2]*,4,4d9.(2D<5/2>).6s,2[5/2],3,9,7,,,L9430,
778.8735,778.8735,12839.056,27,,,36180.677,49019.733,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<5/2>).6s,2[5/2],2,3,5,,,L9430,
791.7933,791.7933,12629.560,45,,,39858.361,52487.920,4d9.(2D<3/2>).5p,2[5/2]*,3,4d9.(2D<3/2>).6s,2[3/2],2,7,5,,,L9430,
796.3214,796.3214,12557.744,18,,,28213.767,40771.510,4d8.5s2,3F,3,4d9.(2D<3/2>).5p,2[3/2]*,2,7,5,,,L9430,
813.5024,813.5024,12292.527,55,,,25101.235,37393.762,4d8.5s2,3F,4,4d9.(2D<5/2>).5p,2[5/2]*,3,9,7,,,L9430,
830.3055,830.3055,12043.760,45,,,36975.973,49019.733,4d9.(2D<5/2>).5p,2[5/2]*,2,4d9.(2D<5/2>).6s,2[5/2],2,5,5,,,L9430,
835.5828,835.5827,11967.695,9w,,,40368.796,52336.492,4d9.(2D<3/2>).5p,2[3/2]*,1,4d9.(2D<3/2>).6s,2[3/2],1,3,3,,,L9430,
853.5038,853.5038,11716.409,18w,,,40771.510,52487.920,4d9.(2D<3/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).6s,2[3/2],2,5,5,,,L9430,
860.1431,860.1432,11625.972,16w,,,37393.762,49019.733,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).6s,2[5/2],2,7,5,,,L9430,
876.3741,876.3742,11410.652,65,,,37393.762,48804.413,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).6s,2[5/2],3,7,7,,,L9430,
