obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""137.8943""","=""0.0005""","=""137.8944""","=""0.0003""","=""4""","=""1.71e+09""",C+,"=""15.287""","=""72534.55""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""L2166""",
"=""137.9166""","=""0.0005""","=""137.9166""","=""0.0004""","=""1""","=""6.84e+08""",C+,"=""15.287""","=""72522.90""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""L2166""",
"=""141.3940""","=""0.0008""","=""141.3939""","=""0.0008""","=""a""","=""""",,"=""28658.40+x""","=""99382.8+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""7/2""",,"=""""","=""L3744""",
"=""146.5548""","=""0.0008""","=""146.5559""","=""0.0006""","=""2""","=""3.4e+08""",D,"=""28647.43+x""","=""96880.8+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",,"=""u27""","=""L3744""",
"=""146.5663""","=""0.0008""","=""146.5658""","=""0.0005""","=""3""","=""6.6e+08""",D,"=""28652.07+x""","=""96880.8+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",,"=""u27""","=""L3744""",
"=""146.5801""","=""0.0008""","=""146.5794""","=""0.0005""","=""2""","=""1.00e+09""",D,"=""28658.40+x""","=""96880.8+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2p3""","=""4S*""","=""3/2""",,"=""u27""","=""L3744""",
"=""146.9015""","=""0.0008""","=""146.9015""","=""0.0008""","=""a""","=""""",,"=""28652.07+x""","=""96724.9+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""5/2""",,"=""""","=""L3744""",
"=""146.9070""","=""0.0008""","=""146.9069""","=""0.0008""","=""a""","=""""",,"=""28658.40+x""","=""96728.7+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""",,"=""""","=""L3744""",
"=""146.9297""","=""0.0008""","=""146.9296""","=""0.0008""","=""a""","=""""",,"=""28658.40+x""","=""96718.2+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""",,"=""""","=""L3744""",
"=""149.6103""","=""0.0005""","=""149.6103""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66855.60""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.39d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
