obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
232.0253,0.0010,232.02670,0.00007,43098.76,2100,,,2356.6756,45455.164,5d2.6s2,a 3F,3,,4546*,3,7,7,,,L16323,
232.7474,0.0010,232.74852,0.00007,42965.03,2000,,,2356.6756,45321.503,5d2.6s2,a 3F,3,5d2.(b 1D).6s.(b 2D).6p,v 3F*,4,7,9,,,L16323,
233.1415,0.0010,,,42892.40,3400,,,,,,,,,,,1,1,,,L16323,
233.4816,0.0010,,,42829.93,670,,,,,,,,,,,1,1,,,L16323,
233.6488,0.0003,233.64891,0.00008,42799.27,6000,,,4567.6413,47366.899,5d2.6s2,a 3F,4,5d3.(b 4F).6p,y 5F*,5,9,11,,,L16323,
233.7409,0.0012,233.74197,0.00007,42782.41,6000,,,2356.6756,45138.894,5d2.6s2,a 3F,3,,4514*,2,7,5,,,L16323,
233.8314,0.0003,,,42765.86,660,,,,,,,,,,,1,1,,,L16323,
233.9272,0.0003,,,42748.35,4600,,,,,,,,,,,1,1,,,L16323,
233.9867,0.0010,233.98703,0.00008,42737.47,2000,,,5521.7776,48259.189,5d2.6s2,a 3P,0,5d3.(b 4P).6p,w 5D*,1,1,3,,,L16323,
234.1307,0.0010,,,42711.18,3300,,,,,,,,,,,1,1,,,L16323,
234.2778,0.0010,,,42684.38,660,,,,,,,,,,,1,1,,,L16323,
234.3118,0.0010,,,42678.18,1300,,,,,,,,,,,1,1,,,L16323,
234.5675,0.0005,234.56795,0.00010,42631.65,5200,,,6572.5498,49204.119,5d2.6s2,a 3P,1,5d3.(b 4F).6p,s 3D*,1,3,3,,,L16323,
234.6283,0.0003,234.62847,0.00008,42620.60,1300,,,5638.6151,48259.189,5d2.6s2,a 1D,2,5d3.(b 4P).6p,w 5D*,1,5,3,,,L16323,
234.8599,0.0010,,,42578.58,650,,,,,,,,,,,1,1,,,L16323,
235.0470,0.0003,,,42544.68,3200,,,,,,,,,,,1,1,,,L16323,
235.1199,0.0010,235.12106,0.00013,42531.48,1300,,,10532.5690,53063.851,5d2.6s2,a 1G,4,,5306*,4,9,9,,,L16323,
235.2760,0.0010,235.27710,0.00009,42503.28,5200,,,4567.6413,47070.716,5d2.6s2,a 3F,4,5d3.(b 4F).6p,x 5D*,3,9,7,,,L16323,
235.3320,0.0010,,,42493.16,3200,,,,,,,,,,,1,1,,,L16323,
235.3740,0.0010,235.37453,0.00007,42485.58,6400,,,0.0000,42485.481,5d2.6s2,a 3F,2,5d3.(b 4P).6p,t 3D*,1,5,3,,,L16323,
235.4030,0.0010,,,42480.34,640,,,,,,,,,,,1,1,,,L16323,
235.4226,0.0003,,,42476.80,640,,,,,,,,,,,1,1,,,L16323,
235.6101,0.0010,235.61070,0.00005,42443.01,3200,,,5638.6151,48081.510,5d2.6s2,a 1D,2,,4808*,3,5,7,,,L16323,
235.6371,0.0010,,,42438.15,1300,,,,,,,,,,,1,1,,,L16323,
235.6501,0.0010,,,42435.80,1900,,,,,,,,,,,1,1,,,L16323,
235.7771,0.0010,235.77756,0.00012,42412.94,1900,,,6572.5498,48985.407,5d2.6s2,a 3P,1,5d3.(b 4P).6p,w 5D*,0,3,1,,,L16323,
235.8731,0.0010,235.87302,0.00005,42395.67,5100,,,0.0000,42395.693,5d2.6s2,a 3F,2,5d2.(a 1G).6s.(a 2G).6p,w 1F*,3,5,7,,,L16323,
235.9621,0.0010,235.96338,0.00007,42379.68,6400,,,6572.5498,48952.008,5d2.6s2,a 3P,1,5d3.(b 4P).6p,y 5P*,2,3,5,,,L16323,
235.9801,0.0010,,,42376.45,1300,,,,,,,,,,,1,1,,,L16323,
235.9991,0.0010,,,42373.03,1900,,,,,,,,,,,1,1,,,L16323,
236.1012,0.0010,236.10042,0.00009,42354.72,3200,,,5521.7776,47876.636,5d2.6s2,a 3P,0,5d3.(b 4P).6p,y 5P*,1,1,3,,,L16323,
236.2012,0.0003,,,42336.79,630,,,,,,,,,,,1,1,,,L16323,
236.2742,0.0010,,,42323.71,630,,,,,,,,,,,1,1,,,L16323,
236.3268,0.0003,,,42314.28,2500,,,,,,,,,,,1,1,,,L16323,
236.3952,0.0010,236.39472,0.00004,42302.04,5000,,,0.0000,42302.129,5d2.6s2,a 3F,2,5d3.(b 2G).6p,u 3F*,2,5,5,,,L16323,
236.4112,0.0010,236.41046,0.00012,42299.17,6300,,,5638.6151,47937.928,5d2.6s2,a 1D,2,,4794*,2,5,5,,,L16323,
236.6173,0.0010,,,42262.34,630,,,,,,,,,,,1,1,,,L16323,
236.7088,0.0005,236.70807,0.00007,42246.00,5600,,,5638.6151,47884.746,5d2.6s2,a 1D,2,,4788*,3,5,7,,,L16323,
236.7537,0.0003,236.75352,0.00009,42237.99,5000,,,5638.6151,47876.636,5d2.6s2,a 1D,2,5d3.(b 4P).6p,y 5P*,1,5,3,,,L16323,
236.7923,0.0010,,,42231.10,620,,,,,,,,,,,1,1,,,L16323,
237.1164,0.0010,,,42173.38,620,,,,,,,,,,,1,1,,,L16323,
237.1644,0.0010,,,42164.84,1200,,,,,,,,,,,1,1,,,L16323,
