obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
414.4009,414.40041,0.00018,24131.22,7500,1.59e+08,B+,0.000,24131.250,4d.5s2,a 2D,3/2,4d.5s.(1D).5p,y 2D*,3/2,4,4,,T4373,"L7610,L3475",
415.8796,415.87961,0.00007,24045.42,100h,,,15712.522,39757.942,4d.5s.(3D).5p,z 4F*,7/2,4d.5s.(3D).5d,e 4F,7/2,8,8,,,"L7610,L3475",
416.86879,416.868153,0.000025,23988.363,2400,2.4e+07,C,530.351,24518.751,4d.5s2,a 2D,5/2,4d.5s.(1D).5p,y 2F*,5/2,6,6,,T4373,"L7610,L3475",
417.53098,417.53104,0.00004,23950.319,2000,3.1e+07,C+,530.351,24480.666,4d.5s2,a 2D,5/2,4d.5s.(3D).5p,y 2P*,3/2,6,4,,T4373,"L7610,L3475",
421.42048,421.42036,0.00006,23729.269,80,,,16234.382,39963.658,4d.5s.(3D).5p,z 4F*,9/2,4d.5s.(3D).5d,2F,7/2,10,8,,,"L7610,L3475",
421.4711,421.47091,0.00004,23726.42,40,,,14948.994,38675.424,4d.5s.(3D).5p,z 4F*,3/2,4d.5s.(3D).5d,f 4D,5/2,4,6,,,"L7610,L3475",
421.8987,421.89865,0.00003,23702.37,160,,,10529.169,34231.544,5s2.5p,z 2P*,1/2,5s2.(2D).5d,e 2D,3/2,2,4,,,"L7610,L3475",
422.18178,422.18164,0.00006,23686.480,280h,,,14948.994,38635.481,4d.5s.(3D).5p,z 4F*,3/2,4d.5s.(3D).5d,e 4G,5/2,4,6,,,"L7610,L3475",
422.54426,422.54428,0.00006,23666.160,80,,,16234.382,39900.541,4d.5s.(3D).5p,z 4F*,9/2,4d.5s.(3D).5d,e 4F,9/2,10,10,,,"L7610,L3475",
423.24933,423.24920,0.00003,23626.736,3,1.2e+06,D+,10529.169,34155.912,5s2.5p,z 2P*,1/2,5p2.(3P).5s,e 4P,3/2,2,4,,T4373,L7610,
