obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
566.891,566.897,0.064,17640.1,100,,,61773.12,79413.0,4d9.5s.(3D).5p,4D*,7/2,4d9.5s.(3D).6s,4D,7/2,8,8,,,L3326,
608.546,608.519,0.074,16432.6,10w,,,65637.75,82071.1,4d9.5s.(3D).5p,2F*,7/2,4d9.5s.(3D).6s,2D,5/2,8,6,,,L3326,
627.023,627.02061,0.00020,15948.4,10w,,,42556.147,58504.586,4d10.6s,2S,1/2,4d9.5s.(3D).5p,4P*,3/2,2,4,,,L3326,
662.300,662.304,0.088,15098.90,20,,,66972.30,82071.1,4d9.5s.(3D).5p,2D*,5/2,4d9.5s.(3D).6s,2D,5/2,6,6,,,L2489,
736.199,736.20465,0.00011,13583.29,20,,,34714.22643,48297.406,4d9.5s2,2D,3/2,4d10.6p,2P*,1/2,4,2,,,L3326,
768.9888,768.98886,0.00006,13004.091,500,,,29552.05741,42556.147,4d10.5p,2P*,1/2,4d10.6s,2S,1/2,2,2,,,L11755,
827.5783,827.57604,0.00007,12083.449,1000,,,30472.66516,42556.147,4d10.5p,2P*,3/2,4d10.6s,2S,1/2,4,2,,,L11755,
864.807,,,11563.27,30w,,,,,,,,,,,1,1,,,L3326,
870.724,870.70925,0.00015,11484.69,10w,,,42556.147,54041.037,4d10.6s,2S,1/2,4d10.7p,2P*,1/2,2,2,,,L3326,
1255.4,,,7965,10,,,,,,,,,,,1,1,,,"L17220,L3326",
1682.4,1682.1810,0.0003,5944,60,,,42556.147,48500.8105,4d10.6s,2S,1/2,4d10.6p,2P*,3/2,2,4,,,"L17220,L3326",
1742.1,1741.7782,0.0006,5740,20,,,42556.147,48297.406,4d10.6s,2S,1/2,4d10.6p,2P*,1/2,2,2,,,"L17220,L3326",
1831.3,1831.2469,0.0010,5461,15,,,48743.969,54204.729,4d10.5d,2D,3/2,4d10.4f,2F*,5/2,4,6,,,"L17220,L3326",
1838.7,1838.0576,0.0014,5439,15*,,,48764.219,54204.745,4d10.5d,2D,5/2,4d10.4f,2F*,7/2,6,8,,,"L17220,L3326",
1838.7,1838.0630,0.0010,5439,15*,,,48764.219,54204.729,4d10.5d,2D,5/2,4d10.4f,2F*,5/2,6,6,,,"L17220,L3326",
3990,3989.092,0.006,2510,5*,,,54204.729,56711.565,4d10.4f,2F*,5/2,4d10.5g,2G,"7/2,9/2",6,18,,,L15228,
3990,3989.118,0.006,2510,5*,,,54204.745,56711.565,4d10.4f,2F*,7/2,4d10.5g,2G,"7/2,9/2",8,18,,,L15228,
3996.2,3998.820,0.005,2502.4,8*,,,54204.729,56705.467,4d10.4f,2F*,5/2,4d10.7d,2D,5/2,6,6,,,L15228,
3996.2,3998.845,0.006,2502.4,8*,,,54204.745,56705.467,4d10.4f,2F*,7/2,4d10.7d,2D,5/2,8,6,,,L15228,
