index,energy (cm-1),J,state degeneracy,Uncertainty (cm-1),Config,term,parity
114,43420.900000,3/2,4.0,1.000000,1s2.41p,2P,-
115,43424.300000,3/2,4.0,1.000000,1s2.42p,2P,-
116,43424.300000,1/2,2.0,1.000000,1s2.42p,2P,-
117,43487.114200,---,,0.000180,Li II (1s2 1S<0>),Limit,+
118,463520.000000,1/2,2.0,100.000000,1s.2s.2p,4P,-
119,463520.000000,5/2,6.0,100.000000,1s.2s.2p,4P,-
120,463520.000000,3/2,4.0,100.000000,1s.2s.2p,4P,-
121,475150.000000,3/2,4.0,100.000000,1s.2p.(1P*).2s,2P,-
122,475150.000000,1/2,2.0,100.000000,1s.2p.(1P*).2s,2P,-
123,490440.000000,3/2,4.0,100.000000,1s.2p2,4P,+
124,490440.000000,1/2,2.0,100.000000,1s.2p2,4P,+
125,490440.000000,5/2,6.0,100.000000,1s.2p2,4P,+
126,494570.000000,3/2,4.0,100.000000,1s.2s.3p,4P,-
127,494570.000000,1/2,2.0,100.000000,1s.2s.3p,4P,-
128,494570.000000,5/2,6.0,100.000000,1s.2s.3p,4P,-
129,496830.000000,1/2,2.0,100.000000,1s.2p2,2P,+
130,496830.000000,3/2,4.0,100.000000,1s.2p2,2P,+
131,497600.000000,3/2,4.0,1000.000000,1s.2s.3s,4S,+
132,506270.000000,5/2,6.0,100.000000,1s.2p.3s,4P,-
133,506270.000000,3/2,4.0,100.000000,1s.2p.3s,4P,-
134,506270.000000,1/2,2.0,100.000000,1s.2p.3s,4P,-
135,506300.000000,7/2,8.0,100.000000,1s.2s.3d,4D,+
136,506300.000000,1/2,2.0,100.000000,1s.2s.3d,4D,+
137,506300.000000,5/2,6.0,100.000000,1s.2s.3d,4D,+
138,506300.000000,3/2,4.0,100.000000,1s.2s.3d,4D,+
139,509580.000000,3/2,4.0,100.000000,1s.2s.4s,4S,+
140,514010.000000,3/2,4.0,100.000000,1s.2s.5s,4S,+
141,515620.000000,1/2,2.0,100.000000,1s.2s.4p,4P,-
142,515620.000000,5/2,6.0,100.000000,1s.2s.4p,4P,-
143,515620.000000,3/2,4.0,100.000000,1s.2s.4p,4P,-
144,516110.000000,3/2,4.0,100.000000,1s.2s.6s,4S,+
145,518070.000000,3/2,4.0,100.000000,1s.2p.4s,4P,-
146,518070.000000,1/2,2.0,100.000000,1s.2p.4s,4P,-
147,518070.000000,5/2,6.0,100.000000,1s.2p.4s,4P,-
148,518850.000000,3/2,4.0,100.000000,1s.2s.7s,4S,+
149,523230.000000,5/2,6.0,100.000000,1s.2p.3p,4P,+
150,523230.000000,3/2,4.0,100.000000,1s.2p.3p,4P,+
151,523230.000000,1/2,2.0,100.000000,1s.2p.3p,4P,+
152,525280.000000,3/2,4.0,100.000000,1s.2p.3d,4D,-
153,525280.000000,7/2,8.0,100.000000,1s.2p.3d,4D,-
154,525280.000000,1/2,2.0,100.000000,1s.2p.3d,4D,-
155,525280.000000,5/2,6.0,100.000000,1s.2p.3d,4D,-
156,526410.000000,3/2,4.0,100.000000,1s.2p.(1P*).3s,2P,-
157,526410.000000,1/2,2.0,100.000000,1s.2p.(1P*).3s,2P,-
158,530550.000000,3/2,4.0,100.000000,1s.2p.4p,4P,+
159,530550.000000,1/2,2.0,100.000000,1s.2p.4p,4P,+
160,530550.000000,5/2,6.0,100.000000,1s.2p.4p,4P,+
161,533690.000000,3/2,4.0,100.000000,1s.2p.5p,4P,+
