obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
408.391,,160,,,,,,,,,,,,,L369,
410.307,410.3075,190,1.54e+08,C,207699.07,232064.16,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).3d,3D*,2,,"T1115CA,LS",L369,
410.322,410.3213,170,8.5e+07,C,207699.07,232063.34,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).3d,3D*,1,,"T1115CA,LS",L369,
410.351,410.3506,200,2.05e+08,C,207703.79,232066.32,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,3,,"T1115CA,LS",L369,
410.371,410.3713,180,1.14e+08,C,207702.04,232063.34,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).3d,3D*,1,,"T1115CA,LS",L369,
410.387,410.3870,170,5.1e+07,C,207703.79,232064.16,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,2,,"T1115CA,LS",L369,
,410.4008,,5.7e+06,C,207703.79,232063.34,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,1,,"T1115CA,LS",,
410.916,410.9160,170,1.6e+08,D,211866.13,236195.14,2s2.2p3.(2D*).3s,3D*,3,2s2.2p3.(2D*).3p,3D,3,,"T1115CA,LS",L369,
,411.2720,,2.0e+07,D,211887.19,236195.14,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3D,3,,"T1115CA,LS",,
,411.2969,,2.8e+07,D,211866.13,236172.61,2s2.2p3.(2D*).3s,3D*,3,2s2.2p3.(2D*).3p,3D,2,,"T1115CA,LS",,
411.654,411.6535,160,1.2e+08,D,211887.19,236172.61,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3D,2,,"T1115CA,LS",L369,
,411.6990,,4.5e+07,D,211887.19,236169.93,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3D,1,,"T1115CA,LS",,
,411.8752,,2.7e+07,D,211900.26,236172.61,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3D,2,,"T1115CA,LS",,
411.921,411.9207,150,1.3e+08,D,211900.26,236169.93,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3D,1,,"T1115CA,LS",L369,
,415.775,,2.10e+00,C,20873.4,44918.1,2s2.2p4,1D,2,2s2.2p4,1S,0,E2,T333,,
420.715,,140,,,,,,,,,,,,,L369,
422.516,,170w,,,,,,,,,,,,,L369,
424.412,,150w,,,,,,,,,,,,,L369,
424.623,,200,,,,,,,,,,,,,L369,
424.639,,190,,,,,,,,,,,,,L369,
424.659,,180,,,,,,,,,,,,,L369,
424.677,,170,,,,,,,,,,,,,L369,
424.684,,160,,,,,,,,,,,,,L369,
427.536,,170w,,,,,,,,,,,,,L369,
427.753,,160w,,,,,,,,,,,,,L369,
427.893,,160w,,,,,,,,,,,,,L369,
429.917,429.9165,200,1.7e+08,D,215069.59,238323.38,2s2.2p3.(2D*).3s,1D*,2,2s2.2p3.(2D*).3p,1F,3,,T1115CA,L369,
444.653,444.6527,160,1.97e+08,C',232063.34,254546.49,2s2.2p3.(4S*).3d,3D*,1,2s2.2p3.(4S*).4f,3F,2,,T1115CA,L369,
