obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
111.13619,0.00009,111.13619,0.00003,50,,,40745.3671,130725.061,4d9.(2D<5/2>).5s,2[5/2],2,4d8.(3F).5s.5p.(3P*),5D*,3,,,L11881c113,
111.24005,0.00007,111.24023,0.00007,230000,9.e+08,D+,0.00,89895.5377,4d10,1S,0,4d9.(2D<3/2>).5p,2[3/2]*,1,,T9142,L11881c113,
111.85785,0.00009,111.85793,0.00004,260,,,43742.7348,133141.85,4d9.(2D<3/2>).5s,2[3/2],1,4d8.(3F).5s.5p.(3P*),5D*,2,,,L11881c113,
111.89895,0.00009,111.899053,0.000011,120,,,46049.0620,135415.323,4d9.(2D<3/2>).5s,2[3/2],2,4d8.(3F).5s.5p.(3P*),5G*,2,,,L11881c113,
112.2339,0.0013,112.234748,0.000006,64,,,43742.7348,132841.701,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<5/2>).6p,2[3/2]*,1,,,L647c114,
112.55403,0.00009,112.554160,0.000006,84,,,39168.0177,128014.134,4d9.(2D<5/2>).5s,2[5/2],3,4d8.(3F).5s.5p.(3P*),5D*,4,,,L11881c113,
112.676,0.005,112.675927,0.000005,35,,,46049.0620,134799.164,4d9.(2D<3/2>).5s,2[3/2],2,4d8.(3F).5s.5p.(3P*),5D*,1,,,L647c114,
113.2568,0.0013,113.257885,0.000009,65,,,46049.0620,134343.135,4d9.(2D<3/2>).5s,2[3/2],2,4d8.(3F).5s.5p.(3P*),5G*,3,,,L647c114,
114.82009,0.00009,114.82007,0.00004,130,,,46049.0620,133141.85,4d9.(2D<3/2>).5s,2[3/2],2,4d8.(3F).5s.5p.(3P*),5D*,2,,,L11881c113,
114.97824,0.00009,114.978197,0.000004,250,,,46049.0620,133022.073,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).6p,2[5/2]*,3,,,L11881c113,
115.11284,0.00009,115.112847,0.000007,290,,,46049.0620,132920.339,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).6p,2[5/2]*,2,,,L11881c113,
115.2164,0.0013,115.217144,0.000007,220,,,46049.0620,132841.701,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).6p,2[3/2]*,1,,,L647c114,
116.32169,0.00009,116.321641,0.000020,420,,,46049.0620,132017.588,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).6p,2[7/2]*,3,,,L11881c113,
116.92079,0.00010,116.92083,0.00010,160,,,46049.0620,131577.02,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<5/2>).6p,2[3/2]*,2,,,L11881c113,
118.09712,0.00022,118.09722,0.00003,39,,,46049.0620,130725.061,4d9.(2D<3/2>).5s,2[3/2],2,4d8.(3F).5s.5p.(3P*),5D*,3,,,L11881c113,
119.58091,0.00011,119.58073,0.00009,2200000,5.7e+07,D+,0.00,83625.5147,4d10,1S,0,4d9.(2D<5/2>).5p,2[3/2]*,1,,T6767,L11881c113,
133.492,0.005,133.4891,0.0004,2400,,,80176.4601,155088.95,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).8s,2[5/2],3,,,L647c114,
136.465,0.006,136.4634,0.0004,1600,,,86460.6511,159740.36,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<3/2>).8s,2[3/2],2,,,L647c114,
137.0062,0.0019,137.0057,0.0004,4200,,,82171.7320,155161.42,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).8s,2[5/2],2,,,L647c114,
137.148,0.006,137.1418,0.0004,1000,,,82171.7320,155088.95,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).8s,2[5/2],3,,,L647c114,
137.261,0.006,137.2641,0.0005,1400,,,86888.0990,159740.36,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).8s,2[3/2],2,,,L647c114,
137.355,0.006,137.3492,0.0005,1400,,,86888.0990,159695.21,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).8s,2[3/2],1,,,L647c114,
139.796,0.006,139.7899,0.0004,750,,,83625.5147,155161.42,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<5/2>).8s,2[5/2],2,,,L647c114,
140.0194,0.0020,140.0182,0.0005,2900,3.6e+07,D+,83669.6491,155088.95,4d9.(2D<5/2>).5p,2[7/2]*,4,4d9.(2D<5/2>).8s,2[5/2],3,,T9142,L647c114,
141.6304,0.0020,141.6318,0.0005,1900,,,89134.7240,159740.36,4d9.(2D<3/2>).5p,2[5/2]*,3,4d9.(2D<3/2>).8s,2[3/2],2,,,L647c114,
142.945,0.006,142.9375,0.0004,650,,,85200.7563,155161.42,4d9.(2D<5/2>).5p,2[5/2]*,2,4d9.(2D<5/2>).8s,2[5/2],2,,,L647c114,
143.172,0.006,143.1745,0.0005,910,,,89895.5377,159740.36,4d9.(2D<3/2>).5p,2[3/2]*,1,4d9.(2D<3/2>).8s,2[3/2],2,,,L647c114,
144.177,0.006,144.1746,0.0005,900,,,90334.8716,159695.21,4d9.(2D<3/2>).5p,2[1/2]*,1,4d9.(2D<3/2>).8s,2[3/2],1,,,L647c114,
144.91577,0.00023,144.91552,0.00017,450,,,80176.4601,149182.18,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).7s,2[3/2],2,,,L11881c113,
145.132,0.006,145.12440,0.00019,420,,,80176.4601,149082.86,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).7s,2[3/2],1,,,L647c114,
145.323,0.006,145.3333,0.0005,900?,,,90887.8423,159695.21,4d9.(2D<3/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).8s,2[3/2],1,,,L647c114,
