obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
210.284,210.2850+,0,,,109563.14,157102.56,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).4f,2[3]*,7/2,,,L5583,
210.824,210.8192+,0a,,,108423.07,155842.04,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(3P<2>).6f,2[5]*,9/2,,,L7270,
211.721,211.7184+,1,,,101157.48,148375.10,5s2.5p4.(3P<0>).6s,2[0],1/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L5583,
212.061,212.0600+,1,,,93068.44,140209.99,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L5583,
212.473,212.4717+,2,,,101535.67,148585.89,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<1>).4f,2[4]*,9/2,,,L5583,
212.873,212.8729+,1,,,93068.44,140029.99,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).4f,2[4]*,7/2,,,L5583,
213.885,213.8867+,1,,,109563.14,156302.13,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L5583,
214.225,214.2238+,0,,,93068.44,139733.89,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).7p,2[3]*,7/2,,,L7270,
214.631,214.6282+,0,,,93068.44,139645.98,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).7p,2[3]*,5/2,,,L7270,
215.308,215.3102+,0a,,,93068.44,139498.46,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L5583,
215.490,215.4838+,1,,,102799.07,149191.69,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(1S<0>).6p,2[1]*,3/2,,,L7270,
216.605,216.6039+,1,,,102799.07,148951.80,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L5583,
