obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
196.7099,196.70936,0.00116,3,,,1518.829,52355.250,5d4.(5D).6s,6D,3/2,5d4.(5D).6p,4D*,1/2,,,L6520,
196.74299,196.743091,0.000155,4,,,14857.160,65684.866,,,9/2,,,11/2,,,L11762,
196.8676,196.86727,0.00116,15,,,13411.939,64207.585,5d3.6s2,4F,7/2,,,9/2,,,L6520,
197.33140,197.33120,0.00035,7*,,,14967.745,65643.968,,,5/2,,,7/2,,,L11762,
197.33140,197.331416,0.000350,7*,,,4716.278,55392.446,5d4.(5D).6s,6D,7/2,,,9/2,,,L11762,
197.5447,197.54446,0.00117,15bl,,,6147.085,56768.602,5d4.(5D).6s,6D,9/2,,,7/2,,,L6520,
197.5529,197.55286,0.00117,9bl,,,18000.627,68619.990,,,7/2,,,7/2,,,L6520,
197.6426,197.64236,0.00117,5,,,13434.070,64030.511,,,5/2,,,5/2,,,L6520,
197.72348,197.72343,0.00006,10,,,17436.932,68012.627,5d4.(3H).6s,4H,11/2,,,11/2,,,L11762,
197.75243,197.752421,0.000043,13,,,1518.829,52087.110,5d4.(5D).6s,6D,3/2,,,5/2,,,L11762,
197.79237,197.792388,0.000027,22,,,19442.466,70000.529,5d4.(3H).6s,4H,13/2,5d3.(2H).6s.(3H).6p,4H*,13/2,,,L11762,
197.92103,197.92113,0.00031,2,,,10592.485,61117.662,,,3/2,,,3/2,,,L11762,
197.9828,197.98144,0.00118,5,,,19070.550,69580.334,,,9/2,,,7/2,,,L6520,
198.0317,198.03160,0.00118,15,,,15146.977,65643.968,5d4.(3H).6s,4H,7/2,,,7/2,,,L6520,
198.11563,198.11565,0.00008,8,,,16553.087,67028.654,5d4.(3H).6s,4H,9/2,,,9/2,,,L11762,
198.13997,198.139918,0.000157,4,,,14857.160,65326.546,,,9/2,,,11/2,,,L11762,
198.14399,198.144080,0.000157,4,,,13411.939,63880.265,5d3.6s2,4F,7/2,,,5/2,,,L11762,
198.1542,198.15419,0.00118,9,,,6147.085,56612.836,5d4.(5D).6s,6D,9/2,,,7/2,,,L6520,
198.2314,198.23101,0.00118,9,,,13434.070,63880.265,,,5/2,,,5/2,,,L6520,
198.2691,198.26912,0.00118,9,,,7420.261,57856.759,5d5,6S,5/2,,,5/2,,,L6520,
198.29073,198.290738,0.000051,11,,,0.000,50430.999,5d4.(5D).6s,6D,1/2,,,3/2,,,L11762,
198.5055,198.50603,0.00118,11,,,13411.939,63788.242,5d3.6s2,4F,7/2,,,7/2,,,L6520,
198.5368,198.53766,0.00118,5,,,20534.191,70902.470,,,11/2,,,9/2,,,L6520,
198.5865,198.58588,0.00118,15d,,,14634.336,64990.383,5d4.(5D).6s,4D,3/2,,,5/2,,,L6520,
198.62956,198.62957,0.00016,4,,,16553.087,66898.059,5d4.(3H).6s,4H,9/2,,,7/2,,,L11762,
198.77348,198.773417,0.000119,6*,,,10592.485,60901.023,,,3/2,,,5/2,,,L11762,
198.77348,198.77349,0.00012,6*,,,15146.977,65455.496,5d4.(3H).6s,4H,7/2,,,7/2,,,L11762,
198.77348,198.77374,0.00012,6*,,,16589.603,66898.059,,,7/2,,,7/2,,,L11762,
198.78088,198.780861,0.000055,11,,,4716.278,55022.932,5d4.(5D).6s,6D,7/2,,,7/2,,,L11762,
198.93940,198.939398,0.000024,29,,,6147.085,56413.649,5d4.(5D).6s,6D,9/2,,,9/2,,,L11762,
199.00652,199.006460,0.000119,6,,,11301.024,61550.649,5d3.6s2,4F,5/2,,,7/2,,,L11762,
199.08628,199.086258,0.000044,14,,,6147.085,56376.569,5d4.(5D).6s,6D,9/2,,,11/2,,,L11762,
199.31388,199.31389,0.00020,3,,,20039.682,70211.800,,,7/2,,,7/2,,,L11762,
199.3727,199.37282,0.00119,11,,,3172.473,53329.762,5d4.(5D).6s,6D,5/2,,,3/2,,,L6520,
199.4001,199.40032,0.00119,15,,,16553.087,66703.457,5d4.(3H).6s,4H,9/2,,,11/2,,,L6520,
199.41719,199.417175,0.000119,5,,,14857.160,65003.292,,,9/2,,,9/2,,,L11762,
199.42036,199.420381,0.000080,6,,,19442.466,69587.792,5d4.(3H).6s,4H,13/2,,,11/2,,,L11762,
199.55296,199.552953,0.000048,13,,,14857.160,64969.172,,,9/2,,,11/2,,,L11762,
199.72124,199.72126,0.00016,4,,,18990.929,69060.711,,,3/2,,,5/2,,,L11762,
199.74416,199.744108,0.000080,7,,,10592.485,60656.540,,,3/2,,,5/2,,,L11762,
199.8423,199.84346,0.00120,25,,,14857.160,64896.325,,,9/2,,,7/2,,,L6520,
199.85322,199.853036,0.000200,3,,,8711.274,58748.042,5d3.6s2,4F,3/2,,,3/2,,,L11762,
199.8994,199.89902,0.00120,15,,,11301.024,61326.281,5d3.6s2,4F,5/2,,,7/2,,,L6520,
199.9095,199.90949,0.00120,3,,,14967.745,64990.383,,,5/2,,,5/2,,,L6520,
199.92885,199.92886,0.00005,11,,,1518.829,51536.621,5d4.(5D).6s,6D,3/2,,,1/2,,,L11762,
obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
199.98203,199.981983,0.000080,6,,,4716.278,54704.585,5d4.(5D).6s,6D,7/2,,,5/2,,,L11762,
200.0271,200.02676,0.00120,5,,,23450.418,73427.537,5d4.(3D).6s,4D,5/2,,,7/2,,,L6520,
200.17146,200.171206,0.000441,13w,,,3172.473,53113.533,5d4.(5D).6s,6D,5/2,,,5/2,,,L11762,
200.2219,200.22125,0.00120,5,,,14967.745,64896.325,,,5/2,,,7/2,,,L6520,
200.2599,200.25873,0.00120,9,,,1518.829,51438.064,5d4.(5D).6s,6D,3/2,,,5/2,,,L6520,
200.2750,200.27447,0.00120,11,,,8832.728,58748.042,,,1/2,,,3/2,,,L6520,
200.2964,200.29667,0.00120,9,,,16234.715,66144.496,,,5/2,,,5/2,,,L6520,
200.32705,200.32685,0.00032,2,,,23803.702,73705.965,,,7/2,,,9/2,,,L11762,
200.5126,200.51150,0.00121,3,,,15146.977,65003.292,5d4.(3H).6s,4H,7/2,,,9/2,,,L6520,
200.5599,200.55943,0.00121,5,,,19637.309,69481.712,,,5/2,,,5/2,,,L6520,
200.5919,200.59153,0.00121,15,,,14967.745,64804.173,,,5/2,,,3/2,,,L6520,
200.6070,200.60779,0.00121,15,,,13434.070,63266.459,,,5/2,,,7/2,,,L6520,
200.67114,200.67123,0.00016,4,,,11301.024,61117.662,5d3.6s2,4F,5/2,,,3/2,,,L11762,
200.80172,200.80168,0.00016,4,,,19276.431,69060.711,,,5/2,,,5/2,,,L11762,
200.809551,200.809542,0.000013,50,,,4716.278,54498.608,5d4.(5D).6s,6D,7/2,,,7/2,,,L11762,
200.9375,200.93757,0.00121,5,,,23955.349,73705.965,,,11/2,,,9/2,,,L6520,
200.99828,200.99824,0.00006,10,,,1518.829,51254.429,5d4.(5D).6s,6D,3/2,,,3/2,,,L11762,
201.02363,201.023627,0.000037,16,,,3172.473,52901.794,5d4.(5D).6s,6D,5/2,,,7/2,,,L11762,
201.13941,201.13939,0.00032,2,,,13434.070,63134.773,,,5/2,,,3/2,,,L11762,
201.28758,201.28761,0.00020,3,,,19070.550,68734.663,,,9/2,,,9/2,,,L11762,
201.3063,201.30598,0.00122,15,,,4716.278,54375.859,5d4.(5D).6s,6D,7/2,,,5/2,,,L6520,
201.37609,201.37599,0.00020,3,,,24804.612,74446.931,,,7/2,,,9/2,,,L11762,
201.42381,201.423792,0.000029,19,,,3172.473,52803.012,5d4.(5D).6s,6D,5/2,,,3/2,,,L11762,
201.44296,201.442941,0.000081,9,,,8711.274,58337.096,5d3.6s2,4F,3/2,,,5/2,,,L11762,
201.4512,201.45101,0.00122,9,,,23803.702,73427.537,,,7/2,,,7/2,,,L6520,
201.54793,201.547832,0.000081,6,,,11301.024,60901.023,5d3.6s2,4F,5/2,,,5/2,,,L11762,
201.55788,201.55789,0.00020,3,,,8711.274,58308.799,5d3.6s2,4F,3/2,,,1/2,,,L11762,
201.57791,201.577919,0.000021,34,,,19442.466,69035.063,5d4.(3H).6s,4H,13/2,5d3.(2H).6s.(3H).6p,4I*,13/2,,,L11762,
201.58165,201.58148,0.00020,3,,,17436.932,67028.654,5d4.(3H).6s,4H,11/2,,,9/2,,,L11762,
201.63848,201.638497,0.000122,5,,,13411.939,62989.639,5d3.6s2,4F,7/2,,,5/2,,,L11762,
201.75343,201.75352,0.00029,3,,,19070.550,68619.990,,,9/2,,,7/2,,,L11762,
201.78927,201.78931,0.00012,4,,,20039.682,69580.334,,,7/2,,,7/2,,,L11762,
