obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
562.702,562.703+,1,,,140117.228,157883.65,4s2.4p4.(3P).5p,2D*,5/2,4s2.4p4.(3P).6s,4P,3/2,,,L7386,
563.302,563.302+,100h,,,134566.95,152314.48,4s2.4p4.(3P).4d,2F,5/2,4s2.4p4.(1D).5p,2D*,5/2,,,L8549,
564.107,564.108+,3hl,,,140161.462,157883.65,4s2.4p4.(3P).5p,4D*,1/2,4s2.4p4.(3P).6s,4P,3/2,,,L7386,
564.500,564.507+,1H,,,150201.68,167911.34,4s2.4p4.(1D).5p,2P*,3/2,4s2.4p4.(3P).5d,2P,3/2,,,L7386,
565.036,565.036+,10H,,,134621.41,152314.48,4s2.4p4.4d,,3/2,4s2.4p4.(1D).5p,2D*,5/2,,,L8549,
567.277,567.277+,40hs,,,134566.95,152190.13,4s2.4p4.(3P).4d,2F,5/2,4s2.4p4.(1D).5p,2D*,3/2,,,L8549,
567.451,567.451+,30hs,,,134621.41,152239.19,4s2.4p4.4d,,3/2,4s2.4p4.(1D).5p,2P*,1/2,,,L8549,
568.190,568.1898+,400,,,118474.359,136069.229,4s2.4p4.(3P).5s,2P,3/2,4s2.4p4.(3P).5p,4D*,5/2,,,L8549,
569.035,569.036+,200Hs,,,134621.41,152190.13,4s2.4p4.4d,,3/2,4s2.4p4.(1D).5p,2D*,3/2,,,L8549,
569.983,569.983+,10*,,,131632.11,149171.64,4s2.4p4.(3P).4d,2F,7/2,4s2.4p4.(1D).5p,2F*,5/2,,,L8549,
569.983,569.977+,10*,,,134286.667,151826.36,4s2.4p4.(3P).5p,4P*,3/2,4s2.4p4.(1D).4d,2P,3/2,,,L8549,
574.927,574.928+,5Hl,,,152314.48,169703.13,4s2.4p4.(1D).5p,2D*,5/2,4s2.4p4.(3P).5d,2D,5/2,,,L7386,
575.299,575.2985+,60,,,121002.149,138379.610,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P).5p,4D*,3/2,,,L8549,
577.140,577.140+,100,,,121779.54,139101.568,4s2.4p4.(3P).4d,4D,1/2,4s2.4p4.(3P).5p,2P*,1/2,,,L8549,
577.35,577.358+,1Hl,,,150201.68,167517.16,4s2.4p4.(1D).5p,2P*,3/2,4s2.4p4.(3P).5d,4P,5/2,,,L7386,
580.015,580.015+,6Hs,,,132965.52,150201.68,4s2.4p4.4d,,3/2,4s2.4p4.(1D).5p,2P*,3/2,,,L8549,
580.181,580.182+,1h,,,132970.49,150201.68,4s2.4p4.(3P).4d,4P,5/2,4s2.4p4.(1D).5p,2P*,3/2,,,L7386,
584.249,584.251+,1H,,,151826.36,168937.54,4s2.4p4.(1D).4d,2P,3/2,4s2.4p4.(1S).5p,2P*,3/2,,,L7386,
586.061,586.063+,6,,,161283.59,178341.88,4s2.4p4.(3P).5d,4D,7/2,4s2.4p4.(3P<2>).5f,2[4]*,9/2,,,L10563,
589.456,589.455+,8Hl,,,140117.228,157077.34,4s2.4p4.(3P).5p,2D*,5/2,4s2.4p4.(3P).6s,4P,5/2,,,L7386,
589.746,589.726+,3,,,161450.10,178402.42,4s2.4p4.(3P).5d,4D,5/2,4s2.4p4.(3P<2>).5f,2[3]*,5/2,,,L10563,
590.089,590.087+,8Hl,,,140135.395,157077.34,4s2.4p4.(3P).5p,2P*,3/2,4s2.4p4.(3P).6s,4P,5/2,,,L7386,
