obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
174.929,,,20,,,,,,,,,,,,,L3331,
177.705,177.7049,0.0010,80,9.70e+07,,13325.401,69598.475,6s2.6p2,3P,1,6s2.6p.7s,"(1/2,1/2)*",1,,T7227,L9843,
178.7406,,,60,,,,,,,,,,,,,L9843,
179.1842,179.1842,0.0010,70,6.41e+08,,13325.401,69133.891,6s2.6p2,3P,1,6s2.6p.7s,"(1/2,1/2)*",0,,T7227,L9843,
182.3728,182.37284,0.00010,70,,,33938.718,88771.443,6s2.6p2,1D,2,6s2.6p.7s,"(3/2,1/2)*",2,,,L9843,
190.2341,190.23422,0.00010,100,3.55e+08,,17031.698,69598.475,6s2.6p2,3P,2,6s2.6p.7s,"(1/2,1/2)*",1,,T7227,L9843,
198.935,,,25,,,,,,,,,,,,,L3331,
obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
206.8937,,,45w,,,,,,,,,,,,,L9843,
214.340,,,15,,,,,,,,,,,,,L3331,
214.346,,,15,,,,,,,,,,,,,L3331,
218.6930,218.69297,0.00010,60,,,44173.768,89885.675,6s2.6p2,1S,0,6s2.6p.7s,"(3/2,1/2)*",1,,,L9887,
221.4031,,,40w,,,,,,,,,,,,,L9887,
236.812,,,16,,,,,,,,,,,,,L3331,
236.8384,,,12,,,,,,,,,,,,,L9887,
250.10,,,10,,,,,,,,,,,,,L3331,
254.45,,,20w,,,,,,,,,,,,,L3331,
269.30,,,12,,,,,,,,,,,,,L3331,
271.33,,,20,,,,,,,,,,,,,L3331,
280.342,,,15,,,,,,,,,,,,,L3331,
280.370,,,11,,,,,,,,,,,,,L3331,
280.53,,,12,,,,,,,,,,,,,L3331,
293.67,,,15,,,,,,,,,,,,,L3331,
295.04,,,20,,,,,,,,,,,,,L3331,
296.34,,,12,,,,,,,,,,,,,L3331,
343.0605,,,10,,,,,,,,,,,,,L9887,
343.123,,,12,,,,,,,,,,,,,L3331,
365.42,,,12,,,,,,,,,,,,,L3331,
379.2564,379.2564,0.0010,70w,,,79091.141,105451.045,6s2.6p.6d,"(1/2,3/2)*",2,6s2.6p.5f,"(1/2,5/2)",3,,,L9887,
381.11,,,12,,,,,,,,,,,,,L3331,
381.58,,,20,,,,,,,,,,,,,L3331,
384.58,,,10,,,,,,,,,,,,,L3331,
386.4025,,,30,,,,,,,,,,,,,L9887,
407.9072,,,40w,,,,,,,,,,,,,L9887,
409.72,,,10,,,,,,,,,,,,,L3331,
425.9413,425.9413,0.0010,75w,,,82257.251,105728.060,6s2.6p.6d,"(1/2,5/2)*",3,6s2.6p.5f,"(1/2,7/2)",4,,,L9887,
427.20,,,25,,,,,,,,,,,,,L3331,
430.1697,430.1697,0.0010,70w,,,82049.632,105289.732,6s2.6p.6d,"(1/2,5/2)*",2,6s2.6p.5f,"(1/2,7/2)",3,,,L9887,
433.98,,,12w,,,,,,,,,,,,,L3331,
434.05,,,25w,,,,,,,,,,,,,L3331,
437.94,,,12w,,,,,,,,,,,,,L3331,
447.68,,,25w,,,,,,,,,,,,,L3331,
470.5285,470.5285,0.0010,60w,,,84280.446,105527.197,6s2.6p.7p,"(1/2,1/2)",1,6s2.6p.7d,"(1/2,3/2)*",2,,,L9887,
473.0267,,,30,,,,,,,,,,,,,L9887,
474.97,,,20,,,,,,,,,,,,,L3331,
490.82,,,12,,,,,,,,,,,,,L3331,
491.66,,,10,,,,,,,,,,,,,L3331,
496.97,,,12,,,,,,,,,,,,,L3331,
499.36,,,20,,,,,,,,,,,,,L3331,
509.16,,,10,,,,,,,,,,,,,L3331,
512.4356,512.4356,0.0010,50w,,,88771.443,108280.653,6s2.6p.7s,"(3/2,1/2)*",2,6s2.6p.7p,"(3/2,3/2)",3,,,L9887,
514.4492,514.4507,0.0010,60w,,,69133.891,88566.685,6s2.6p.7s,"(1/2,1/2)*",0,6s2.6p.7p,"(1/2,3/2)",1,,,L9887,
520.15,,,20,,,,,,,,,,,,,L3331,
520.9325,520.9325,0.0010,75w,,,69598.475,88789.478,6s2.6p.7s,"(1/2,1/2)*",1,6s2.6p.7p,"(1/2,3/2)",2,,,L9887,
527.0512,,,40w,,,,,,,,,,,,,L9887,
539.78,,,10,,,,,,,,,,,,,L3331,
565.52,,,20,,,,,,,,,,,,,L3331,
571.9138,,,40w,,,,,,,,,,,,,L9887,
581.83,,,12,,,,,,,,,,,,,L3331,
586.02,,,20,,,,,,,,,,,,,L3331,
597.30,,,20,,,,,,,,,,,,,L3331,
605.91,,,15,,,,,,,,,,,,,L3331,
612.80,,,15,,,,,,,,,,,,,L3331,
649.77,,,15,,,,,,,,,,,,,L3331,
657.72,,,10,,,,,,,,,,,,,L3331,
660.0339,,,40w,,,,,,,,,,,,,L3331,
680.9196,,,50w,,,,,,,,,,,,,L3331,
703.3,,,12,,,,,,,,,,,,,L3331,
738.1,,,10w,,,,,,,,,,,,,L3331,
763.7,,,10w,,,,,,,,,,,,,L3331,
775,,,10,,,,,,,,,,,,,L3331,
796.5,,,20,,,,,,,,,,,,,L3331,
805,,,12w,,,,,,,,,,,,,L3331,
832.8,,,15,,,,,,,,,,,,,L3331,
838.8,,,15,,,,,,,,,,,,,L3331,
853.2,,,30,,,,,,,,,,,,,L3331,
865.3,,,25,,,,,,,,,,,,,L3331,
886.3,,,25,,,,,,,,,,,,,L3331,
