obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
335.722,335.72141+,240,,,4266.397,34044.441,4f.5d.(3G*).6s,*,7/2,4f.5d.(3G*).6p,,9/2,,,L3475,
336.054,336.05323+,200,,,11309.972,41058.614,4f2.(3H).5d,4I,15/2,4f3,4I*,15/2,,,L3475,
336.655,336.65533+,240,,,4459.872,34155.311,4f.5d.(3F*).6s,4F*,7/2,5d3,,7/2,,,L3475,
337.118,337.11691+,200,,,4511.257,34166.039,4f.5d.(3G*).6s,4G*,5/2,4f.6s.(3F*).6p,,3/2,,,L3475,
337.346,337.34480+,200,,,2563.233,32197.982,4f.(2F*).5d2.(3F),4I*,11/2,4f2.(1I).5d,,9/2,,,L3475,
337.373,337.37294+,200,,,4523.033,34155.311,4f.5d.(3H*).6s,4H*,9/2,5d3,,7/2,,,L3475,
337.713,337.71226+,480,,,4910.963,34513.468,4f.5d.(3H*).6s,*,11/2,4f.5d.(3H*).6p,2I,13/2,,,L3475,
338.368,338.36764+,200,,,4266.397,33811.567,4f.5d.(3G*).6s,*,7/2,4f.5d.(3G*).6p,2H,9/2,,,L3475,
340.491,340.49081+,200,,,1873.934,31234.878,4f.(2F*).5d2.(3F),*,7/2,4f.5d.(1D*).6p,,5/2,,,L3475,
340.598,340.59810+,240,,,4459.872,33811.567,4f.5d.(3F*).6s,4F*,7/2,4f.5d.(3G*).6p,2H,9/2,,,L3475,
341.745,341.74486+,290,,,5675.763,34928.969,4f.5d.(3F*).6s,4F*,9/2,4f.5d.(3D*).6p,,9/2,,,L3475,
342.271,342.27048+,600,1.94e+07,C+,3593.882,32802.165,4f.5d.(1G*).6s,*,9/2,4f.5d.(3H*).6p,2I,11/2,,T8629,L3475,
342.621,342.62049+,390,1.55e+07,B,987.611,30166.057,4f.(2F*).5d2.(3F),*,9/2,4f.5d.(3G*).6p,,7/2,,T8629,L3475,
344.121,344.12075+,290,,,2879.695,31930.936,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3G*).6p,,9/2,,,L3475,
347.684,347.68363+,480,,,10641.442,39394.990,4f.5d.(3P*).6s,4P*,5/2,4f.5d.(3P*).6p,,7/2,,,L3475,
348.235,348.23603+,240,,,4844.644,33552.582,4f.(2F*).5d2.(3F),*,3/2,4f.6s.(3F*).6p,,5/2,,,L3475,
348.505,348.50530+,710,2.49e+07,B+,0.000,28685.758,4f.(2F*).5d2.(3F),4H*,7/2,4f.5d.(1G*).6p,,5/2,,T8629,L3475,
350.794,350.79409+,210,6.0e+06,C+,1410.304,29908.904,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3G*).6p,4H,9/2,,T8629,L3475,
351.738,351.73775+,600,,,7293.938,35716.083,4f.(2F*).5d2.(3F),2I*,13/2,4f.5d.(3G*).6p,2H,11/2,,,L3475,
