obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
1216.0258,0.0003,1216.02547,0.00021,36,,,294086.4608,302307.7230,2s2.2p4.(3P).4p,2P*,3/2,2s2.2p4.(3P).4d,2D,5/2,,,L11301,
1218.0131,0.0003,1218.01323,0.00016,39,,,282375.3049,290583.1503,2s2.2p4.(3P).4s,4P,3/2,2s2.2p4.(3P).4p,4P*,3/2,,,L11301,
1223.2531,0.0004,1223.25325,0.00021,26,,,283322.3319,291495.0176,2s2.2p4.(3P).4s,2P,3/2,2s2.2p4.(3P).4p,4D*,5/2,,,L11301,
1230.7097,0.0006,1230.70967,0.00021,18,,,282680.6284,290803.7989,2s2.2p4.(3P).4s,4P,1/2,2s2.2p4.(3P).4p,4P*,1/2,,,L11301,
1235.3556,0.0009,1235.3555,0.0003,11,,,294333.192,302425.8139,2s2.2p4.(3P).4p,2P*,1/2,2s2.2p4.(3P).4d,2D,3/2,,,L11301,
1250.18602,0.00017,1250.18601,0.00016,66,,,282375.3049,290371.9268,2s2.2p4.(3P).4s,4P,3/2,2s2.2p4.(3P).4p,4P*,5/2,,,L11301,
1265.07282,0.00016,1265.07274,0.00016,76,,,282680.6284,290583.1503,2s2.2p4.(3P).4s,4P,1/2,2s2.2p4.(3P).4p,4P*,3/2,,,L11301,
1266.32822,0.00024,1266.32819,0.00019,50,,,246397.4810,254292.1683,2s2.2p4.(1D).3s,2D,3/2,2s2.2p4.(3P).3p,2P*,1/2,,,L11301,
1286.50551,0.00013,1286.50552,0.00013,115,,,246394.1202,254164.9888,2s2.2p4.(1D).3s,2D,5/2,2s2.2p4.(3P).3p,2P*,3/2,,,L11301,
1287.0625,0.0009,1287.06216,0.00020,12,,,246397.4810,254164.9888,2s2.2p4.(1D).3s,2D,3/2,2s2.2p4.(3P).3p,2P*,3/2,,,L11301,
1354.1666,0.0012,1354.1667,0.0004,9,,,276511.800,283894.3965,2s2.2p4.(1D).3p,2P*,1/2,2s2.2p4.(3P).4s,2P,1/2,,,L11301,
1418.9578,0.0006,1418.9586,0.0003,20,,,276276.8361,283322.3319,2s2.2p4.(1D).3p,2P*,3/2,2s2.2p4.(3P).4s,2P,3/2,,,L11301,
1507.8160,0.0012,1507.8160,0.0003,9,,,307069.8080,313700.1049,2s2.2p4.(3P).5p,4P*,3/2,2s2.2p4.(3P).6s,4P,1/2,,,L11301,
1526.06260,0.00014,1526.06264,0.00014,162,,,302425.8139,308976.8347,2s2.2p4.(3P).4d,2D,3/2,2s2.2p4.(3P).5p,2P*,1/2,,,L11301,
1550.7334,0.0014,1550.73403,0.00022,8,,,306899.2903,313346.0878,2s2.2p4.(3P).5p,4P*,5/2,2s2.2p4.(3P).5d,2F,5/2,,,L11301,
1554.71550,0.00013,1554.71553,0.00012,468,,,302307.7230,308738.0108,2s2.2p4.(3P).4d,2D,5/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1576.1890,0.0007,1576.18896,0.00025,16,,,307309.4584,313652.1424,2s2.2p4.(3P).5p,4P*,1/2,2s2.2p4.(3P).6s,4P,3/2,,,L11301,
1583.80169,0.00018,1583.80176,0.00016,102,,,302425.8139,308738.0108,2s2.2p4.(3P).4d,2D,3/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1591.6867,0.0018,1591.68741,0.00023,7,,,306899.2903,313180.2149,2s2.2p4.(3P).5p,4P*,5/2,2s2.2p4.(3P).6s,2P,3/2,,,L11301,
1592.8647,0.0008,1592.8653,0.0003,15,,,307069.8080,313346.0878,2s2.2p4.(3P).5p,4P*,3/2,2s2.2p4.(3P).5d,2F,5/2,,,L11301,
