obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
336.782,,150,,,,,,,L3475,
337.342,,180,,,,,,,L3475,
337.473,,380,,,,,,,L3475,
337.627,,110,,,,,,,L3475,
337.746,,150,,,,,,,L3475,
338.787,,570,,,,,,,L3475,
338.830,,760,,,,,,,L3475,
339.198,,5700,,,,,,,L3475,
339.312,,570,,,,,,,L3475,
339.633,,160,,,,,,,L3475,
339.935,,380,,,,,,,L3475,
340.483,,570,,,,,,,L3475,
341.025,,760,,,,,,,L3475,
343.053,,1000,,,,,,,L3475,
343.714,,380,,,,,,,L3475,
343.823,,4700,,,,,,,L3475,
345.756,,410,,,,,,,L3475,
345.893,,200,,,,,,,L3475,
346.302,,820,,,,,,,L3475,
347.939,,1200,,,,,,,L3475,
348.115,,1300,,,,,,,L3475,
348.354,,760,,,,,,,L3475,
349.621,,4100,,,,,,,L3475,
350.548,,350,,,,,,,L3475,
350.567,,820,,,,,,,L3475,
351.046,,200,,,,,,,L3475,
352.581,,440,,,,,,,L3475,
354.262,,630,,,,,,,L3475,
355.195,,1800,,,,,,,L3475,
355.660,,2100,,,,,,,L3475,
357.247,,2100,,,,,,,L3475,
357.308,,210,,,,,,,L3475,
357.685,,1300,,,,,,,L3475,
358.798,,440,,,,,,,L3475,
361.189,,690,,,,,,,L3475,
361.310,,1100,,,,,,,L3475,
361.477,,1100,,,,,,,L3475,
367.127,,390,,,,,,,L3475,
367.472,,800,,,,,,,L3475,
369.746,,390,,,,,,,L3475,
369.817,,960,,,,,,,L3475,
370.926,,720,,,,,,,L3475,
373.126,,270,,,,,,,L3475,
374.598,,560,,,,,,,L3475,
375.160,,880,,,,,,,L3475,
376.682,,340,,,,,,,L3475,
381.758,,210,,,,,,,L3475,
383.676,,1300,,,,,,,L3475,
384.302,,550,,,,,,,L3475,
391.594,,310,,,,,,,L3475,
393.412,,200,,,,,,,L3475,
393.479,,200,,,,,,,L3475,
395.822,,940,,,,,,,L3475,
399.113,,770,,,,,,,L3475,
399.897,,770,,,,,,,L3475,
402.968,,400,,,,,,,L3475,
404.561,,400,,,,,,,L3475,
404.867,,610,,,,,,,L3475,
405.033,,200,,,,,,,L3475,
414.920,,1200,,,,,,,L3475,
415.624,,290,,,,,,,L3475,
416.121,,400,,,,,,,L3475,
420.898,,610,,,,,,,L3475,
421.188,,200,,,,,,,L3475,
435.974,,290,,,,,,,L3475,
437.978,,240,,,,,,,L3475,
444.300,,140,,,,,,,L3475,
449.697,,200,,,,,,,L3475,
511.227,,50,,,,,,,L3475,
519.160,,100,,,,,,,L3475,
535.009,,30,,,,,,,L3475,
535.035,,30,,,,,,,L3475,
667.801,,11,,,,,,,L3475,
678.715,,15,,,,,,,L3475,
