obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
219.0744,0.0002,219.07421,15000,1.0e+07,,50555.567,96187.932,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,,T7226,L11760,
220.6907,0.0003,,18,,,,,,,,,,,,,L11760,
221.6264,0.0003,221.62642,125,9.5e+06,,100861.369,145968.295,5d9.6s.6p,"(2D<3/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",7/2,,T7226,L11760,
222.4013,0.0003,222.40134,4500,2.7e+07,,95187.361,140137.134,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2,,T7226,L11760,
222.4711,0.0002,222.47110,200000,7.5e+08,,60608.362,105544.042,5d10.6p,2P*,3/2,5d10.6d,2D,5/2,,T7226,L11760,
222.9807,0.0003,222.98069,400,1.0e+07,,95304.138,140137.134,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2,,T7226,L11760,
223.0032,0.0002,223.00285,7500,1.5e+08,,94092.834,138921.375,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2,,T7226,L11760,
225.2786,0.0002,225.27837,100000,1.2e+08,,60608.362,104984.138,5d10.6p,2P*,3/2,5d10.6d,2D,3/2,,T7226,L11760,
225.5468,0.0003,225.54712,4,1.3e+06,,95304.138,139627.043,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d10.9d,2D,3/2,,T7226,L11760,
225.6120,0.0003,225.61184,2.5,3.5e+06,,100861.369,145171.560,5d9.6s.6p,"(2D<3/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",5/2,,T7226,L11760,
225.8678,0.0003,225.86752,10,9.5e+06,,103873.302,148133.339,5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,,T7226,L11760,
226.02942,0.00005,226.02943,600000,3.0e+08,,51486.070,95714.406,5d10.6p,2P*,1/2,5d10.7s,2S,1/2,,T7226,L11760,
226.22226,0.00006,226.22227,750000,8.0e+06,,35514.624,79705.262,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,,T7226,L11760,
226.3634,0.0002,226.36338,100000,2.8e+08,,91139.508,135302.600,5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",7/2,,T7226,L11760,
228.7705,0.0003,228.77052,5,2.5e+06,,100861.369,144559.816,5d9.6s.6p,"(2D<3/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,,T7226,L11760,
228.9094,0.0003,,15,,,,,,,,,,,,,L11760,
229.1963,0.0002,229.19650,7000h,1.2e+08,,95304.138,138921.375,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2,,T7226,L11760,
229.6178,0.0002,229.61753,12000,1.7e+06,,50555.567,94092.834,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,,T7226,L11760,
229.9813,0.0002,229.98141,4,5.3e+06,,103183.874,146652.263,5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,T7226,L11760,
230.1363,0.0003,230.13643,6,1.6e+06,,96187.932,139627.043,5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,5d10.9d,2D,3/2,,T7226,L11760,
232.7233,0.0003,232.72320,20,3.0e+07,,121960.399,164916.716,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,5d9.6s.6d,"[(2D<3/2>,1/2)<2>,5/2]",7/2,,T7226,L11760,
233.9369,0.0003,233.93706,12000,7.8e+07,,96187.932,138921.375,5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2,,T7226,L11760,
234.5524,0.0003,234.55272,8000,8.5e+06,,94092.834,136714.118,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",5/2,,T7226,L11760,
237.6685,0.0003,237.66859,120,4.4e+07,,103183.874,145246.433,5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",1/2,,T7226,L11760,
237.7548,0.0003,237.75470,200,6.0e+06,,106086.013,148133.339,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,,T7226,L11760,
238.0918,0.0003,238.09243,40,1.0e+05,,103183.874,145171.560,5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",5/2,,T7226,L11760,
239.0152,0.0002,239.01518,3500,3.0e+07,,97095.774,138921.375,5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2,,T7226,L11760,
240.7352,0.0003,240.73536,45000,1.1e+08,,95187.361,136714.118,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",5/2,,T7226,L11760,
241.4142,0.0003,241.41430,45000,1.0e+08,,95304.138,136714.118,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",5/2,,T7226,L11760,
241.6292,0.0003,241.62933,60,1.0e+07,,103873.302,145246.433,5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",1/2,,T7226,L11760,
