obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
135.372,135.3721,100,3.22e+08,C,43107.91,116978.38,3s.3p2,4P,5/2,3s.3p.(3P*).4s,4P*,3/2,,T1533,L3541,
,140.9053,,3.87e+08,D+,55309.35,126279.0,3s.3p2,2D,3/2,3s.3p.(3P*).3d,2P*,1/2,,"T6527c4,LS",,
140.907,,10w,,,,,,,,,,,,,L3541,
,140.9899,,3.86e+07,D,55309.35,126236.4,3s.3p2,2D,3/2,3s.3p.(3P*).3d,2P*,3/2,,"T6527c4,LS",,
141.022,141.0214,20w,3.47e+08,D+,55325.18,126236.4,3s.3p2,2D,5/2,3s.3p.(3P*).3d,2P*,3/2,,"T6527c4,LS",L3541,
141.697,,10w,,,,,,,,,,,,,L3541,
147.465,,15w,,,,,,,,,,,,,L3541,
148.487,,15,,,,,,,,,,,,,L3541,
148.502,,90w,,,,,,,,,,,,,L3541,
148.522,,30,,,,,,,,,,,,,L3541,
148.551,,100w,,,,,,,,,,,,,L3541,
,150.8732,,3.16e+07,D,55309.35,121590.19,3s.3p2,2D,3/2,3s.3p.(3P*).4s,2P*,3/2,,"T6527c4,LS",,
150.910,150.9092,100w,2.85e+08,D+,55325.18,121590.19,3s.3p2,2D,5/2,3s.3p.(3P*).4s,2P*,3/2,,"T6527c4,LS",L3541,
151.207,151.2064,50w,3.15e+08,D+,55309.35,121444.12,3s.3p2,2D,3/2,3s.3p.(3P*).4s,2P*,1/2,,"T6527c4,LS",L3541,
151.357,,30p,,,,,,,,,,,,,L3541,
151.691,,60p,,,,,,,,,,,,,L3541,
152.672,152.6707,500,3.81e+08,C+,0.00,65500.47,3s2.3p,2P*,1/2,3s2.4s,2S,1/2,,c22,L3541,
153.345,153.3431,1000,7.52e+08,C+,287.24,65500.47,3s2.3p,2P*,3/2,3s2.4s,2S,1/2,,c22,L3541,
156.245,,10,,,,,,,,,,,,,L3541,
156.285,,15,,,,,,,,,,,,,L3541,
156.377,,10,,,,,,,,,,,,,L3541,
,164.9524,,6.5e+03,E,42932.62,103556.16,3s.3p2,4P,3/2,3s2.4f,2F*,5/2,,T6527c4,,
,165.4308,,2.9e+03,E,43107.91,103556.16,3s.3p2,4P,5/2,3s2.4f,2F*,5/2,,T6527c4,,
,165.4311,,4.6e+04,E,43107.91,103556.03,3s.3p2,4P,5/2,3s2.4f,2F*,7/2,,T6527c4,,
171.083,,10w,,,,,,,,,,,,,L3541,
171.130,,20w,,,,,,,,,,,,,L3541,
,178.2858,,8.67e+06,D,65500.47,121590.19,3s2.4s,2S,1/2,3s.3p.(3P*).4s,2P*,3/2,,T6868,,
,178.7513,,8.61e+06,D,65500.47,121444.12,3s2.4s,2S,1/2,3s.3p.(3P*).4s,2P*,1/2,,T6868,,
180.800,180.8013,150,2.54e+06,C,0.00,55309.35,3s2.3p,2P*,1/2,3s.3p2,2D,3/2,,"c22,T6106",L3541,
181.692,181.6928,200,2.65e+06,C,287.24,55325.18,3s2.3p,2P*,3/2,3s.3p2,2D,5/2,,"c22,T6106",L3541,
181.745,181.7451,10,3.23e+05,C,287.24,55309.35,3s2.3p,2P*,3/2,3s.3p2,2D,3/2,,"c22,T6106",L3541,
186.932,,20,,,,,,,,,,,,,L3541,
187.023,,15,,,,,,,,,,,,,L3541,
190.246,,100w,,,,,,,,,,,,,L3541,
191.062,,50w,,,,,,,,,,,,,L3541,
194.167,,50,,,,,,,,,,,,,L3541,
194.459,,15,,,,,,,,,,,,,L3541,
194.933,,10,,,,,,,,,,,,,L3541,
194.956,,100,,,,,,,,,,,,,L3541,
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,200.416,,4.76e+06,D,76665.35,126545.4,3s.3p2,2S,1/2,3s2.10p,2P*,1/2,,T6868,,
,200.495,,4.75e+06,D,76665.35,126525.8,3s.3p2,2S,1/2,3s2.10p,2P*,3/2,,T6868,,
,201.492,,3.31e+07,D+,76665.35,126279.0,3s.3p2,2S,1/2,3s.3p.(3P*).3d,2P*,1/2,,T6868,,
,201.666,,3.39e+07,C,76665.35,126236.4,3s.3p2,2S,1/2,3s.3p.(3P*).3d,2P*,3/2,,T6868,,
205.865,,50,,,,,,,,,,,,,L3541,
205.901,,50,,,,,,,,,,,,,L3541,
,206.2207,,4.60e+06,D,65500.47,113976.72,3s2.4s,2S,1/2,3s2.6p,2P*,3/2,,T6868,,
,206.2830,,4.59e+06,D,65500.47,113962.08,3s2.4s,2S,1/2,3s2.6p,2P*,1/2,,T6868,,
207.202,207.2015,200,9.6e+07,D,55309.35,103556.16,3s.3p2,2D,3/2,3s2.4f,2F*,5/2,,"T6527c4,LS",L3541,
,207.2695,,6.8e+06,E,55325.18,103556.16,3s.3p2,2D,5/2,3s2.4f,2F*,5/2,,"T6527c4,LS",,
207.270,207.2700,200,1.0e+08,D,55325.18,103556.03,3s.3p2,2D,5/2,3s2.4f,2F*,7/2,,"T6527c4,LS",L3541,
213.399,,10w,,,,,,,,,,,,,L3541,
213.640,,30w,,,,,,,,,,,,,L3541,
213.656,,50w,,,,,,,,,,,,,L3541,
,222.5248,,2.44e+07,C,76665.35,121590.19,3s.3p2,2S,1/2,3s.3p.(3P*).4s,2P*,3/2,,T6868,,
,223.2507,,2.41e+07,D+,76665.35,121444.12,3s.3p2,2S,1/2,3s.3p.(3P*).4s,2P*,1/2,,T6868,,
,230.853,,4.02e+06,E,81191.34,124495.7,3s2.4p,2P*,1/2,3s2.8d,2D,3/2,,"T6527c4,LS",,
,231.173,,7.65e+06,E,81251.32,124495.7,3s2.4p,2P*,3/2,3s2.8d,2D,3/2,,T7166,,
,231.173,,5.01e+07,D+,81251.32,124495.7,3s2.4p,2P*,3/2,3s2.8d,2D,5/2,,T7166,,
,232.8517,,2.35e+01,E,0.00,42932.62,3s2.3p,2P*,1/2,3s.3p2,4P,3/2,,"c22,T6215,T5958",,
233.440,233.4407,30,5.51e+03,D+,0.00,42824.29,3s2.3p,2P*,1/2,3s.3p2,4P,1/2,,"c22,T6215,T5958",L3541,
233.461,233.4605,30,2.44e+03,D+,287.24,43107.91,3s2.3p,2P*,3/2,3s.3p2,4P,5/2,,"c22,T6215,T5958",L3541,
234.420,234.4202,10,1.31e+03,D,287.24,42932.62,3s2.3p,2P*,3/2,3s.3p2,4P,3/2,,"c22,T6215,T5958",L3541,
234.954,,10w,,,,,,,,,,,,,L3541,
235.017,235.0172,20,4.70e+03,D+,287.24,42824.29,3s2.3p,2P*,3/2,3s.3p2,4P,1/2,,"c22,T6215,T5958",L3541,
235.309,,20w,,,,,,,,,,,,,L3541,
235.630,,100w,,,,,,,,,,,,,L3541,
235.718,,30w,,,,,,,,,,,,,L3541,
235.797,,50w,,,,,,,,,,,,,L3541,
236.020,,10w,,,,,,,,,,,,,L3541,
236.697,,30,,,,,,,,,,,,,L3541,
237.426,,20,,,,,,,,,,,,,L3541,
,242.7628,,1.36e+01,C+,42824.29,84004.26,3s.3p2,4P,1/2,3s.3p2,2P,3/2,E2,c22,,
,242.7628,,1.36e-03,E,42824.29,84004.26,3s.3p2,4P,1/2,3s.3p2,2P,3/2,M1,c22,,
242.845,,10w,,,,,,,,,,,,,L3541,
,243.4032,,2.84e-03,E,42932.62,84004.26,3s.3p2,4P,3/2,3s.3p2,2P,3/2,M1,c22,,
,243.9614,,5.22e-03,E,42824.29,83801.95,3s.3p2,4P,1/2,3s.3p2,2P,1/2,M1,c22,,
,243.9943,,3.47e+07,D,81191.34,122163.48,3s2.4p,2P*,1/2,3s2.7d,2D,3/2,,T7166,,
,244.3517,,1.07e+07,D,81251.32,122163.54,3s2.4p,2P*,3/2,3s2.7d,2D,5/2,,T7166,,
,244.3521,,1.79e+06,E,81251.32,122163.48,3s2.4p,2P*,3/2,3s2.7d,2D,3/2,,T7166,,
,244.4465,,3.56e-03,D,43107.91,84004.26,3s.3p2,4P,5/2,3s.3p2,2P,3/2,M1,c22,,
,244.6081,,3.00e+00,C,42932.62,83801.95,3s.3p2,4P,3/2,3s.3p2,2P,1/2,E2,c22,,
,245.6619,,2.58e+01,C+,43107.91,83801.95,3s.3p2,4P,5/2,3s.3p2,2P,1/2,E2,c22,,
,250.0945,,1.13e+07,D,79338.50,119311.34,3s2.3d,2D,3/2,3s2.6f,2F*,5/2,,"T6527c4,LS",,
,250.1979,,8.07e+05,E,79355.02,119311.34,3s2.3d,2D,5/2,3s2.6f,2F*,5/2,,"T6527c4,LS",,
,250.1988,,1.21e+07,D+,79355.02,119311.19,3s2.3d,2D,5/2,3s2.6f,2F*,7/2,,"T6527c4,LS",,
,250.3295,,5.48e+06,E,79338.50,119273.81,3s2.3d,2D,3/2,3s2.7p,2P*,3/2,,T7166,,
,250.4331,,4.92e+07,D+,79355.02,119273.81,3s2.3d,2D,5/2,3s2.7p,2P*,3/2,,T7166,,
,250.5089,,5.36e+07,D,79338.50,119245.22,3s2.3d,2D,3/2,3s2.7p,2P*,1/2,,T7166,,
,260.1557,,1.56e+02,E,42824.29,81251.32,3s.3p2,4P,1/2,3s2.4p,2P*,3/2,,c22,,
,260.4421,,1.33e+06,D,65500.47,103885.25,3s2.4s,2S,1/2,3s2.5p,2P*,3/2,,T6868,,
,260.5625,,2.51e+02,E,42824.29,81191.34,3s.3p2,4P,1/2,3s2.4p,2P*,1/2,,c22,,
,260.6085,,1.33e+06,E,65500.47,103860.74,3s2.4s,2S,1/2,3s2.5p,2P*,1/2,,T6868,,
,260.8913,,2.29e+01,E,42932.62,81251.32,3s.3p2,4P,3/2,3s2.4p,2P*,3/2,,c22,,
,261.3003,,9.22e+02,E,42932.62,81191.34,3s.3p2,4P,3/2,3s2.4p,2P*,1/2,,c22,,
,262.0903,,4.47e+03,D,43107.91,81251.32,3s.3p2,4P,5/2,3s2.4p,2P*,3/2,,c22,,
,264.5538,,8.48e+06,D,83801.95,121590.19,3s.3p2,2P,1/2,3s.3p.(3P*).4s,2P*,3/2,,"T6527c4,LS",,
,265.5805,,3.36e+07,D+,83801.95,121444.12,3s.3p2,2P,1/2,3s.3p.(3P*).4s,2P*,1/2,,"T6527c4,LS",,
,265.9779,,4.17e+07,D+,84004.26,121590.19,3s.3p2,2P,3/2,3s.3p.(3P*).4s,2P*,3/2,,"T6527c4,LS",,
,267.0156,,1.65e+07,D,84004.26,121444.12,3s.3p2,2P,3/2,3s.3p.(3P*).4s,2P*,1/2,,"T6527c4,LS",,
,267.7906,,1.77e+07,C,81191.34,118522.86,3s2.4p,2P*,1/2,3s2.6d,2D,3/2,,T7166,,
268.221,268.2216,10w,3.49e+06,D+,81251.32,118522.86,3s2.4p,2P*,3/2,3s2.6d,2D,3/2,,T7166,L3541,
,272.2249,,1.56e+07,E,81191.34,117914.80,3s2.4p,2P*,1/2,3s2.7s,2S,1/2,,T7166,,
,272.6702,,3.17e+07,D,81251.32,117914.80,3s2.4p,2P*,3/2,3s2.7s,2S,1/2,,T7166,,
,273.6611,,1.30e+00,D+,42824.29,79355.02,3s.3p2,4P,1/2,3s2.3d,2D,5/2,E2,c22,,
,273.7850,,1.28e+00,D+,42824.29,79338.50,3s.3p2,4P,1/2,3s2.3d,2D,3/2,E2,c22,,
,288.6138,,7.08e+05,D,79338.50,113976.72,3s2.3d,2D,3/2,3s2.6p,2P*,3/2,,T7166,,
,288.7358,,8.38e+06,D,79338.50,113962.08,3s2.3d,2D,3/2,3s2.6p,2P*,1/2,,"T6527c4,LS",,
288.751,288.7515,10w,6.39e+06,D+,79355.02,113976.72,3s2.3d,2D,5/2,3s2.6p,2P*,3/2,,T7166,L3541,
290.428,290.4283,300,3.58e+07,C,79338.50,113760.32,3s2.3d,2D,3/2,3s2.5f,2F*,5/2,,"T6527c4,LS",L3541,
,290.5678,,2.55e+06,D,79355.02,113760.32,3s2.3d,2D,5/2,3s2.5f,2F*,5/2,,"T6527c4,LS",,
290.569,290.5692,500,3.83e+07,C,79355.02,113760.15,3s2.3d,2D,5/2,3s2.5f,2F*,7/2,,"T6527c4,LS",L3541,
,295.4127,,1.47e-02,D,42824.29,76665.35,3s.3p2,4P,1/2,3s.3p2,2S,1/2,M1,c22,,
,296.3614,,6.15e+00,C+,42932.62,76665.35,3s.3p2,4P,3/2,3s.3p2,2S,1/2,E2,c22,,
,296.3614,,7.13e-02,D,42932.62,76665.35,3s.3p2,4P,3/2,3s.3p2,2S,1/2,M1,c22,,
,297.9096,,5.44e+01,B,43107.91,76665.35,3s.3p2,4P,5/2,3s.3p2,2S,1/2,E2,c22,,
302.155,,20w,,,,,,,,,,,,,L3541,
303.000,,100w,,,,,,,,,,,,,L3541,
304.157,,20w,,,,,,,,,,,,,L3541,
304.219,,30w,,,,,,,,,,,,,L3541,
304.369,,100w,,,,,,,,,,,,,L3541,
304.385,,10w,,,,,,,,,,,,,L3541,
304.577,,10w,,,,,,,,,,,,,L3541,
304.830,,50w,,,,,,,,,,,,,L3541,
305.318,,150w,,,,,,,,,,,,,L3541,
318.897,,150,,,,,,,,,,,,,L3541,
319.225,,50,,,,,,,,,,,,,L3541,
319.309,,150,,,,,,,,,,,,,L3541,
319.421,,50,,,,,,,,,,,,,L3541,
319.469,,50,,,,,,,,,,,,,L3541,
319.541,,100,,,,,,,,,,,,,L3541,
319.951,,200,,,,,,,,,,,,,L3541,
320.249,,20,,,,,,,,,,,,,L3541,
320.387,320.3872,100w,4.45e+07,C+,81191.34,112394.56,3s2.4p,2P*,1/2,3s2.5d,2D,3/2,,T7166,L3541,
