obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
381.072,,380,,,,,,,,,,,,,L3475,
381.739,,550,,,,,,,,,,,,,L3475,
383.820,,1300,,,,,,,,,,,,,L3475,
384.802,384.8020+,8900,4.66e+07,,0.00,25980.02,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,4f13.6p,,3,,T6708,L3475,
385.784,,140,,,,,,,,,,,,,L3475,
388.344,,1800,,,,,,,,,,,,,L3475,
389.053,,440,,,,,,,,,,,,,L3475,
390.079,,680,,,,,,,,,,,,,L3475,
392.866,,120,,,,,,,,,,,,,L3475,
392.958,,570,,,,,,,,,,,,,L3475,
395.810,,1500,,,,,,,,,,,,,L3475,
399.558,,440,,,,,,,,,,,,,L3475,
399.652,,1800,,,,,,,,,,,,,L3475,
413.269,,120,,,,,,,,,,,,,L3475,
419.992,,520,,,,,,,,,,,,,L3475,
420.600,,220,,,,,,,,,,,,,L3475,
424.215,424.215+,3000,4.65e+06,,236.95,23803.28,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",3,4f12.5d.6s,,4,,T6708,L3475,
443.740,,55,,,,,,,,,,,,,L3475,
448.126,,540,,,,,,,,,,,,,L3475,
448.970,,80,,,,,,,,,,,,,L3475,
452.257,,260,,,,,,,,,,,,,L3475,
452.938,,180,,,,,,,,,,,,,L3475,
455.668,,40,,,,,,,,,,,,,L3475,
456.186,,40,,,,,,,,,,,,,L3475,
456.711,,40,,,,,,,,,,,,,L3475,
460.129,,35,,,,,,,,,,,,,L3475,
460.343,,55,,,,,,,,,,,,,L3475,
461.447,,40,,,,,,,,,,,,,L3475,
461.594,,300,,,,,,,,,,,,,L3475,
461.906,,35,,,,,,,,,,,,,L3475,
462.633,,80,,,,,,,,,,,,,L3475,
462.656,,95,,,,,,,,,,,,,L3475,
463.426,,110,,,,,,,,,,,,,L3475,
464.296,,40,,,,,,,,,,,,,L3475,
466.670,,35,,,,,,,,,,,,,L3475,
467.199,,35,,,,,,,,,,,,,L3475,
467.786,,40,,,,,,,,,,,,,L3475,
475.075,,35,,,,,,,,,,,,,L3475,
478.992,,27,,,,,,,,,,,,,L3475,
482.699,,27,,,,,,,,,,,,,L3475,
483.120,,80,,,,,,,,,,,,,L3475,
485.190,,,,,,,,,,,,,,,L3475,
487.228,,19,,,,,,,,,,,,,L3475,
497.087,,40,,,,,,,,,,,,,L3475,
497.512,,40,,,,,,,,,,,,,L3475,
498.068,,40,,,,,,,,,,,,,L3475,
498.932,,55,,,,,,,,,,,,,L3475,
